epoch (ms),time (-08:00),elapsed (s),X-Axis (°/s),Y-Axis (°/s),Z-Axis (°/s)
1572985532814,2019-11-05T12:25:32.814,0.000,0.610,-0.183,2.134
1572985532853,2019-11-05T12:25:32.853,0.039,0.610,-0.244,2.256
1572985532894,2019-11-05T12:25:32.894,0.080,-1.829,0.549,1.037
1572985532934,2019-11-05T12:25:32.934,0.120,-2.012,2.256,0.000
1572985532975,2019-11-05T12:25:32.975,0.161,1.098,0.732,1.159
1572985533015,2019-11-05T12:25:33.015,0.201,3.415,1.341,0.976
1572985533056,2019-11-05T12:25:33.056,0.242,4.207,0.366,0.549
1572985533095,2019-11-05T12:25:33.095,0.281,1.646,-1.220,0.244
1572985533135,2019-11-05T12:25:33.135,0.321,-1.037,1.098,1.585
1572985533176,2019-11-05T12:25:33.176,0.362,-2.134,2.622,1.341
1572985533215,2019-11-05T12:25:33.215,0.401,-0.549,1.402,0.854
1572985533255,2019-11-05T12:25:33.255,0.441,1.280,-0.427,1.585
1572985533296,2019-11-05T12:25:33.296,0.482,1.280,0.244,2.195
1572985533335,2019-11-05T12:25:33.335,0.521,1.159,0.671,2.134
1572985533376,2019-11-05T12:25:33.376,0.562,-0.244,2.012,1.220
1572985533416,2019-11-05T12:25:33.416,0.602,0.244,0.915,1.037
1572985533455,2019-11-05T12:25:33.455,0.641,1.098,-0.122,0.366
1572985533496,2019-11-05T12:25:33.496,0.682,0.366,2.378,-0.427
1572985533536,2019-11-05T12:25:33.536,0.722,2.317,2.073,-0.854
1572985533577,2019-11-05T12:25:33.577,0.763,1.463,1.220,-0.427
1572985533617,2019-11-05T12:25:33.617,0.803,-0.183,2.683,1.098
1572985533656,2019-11-05T12:25:33.656,0.842,-2.683,2.683,0.671
1572985533697,2019-11-05T12:25:33.697,0.883,-3.659,0.061,0.183
1572985533737,2019-11-05T12:25:33.737,0.923,1.280,0.732,0.427
1572985533778,2019-11-05T12:25:33.778,0.964,1.280,0.366,1.524
1572985533817,2019-11-05T12:25:33.817,1.003,-0.305,-0.549,1.280
1572985533857,2019-11-05T12:25:33.857,1.043,1.159,-0.671,0.610
1572985533898,2019-11-05T12:25:33.898,1.084,2.256,0.427,1.159
1572985533937,2019-11-05T12:25:33.937,1.123,6.341,2.256,-0.732
1572985533978,2019-11-05T12:25:33.978,1.164,8.476,1.829,-1.524
1572985534018,2019-11-05T12:25:34.018,1.204,0.244,2.012,-1.220
1572985534058,2019-11-05T12:25:34.058,1.244,-1.646,2.561,-1.890
1572985534099,2019-11-05T12:25:34.099,1.285,0.000,0.305,-0.854
1572985534138,2019-11-05T12:25:34.138,1.324,-1.159,-0.305,1.280
1572985534179,2019-11-05T12:25:34.179,1.365,-3.110,1.524,1.524
1572985534219,2019-11-05T12:25:34.219,1.405,-2.988,0.854,0.915
1572985534258,2019-11-05T12:25:34.258,1.444,-0.305,0.732,0.427
1572985534299,2019-11-05T12:25:34.299,1.485,0.671,-0.610,0.610
1572985534339,2019-11-05T12:25:34.339,1.525,2.805,-0.488,0.488
