epoch (ms),time (-08:00),elapsed (s),X-Axis (g),Y-Axis (g),Z-Axis (g)
1572999669664,2019-11-05T16:21:09.664,0.000,-0.414,0.070,0.952
1572999669703,2019-11-05T16:21:09.703,0.039,-0.410,0.067,0.961
1572999669743,2019-11-05T16:21:09.743,0.079,-0.403,0.050,0.956
1572999669784,2019-11-05T16:21:09.784,0.120,-0.401,0.044,0.958
1572999669823,2019-11-05T16:21:09.823,0.159,-0.407,0.052,0.958
1572999669863,2019-11-05T16:21:09.863,0.199,-0.410,0.059,0.962
1572999669904,2019-11-05T16:21:09.904,0.240,-0.405,0.067,0.965
1572999669944,2019-11-05T16:21:09.944,0.280,-0.408,0.059,0.958
1572999669985,2019-11-05T16:21:09.985,0.321,-0.406,0.055,0.956
1572999670024,2019-11-05T16:21:10.024,0.360,-0.407,0.050,0.954
1572999670064,2019-11-05T16:21:10.064,0.400,-0.406,0.056,0.959
1572999670105,2019-11-05T16:21:10.105,0.441,-0.406,0.061,0.960
1572999670146,2019-11-05T16:21:10.146,0.482,-0.406,0.060,0.962
1572999670185,2019-11-05T16:21:10.185,0.521,-0.396,0.055,0.960
1572999670225,2019-11-05T16:21:10.225,0.561,-0.402,0.054,0.959
1572999670266,2019-11-05T16:21:10.266,0.602,-0.404,0.054,0.957
1572999670305,2019-11-05T16:21:10.305,0.641,-0.405,0.051,0.955
1572999670345,2019-11-05T16:21:10.345,0.681,-0.410,0.045,0.957
1572999670386,2019-11-05T16:21:10.386,0.722,-0.409,0.059,0.959
1572999670426,2019-11-05T16:21:10.426,0.762,-0.400,0.072,0.960
1572999670465,2019-11-05T16:21:10.465,0.801,-0.402,0.056,0.958
1572999670506,2019-11-05T16:21:10.506,0.842,-0.407,0.059,0.960
1572999670546,2019-11-05T16:21:10.546,0.882,-0.406,0.074,0.965
1572999670587,2019-11-05T16:21:10.587,0.923,-0.406,0.062,0.961
1572999670626,2019-11-05T16:21:10.626,0.962,-0.403,0.061,0.961
