epoch (ms),time (-08:00),elapsed (s),X-Axis (g),Y-Axis (g),Z-Axis (g)
1572984044237,2019-11-05T12:00:44.237,0.000,-0.133,-1.057,0.471
1572984044277,2019-11-05T12:00:44.277,0.040,-0.391,-1.351,0.440
1572984044318,2019-11-05T12:00:44.318,0.081,-0.486,-1.190,0.457
1572984044357,2019-11-05T12:00:44.357,0.120,-0.458,-0.811,0.415
1572984044398,2019-11-05T12:00:44.398,0.161,-0.431,-0.641,0.346
1572984044438,2019-11-05T12:00:44.438,0.201,-0.484,-0.725,0.276
1572984044478,2019-11-05T12:00:44.478,0.241,-0.505,-0.746,0.250
1572984044519,2019-11-05T12:00:44.519,0.282,-0.443,-0.737,0.250
1572984044558,2019-11-05T12:00:44.558,0.321,-0.258,-0.803,0.299
1572984044599,2019-11-05T12:00:44.599,0.362,-0.019,-0.924,0.341
1572984044639,2019-11-05T12:00:44.639,0.402,0.050,-1.098,0.425
1572984044678,2019-11-05T12:00:44.678,0.441,0.006,-0.998,0.444
1572984044719,2019-11-05T12:00:44.719,0.482,0.005,-0.792,0.490
1572984044759,2019-11-05T12:00:44.759,0.522,0.018,-0.718,0.576
1572984044800,2019-11-05T12:00:44.800,0.563,-0.143,-1.025,0.710
1572984044839,2019-11-05T12:00:44.839,0.602,-0.323,-1.271,0.877
1572984044879,2019-11-05T12:00:44.879,0.642,-0.387,-1.246,1.011
1572984044920,2019-11-05T12:00:44.920,0.683,-0.296,-0.998,0.965
1572984044960,2019-11-05T12:00:44.960,0.723,-0.139,-0.774,0.821
1572984045001,2019-11-05T12:00:45.001,0.764,-0.022,-0.736,0.633
1572984045040,2019-11-05T12:00:45.040,0.803,0.039,-0.749,0.498
1572984045080,2019-11-05T12:00:45.080,0.843,0.029,-0.765,0.464
1572984045121,2019-11-05T12:00:45.121,0.884,0.033,-0.628,0.474
1572984045160,2019-11-05T12:00:45.160,0.923,0.048,-0.551,0.551
1572984045201,2019-11-05T12:00:45.201,0.964,0.021,-0.611,0.636
1572984045241,2019-11-05T12:00:45.241,1.004,0.041,-0.644,0.677
1572984045280,2019-11-05T12:00:45.280,1.043,0.122,-0.625,0.677
1572984045321,2019-11-05T12:00:45.321,1.084,0.188,-0.705,0.660
1572984045361,2019-11-05T12:00:45.361,1.124,0.172,-0.772,0.603
1572984045402,2019-11-05T12:00:45.402,1.165,0.152,-0.736,0.615
1572984045441,2019-11-05T12:00:45.441,1.204,0.173,-0.742,0.615
1572984045481,2019-11-05T12:00:45.481,1.244,0.218,-0.774,0.601
1572984045522,2019-11-05T12:00:45.522,1.285,0.250,-0.811,0.633
1572984045562,2019-11-05T12:00:45.562,1.325,0.240,-0.859,0.670
1572984045603,2019-11-05T12:00:45.603,1.366,0.230,-0.804,0.718
1572984045642,2019-11-05T12:00:45.642,1.405,0.262,-0.699,0.736
1572984045682,2019-11-05T12:00:45.682,1.445,0.288,-0.743,0.698
1572984045723,2019-11-05T12:00:45.723,1.486,0.296,-0.793,0.691
1572984045762,2019-11-05T12:00:45.762,1.525,0.261,-0.762,0.695
1572984045803,2019-11-05T12:00:45.803,1.566,0.225,-0.727,0.690
1572984045843,2019-11-05T12:00:45.843,1.606,0.214,-0.701,0.698
1572984045882,2019-11-05T12:00:45.882,1.645,0.217,-0.699,0.681
1572984045923,2019-11-05T12:00:45.923,1.686,0.226,-0.706,0.685
1572984045963,2019-11-05T12:00:45.963,1.726,0.230,-0.707,0.688
1572984046004,2019-11-05T12:00:46.004,1.767,0.220,-0.705,0.691
1572984046043,2019-11-05T12:00:46.043,1.806,0.216,-0.704,0.702
1572984046083,2019-11-05T12:00:46.083,1.846,0.231,-0.716,0.690
1572984046124,2019-11-05T12:00:46.124,1.887,0.246,-0.723,0.683
1572984046164,2019-11-05T12:00:46.164,1.927,0.256,-0.725,0.684
1572984046205,2019-11-05T12:00:46.205,1.968,0.249,-0.729,0.688
1572984046244,2019-11-05T12:00:46.244,2.007,0.248,-0.711,0.686
1572984046284,2019-11-05T12:00:46.284,2.047,0.252,-0.719,0.680
1572984046325,2019-11-05T12:00:46.325,2.088,0.243,-0.726,0.684
1572984046366,2019-11-05T12:00:46.366,2.129,0.233,-0.723,0.695
1572984046405,2019-11-05T12:00:46.405,2.168,0.241,-0.729,0.702
1572984046445,2019-11-05T12:00:46.445,2.208,0.250,-0.742,0.681
1572984046486,2019-11-05T12:00:46.486,2.249,0.252,-0.720,0.677
1572984046525,2019-11-05T12:00:46.525,2.288,0.252,-0.701,0.679
1572984046565,2019-11-05T12:00:46.565,2.328,0.255,-0.713,0.675
1572984046606,2019-11-05T12:00:46.606,2.369,0.271,-0.726,0.667
1572984046646,2019-11-05T12:00:46.646,2.409,0.271,-0.724,0.670
1572984046687,2019-11-05T12:00:46.687,2.450,0.269,-0.709,0.668
1572984046726,2019-11-05T12:00:46.726,2.489,0.282,-0.705,0.661
1572984046766,2019-11-05T12:00:46.766,2.529,0.284,-0.720,0.670
1572984046807,2019-11-05T12:00:46.807,2.570,0.272,-0.716,0.667
1572984046846,2019-11-05T12:00:46.846,2.609,0.275,-0.700,0.672
1572984046887,2019-11-05T12:00:46.887,2.650,0.265,-0.721,0.678
1572984046927,2019-11-05T12:00:46.927,2.690,0.259,-0.726,0.679
1572984046966,2019-11-05T12:00:46.966,2.729,0.269,-0.704,0.680
1572984047007,2019-11-05T12:00:47.007,2.770,0.284,-0.715,0.678
1572984047047,2019-11-05T12:00:47.047,2.810,0.285,-0.730,0.670
1572984047088,2019-11-05T12:00:47.088,2.851,0.288,-0.714,0.688
1572984047127,2019-11-05T12:00:47.127,2.890,0.277,-0.742,0.684
1572984047167,2019-11-05T12:00:47.167,2.930,0.273,-0.732,0.689
1572984047208,2019-11-05T12:00:47.208,2.971,0.273,-0.714,0.688
1572984047248,2019-11-05T12:00:47.248,3.011,0.266,-0.715,0.683
1572984047289,2019-11-05T12:00:47.289,3.052,0.258,-0.704,0.685
1572984047328,2019-11-05T12:00:47.328,3.091,0.264,-0.703,0.684
1572984047368,2019-11-05T12:00:47.368,3.131,0.252,-0.716,0.686
1572984047409,2019-11-05T12:00:47.409,3.172,0.250,-0.705,0.697
1572984047448,2019-11-05T12:00:47.448,3.211,0.247,-0.720,0.696
1572984047489,2019-11-05T12:00:47.489,3.252,0.246,-0.706,0.695
1572984047529,2019-11-05T12:00:47.529,3.292,0.254,-0.700,0.688
1572984047568,2019-11-05T12:00:47.568,3.331,0.250,-0.732,0.674
1572984047609,2019-11-05T12:00:47.609,3.372,0.243,-0.696,0.676
1572984047649,2019-11-05T12:00:47.649,3.412,0.223,-0.716,0.666
1572984047690,2019-11-05T12:00:47.690,3.453,0.210,-0.747,0.671
1572984047730,2019-11-05T12:00:47.730,3.493,0.222,-0.720,0.683
1572984047769,2019-11-05T12:00:47.769,3.532,0.236,-0.701,0.684
1572984047810,2019-11-05T12:00:47.810,3.573,0.246,-0.700,0.678
1572984047850,2019-11-05T12:00:47.850,3.613,0.259,-0.709,0.683
1572984047891,2019-11-05T12:00:47.891,3.654,0.271,-0.701,0.691
1572984047930,2019-11-05T12:00:47.930,3.693,0.224,-0.743,0.704
1572984047970,2019-11-05T12:00:47.970,3.733,0.071,-0.790,0.727
1572984048011,2019-11-05T12:00:48.011,3.774,-0.019,-0.726,0.725
1572984048050,2019-11-05T12:00:48.050,3.813,-0.012,-0.771,0.724
1572984048091,2019-11-05T12:00:48.091,3.854,0.018,-0.786,0.707
1572984048131,2019-11-05T12:00:48.131,3.894,0.153,-0.653,0.711
1572984048170,2019-11-05T12:00:48.170,3.933,0.271,-0.699,0.688
1572984048211,2019-11-05T12:00:48.211,3.974,0.324,-0.738,0.683
1572984048251,2019-11-05T12:00:48.251,4.014,0.352,-0.681,0.681
1572984048292,2019-11-05T12:00:48.292,4.055,0.336,-0.674,0.666
1572984048332,2019-11-05T12:00:48.332,4.095,0.339,-0.712,0.646
1572984048371,2019-11-05T12:00:48.371,4.134,0.313,-0.711,0.632
1572984048412,2019-11-05T12:00:48.412,4.175,0.312,-0.704,0.610
1572984048452,2019-11-05T12:00:48.452,4.215,0.310,-0.738,0.583
1572984048493,2019-11-05T12:00:48.493,4.256,0.309,-0.779,0.541
1572984048532,2019-11-05T12:00:48.532,4.295,0.325,-0.763,0.534
1572984048572,2019-11-05T12:00:48.572,4.335,0.314,-0.806,0.526
1572984048613,2019-11-05T12:00:48.613,4.376,0.313,-0.787,0.537
1572984048652,2019-11-05T12:00:48.652,4.415,0.314,-0.805,0.549
1572984048693,2019-11-05T12:00:48.693,4.456,0.292,-0.854,0.563
1572984048733,2019-11-05T12:00:48.733,4.496,0.273,-0.836,0.586
