epoch (ms),time (-08:00),elapsed (s),X-Axis (g),Y-Axis (g),Z-Axis (g)
1573014683447,2019-11-05T20:31:23.447,0.000,0.149,-0.789,-0.283
1573014683487,2019-11-05T20:31:23.487,0.040,0.176,-0.806,-0.251
1573014683528,2019-11-05T20:31:23.528,0.081,0.202,-0.803,-0.309
1573014683567,2019-11-05T20:31:23.567,0.120,0.236,-0.830,-0.382
1573014683608,2019-11-05T20:31:23.608,0.161,0.289,-0.829,-0.436
1573014683648,2019-11-05T20:31:23.648,0.201,0.292,-0.782,-0.422
1573014683687,2019-11-05T20:31:23.687,0.240,0.279,-0.975,-0.566
1573014683728,2019-11-05T20:31:23.728,0.281,0.318,-1.048,-0.657
1573014683768,2019-11-05T20:31:23.768,0.321,0.390,-0.820,-0.639
1573014683809,2019-11-05T20:31:23.809,0.362,0.217,-1.180,-0.271
1573014683848,2019-11-05T20:31:23.848,0.401,0.264,-1.230,-0.322
1573014683888,2019-11-05T20:31:23.888,0.441,0.232,-0.658,-0.241
1573014683929,2019-11-05T20:31:23.929,0.482,0.150,-0.855,0.132
1573014683969,2019-11-05T20:31:23.969,0.522,0.242,-1.162,-0.142
1573014684010,2019-11-05T20:31:24.010,0.563,0.243,-0.828,0.115
1573014684049,2019-11-05T20:31:24.049,0.602,0.258,-0.698,0.250
1573014684089,2019-11-05T20:31:24.089,0.642,0.223,-0.793,0.360
1573014684130,2019-11-05T20:31:24.130,0.683,0.244,-0.904,0.432
1573014684169,2019-11-05T20:31:24.169,0.722,0.204,-0.811,0.294
1573014684210,2019-11-05T20:31:24.210,0.763,0.153,-1.021,0.352
1573014684250,2019-11-05T20:31:24.250,0.803,0.206,-0.900,0.387
1573014684289,2019-11-05T20:31:24.289,0.842,0.178,-0.568,0.566
1573014684330,2019-11-05T20:31:24.330,0.883,0.142,-1.116,0.514
1573014684370,2019-11-05T20:31:24.370,0.923,0.153,-0.699,0.651
1573014684409,2019-11-05T20:31:24.409,0.962,0.203,-0.614,0.572
1573014684450,2019-11-05T20:31:24.450,1.003,0.062,-1.127,0.464
1573014684490,2019-11-05T20:31:24.490,1.043,0.099,-0.625,0.552
1573014684531,2019-11-05T20:31:24.531,1.084,0.076,-0.845,0.421
1573014684571,2019-11-05T20:31:24.571,1.124,0.013,-1.036,0.412
1573014684610,2019-11-05T20:31:24.610,1.163,0.023,-0.893,0.457
1573014684651,2019-11-05T20:31:24.651,1.204,0.034,-0.951,0.599
1573014684691,2019-11-05T20:31:24.691,1.244,0.126,-0.993,0.441
1573014684732,2019-11-05T20:31:24.732,1.285,0.162,-1.089,0.282
1573014684771,2019-11-05T20:31:24.771,1.324,0.180,-1.021,0.134
1573014684811,2019-11-05T20:31:24.811,1.364,0.185,-0.974,0.034
1573014684852,2019-11-05T20:31:24.852,1.405,0.180,-0.970,0.036
1573014684891,2019-11-05T20:31:24.891,1.444,0.191,-0.960,-0.075
