epoch (ms),time (-08:00),elapsed (s),X-Axis (°/s),Y-Axis (°/s),Z-Axis (°/s)
1573014683367,2019-11-05T20:31:23.367,0.000,10.244,0.671,-6.768
1573014683408,2019-11-05T20:31:23.408,0.041,10.854,-0.427,-7.622
1573014683447,2019-11-05T20:31:23.447,0.080,9.573,-8.902,-8.659
1573014683487,2019-11-05T20:31:23.487,0.120,11.524,-23.720,-7.744
1573014683528,2019-11-05T20:31:23.528,0.161,11.220,-32.988,-5.244
1573014683567,2019-11-05T20:31:23.567,0.200,0.915,-33.598,-4.512
1573014683608,2019-11-05T20:31:23.608,0.241,-0.610,-34.634,-1.280
1573014683648,2019-11-05T20:31:23.648,0.281,4.756,-37.073,6.585
1573014683687,2019-11-05T20:31:23.687,0.320,-6.463,-33.598,11.646
1573014683728,2019-11-05T20:31:23.728,0.361,36.951,-22.744,9.756
1573014683768,2019-11-05T20:31:23.768,0.401,74.268,-6.707,1.280
1573014683809,2019-11-05T20:31:23.809,0.442,61.707,7.927,-20.427
1573014683848,2019-11-05T20:31:23.848,0.481,145.610,-5.915,-12.012
1573014683888,2019-11-05T20:31:23.888,0.521,200.732,0.854,5.183
1573014683929,2019-11-05T20:31:23.929,0.562,130.366,1.098,-2.683
1573014683969,2019-11-05T20:31:23.969,0.602,117.012,-4.756,3.902
1573014684010,2019-11-05T20:31:24.010,0.643,180.732,-6.220,14.756
1573014684049,2019-11-05T20:31:24.049,0.682,148.476,-7.256,8.841
1573014684089,2019-11-05T20:31:24.089,0.722,71.524,-8.659,13.354
1573014684130,2019-11-05T20:31:24.130,0.763,60.610,-15.122,18.171
1573014684169,2019-11-05T20:31:24.169,0.802,46.890,-2.744,15.000
1573014684210,2019-11-05T20:31:24.210,0.843,27.988,8.537,10.244
1573014684250,2019-11-05T20:31:24.250,0.883,88.963,5.915,28.780
1573014684289,2019-11-05T20:31:24.289,0.922,80.854,6.951,37.134
1573014684330,2019-11-05T20:31:24.330,0.963,-0.183,10.671,23.659
1573014684370,2019-11-05T20:31:24.370,1.003,50.488,2.012,18.902
1573014684411,2019-11-05T20:31:24.411,1.044,-38.110,2.439,-4.390
1573014684450,2019-11-05T20:31:24.450,1.083,-85.549,8.415,-8.293
1573014684490,2019-11-05T20:31:24.490,1.123,-28.537,3.841,-9.329
1573014684531,2019-11-05T20:31:24.531,1.164,-89.695,9.268,-19.085
1573014684571,2019-11-05T20:31:24.571,1.204,-75.732,14.695,-17.622
1573014684612,2019-11-05T20:31:24.612,1.245,-44.939,15.732,-7.805
1573014684651,2019-11-05T20:31:24.651,1.284,-50.793,12.439,-1.402
1573014684691,2019-11-05T20:31:24.691,1.324,-46.220,-0.732,2.744
1573014684732,2019-11-05T20:31:24.732,1.365,-36.707,0.183,6.707
1573014684771,2019-11-05T20:31:24.771,1.404,-20.244,3.963,6.768
1573014684812,2019-11-05T20:31:24.812,1.445,-36.951,13.415,1.280
1573014684852,2019-11-05T20:31:24.852,1.485,-63.963,21.585,-5.366
1573014684891,2019-11-05T20:31:24.891,1.524,-70.976,23.049,-7.927
