epoch (ms),time (-08:00),elapsed (s),X-Axis (°/s),Y-Axis (°/s),Z-Axis (°/s)
1573338988946,2019-11-09T14:36:28.946,0.000,-0.183,0.122,0.671
1573338988986,2019-11-09T14:36:28.986,0.040,-0.122,0.061,0.854
1573338989027,2019-11-09T14:36:29.027,0.081,-0.183,0.122,0.793
1573338989066,2019-11-09T14:36:29.066,0.120,-0.244,0.122,0.793
1573338989107,2019-11-09T14:36:29.107,0.161,-0.244,0.061,0.793
1573338989147,2019-11-09T14:36:29.147,0.201,-0.183,0.122,0.793
1573338989186,2019-11-09T14:36:29.186,0.240,-0.244,0.061,0.854
1573338989227,2019-11-09T14:36:29.227,0.281,-0.244,0.122,0.793
1573338989267,2019-11-09T14:36:29.267,0.321,-0.183,0.183,0.793
1573338989308,2019-11-09T14:36:29.308,0.362,-0.183,0.122,0.854
1573338989347,2019-11-09T14:36:29.347,0.401,-0.244,0.061,0.793
1573338989387,2019-11-09T14:36:29.387,0.441,-0.183,0.122,0.732
1573338989428,2019-11-09T14:36:29.428,0.482,-0.183,0.122,0.793
1573338989468,2019-11-09T14:36:29.468,0.522,-0.244,0.122,0.793
1573338989509,2019-11-09T14:36:29.509,0.563,-0.244,0.122,0.793
1573338989548,2019-11-09T14:36:29.548,0.602,-0.244,0.122,0.793
1573338989588,2019-11-09T14:36:29.588,0.642,-0.183,0.122,0.854
1573338989629,2019-11-09T14:36:29.629,0.683,-0.183,0.122,0.793
1573338989668,2019-11-09T14:36:29.668,0.722,-0.183,0.122,0.793
1573338989709,2019-11-09T14:36:29.709,0.763,-0.183,0.122,0.793
1573338989749,2019-11-09T14:36:29.749,0.803,-0.244,0.122,0.793
1573338989788,2019-11-09T14:36:29.788,0.842,-0.244,0.061,0.793
1573338989829,2019-11-09T14:36:29.829,0.883,-0.244,0.122,0.793
1573338989869,2019-11-09T14:36:29.869,0.923,-0.244,0.122,0.793
1573338989908,2019-11-09T14:36:29.908,0.962,-0.244,0.061,0.793
1573338989949,2019-11-09T14:36:29.949,1.003,-0.244,0.061,0.793
1573338989989,2019-11-09T14:36:29.989,1.043,-0.183,0.122,0.793
1573338990030,2019-11-09T14:36:30.030,1.084,-0.183,0.122,0.793
1573338990070,2019-11-09T14:36:30.070,1.124,-0.183,0.122,0.793
1573338990109,2019-11-09T14:36:30.109,1.163,-0.244,0.122,0.793
1573338990150,2019-11-09T14:36:30.150,1.204,-0.244,0.122,0.793
1573338990190,2019-11-09T14:36:30.190,1.244,-0.244,0.122,0.793
1573338990231,2019-11-09T14:36:30.231,1.285,-0.244,0.122,0.793
1573338990270,2019-11-09T14:36:30.270,1.324,-0.183,0.122,0.793
1573338990310,2019-11-09T14:36:30.310,1.364,-0.244,0.122,0.854
1573338990351,2019-11-09T14:36:30.351,1.405,-0.244,0.122,0.793
1573338990390,2019-11-09T14:36:30.390,1.444,-0.244,0.122,0.793
1573338990431,2019-11-09T14:36:30.431,1.485,-0.183,0.122,0.854
1573338990471,2019-11-09T14:36:30.471,1.525,-0.183,0.122,0.854
1573338990512,2019-11-09T14:36:30.512,1.566,-0.244,0.122,0.793
1573338990551,2019-11-09T14:36:30.551,1.605,-0.244,0.061,0.793
1573338990591,2019-11-09T14:36:30.591,1.645,-0.244,0.122,0.793
1573338990632,2019-11-09T14:36:30.632,1.686,-0.183,0.122,0.793
1573338990672,2019-11-09T14:36:30.672,1.726,-0.183,0.122,0.732
1573338990711,2019-11-09T14:36:30.711,1.765,-0.183,0.122,0.793
1573338990752,2019-11-09T14:36:30.752,1.806,-0.244,0.122,0.854
1573338990792,2019-11-09T14:36:30.792,1.846,-0.183,0.122,0.793
1573338990831,2019-11-09T14:36:30.831,1.885,-0.183,0.122,0.793
1573338990872,2019-11-09T14:36:30.872,1.926,-0.244,0.122,0.732
1573338990912,2019-11-09T14:36:30.912,1.966,-0.244,0.183,0.793
1573338990953,2019-11-09T14:36:30.953,2.007,-0.183,0.122,0.793
1573338990992,2019-11-09T14:36:30.992,2.046,-0.183,0.061,0.793
1573338991032,2019-11-09T14:36:31.032,2.086,-0.244,0.061,0.732
1573338991073,2019-11-09T14:36:31.073,2.127,-0.244,0.122,0.793
1573338991113,2019-11-09T14:36:31.113,2.167,-0.183,0.122,0.793
1573338991154,2019-11-09T14:36:31.154,2.208,-0.244,0.061,0.793
1573338991193,2019-11-09T14:36:31.193,2.247,-0.183,0.122,0.854
1573338991234,2019-11-09T14:36:31.234,2.288,-0.183,0.122,0.793
1573338991274,2019-11-09T14:36:31.274,2.328,-0.244,0.122,0.793
1573338991313,2019-11-09T14:36:31.313,2.367,-0.183,0.122,0.854
1573338991354,2019-11-09T14:36:31.354,2.408,-0.122,0.061,0.793
1573338991394,2019-11-09T14:36:31.394,2.448,-0.183,0.122,0.793
1573338991433,2019-11-09T14:36:31.433,2.487,-0.183,0.122,0.793
1573338991474,2019-11-09T14:36:31.474,2.528,-0.183,0.183,0.793
1573338991514,2019-11-09T14:36:31.514,2.568,-0.244,0.122,0.793
