epoch (ms),time (-08:00),elapsed (s),X-Axis (g),Y-Axis (g),Z-Axis (g)
1573336637483,2019-11-09T13:57:17.483,0.000,0.094,-0.526,0.867
1573336637524,2019-11-09T13:57:17.524,0.041,0.094,-0.532,0.873
1573336637564,2019-11-09T13:57:17.564,0.081,0.093,-0.529,0.872
1573336637603,2019-11-09T13:57:17.603,0.120,0.093,-0.531,0.871
1573336637644,2019-11-09T13:57:17.644,0.161,0.094,-0.529,0.873
1573336637684,2019-11-09T13:57:17.684,0.201,0.094,-0.530,0.872
1573336637725,2019-11-09T13:57:17.725,0.242,0.094,-0.531,0.872
1573336637764,2019-11-09T13:57:17.764,0.281,0.095,-0.530,0.873
1573336637804,2019-11-09T13:57:17.804,0.321,0.094,-0.531,0.873
1573336637845,2019-11-09T13:57:17.845,0.362,0.093,-0.530,0.872
1573336637885,2019-11-09T13:57:17.885,0.402,0.094,-0.531,0.872
1573336637926,2019-11-09T13:57:17.926,0.443,0.093,-0.530,0.872
1573336637965,2019-11-09T13:57:17.965,0.482,0.094,-0.530,0.873
1573336638005,2019-11-09T13:57:18.005,0.522,0.094,-0.530,0.873
1573336638046,2019-11-09T13:57:18.046,0.563,0.094,-0.531,0.873
1573336638085,2019-11-09T13:57:18.085,0.602,0.094,-0.529,0.872
1573336638126,2019-11-09T13:57:18.126,0.643,0.095,-0.532,0.874
1573336638166,2019-11-09T13:57:18.166,0.683,0.095,-0.530,0.875
1573336638205,2019-11-09T13:57:18.205,0.722,0.094,-0.531,0.872
1573336638246,2019-11-09T13:57:18.246,0.763,0.092,-0.530,0.873
1573336638286,2019-11-09T13:57:18.286,0.803,0.094,-0.529,0.872
1573336638327,2019-11-09T13:57:18.327,0.844,0.093,-0.530,0.873
1573336638367,2019-11-09T13:57:18.367,0.884,0.092,-0.530,0.872
1573336638406,2019-11-09T13:57:18.406,0.923,0.092,-0.530,0.873
1573336638447,2019-11-09T13:57:18.447,0.964,0.093,-0.531,0.875
1573336638487,2019-11-09T13:57:18.487,1.004,0.094,-0.532,0.873
1573336638528,2019-11-09T13:57:18.528,1.045,0.094,-0.530,0.873
1573336638567,2019-11-09T13:57:18.567,1.084,0.094,-0.530,0.871
1573336638607,2019-11-09T13:57:18.607,1.124,0.094,-0.530,0.873
1573336638648,2019-11-09T13:57:18.648,1.165,0.093,-0.530,0.874
1573336638687,2019-11-09T13:57:18.687,1.204,0.095,-0.530,0.873
1573336638728,2019-11-09T13:57:18.728,1.245,0.092,-0.531,0.875
1573336638768,2019-11-09T13:57:18.768,1.285,0.094,-0.532,0.874
1573336638807,2019-11-09T13:57:18.807,1.324,0.095,-0.530,0.873
1573336638848,2019-11-09T13:57:18.848,1.365,0.093,-0.531,0.873
1573336638888,2019-11-09T13:57:18.888,1.405,0.092,-0.529,0.872
1573336638929,2019-11-09T13:57:18.929,1.446,0.094,-0.531,0.874
1573336638969,2019-11-09T13:57:18.969,1.486,0.093,-0.530,0.874
1573336639008,2019-11-09T13:57:19.008,1.525,0.095,-0.531,0.873
1573336639049,2019-11-09T13:57:19.049,1.566,0.094,-0.530,0.874
1573336639089,2019-11-09T13:57:19.089,1.606,0.093,-0.530,0.872
1573336639128,2019-11-09T13:57:19.128,1.645,0.095,-0.530,0.872
1573336639169,2019-11-09T13:57:19.169,1.686,0.094,-0.530,0.874
1573336639209,2019-11-09T13:57:19.209,1.726,0.094,-0.532,0.874
1573336639250,2019-11-09T13:57:19.250,1.767,0.094,-0.531,0.875
1573336639289,2019-11-09T13:57:19.289,1.806,0.093,-0.531,0.874
1573336639330,2019-11-09T13:57:19.330,1.847,0.094,-0.531,0.874
1573336639370,2019-11-09T13:57:19.370,1.887,0.093,-0.532,0.873
1573336639409,2019-11-09T13:57:19.409,1.926,0.093,-0.531,0.871
1573336639451,2019-11-09T13:57:19.451,1.968,0.093,-0.531,0.873
1573336639490,2019-11-09T13:57:19.490,2.007,0.094,-0.531,0.873
1573336639530,2019-11-09T13:57:19.530,2.047,0.095,-0.532,0.873
1573336639571,2019-11-09T13:57:19.571,2.088,0.094,-0.531,0.875
1573336639610,2019-11-09T13:57:19.610,2.127,0.093,-0.530,0.873
1573336639651,2019-11-09T13:57:19.651,2.168,0.094,-0.532,0.873
1573336639691,2019-11-09T13:57:19.691,2.208,0.093,-0.531,0.872
1573336639730,2019-11-09T13:57:19.730,2.247,0.094,-0.530,0.873
1573336639771,2019-11-09T13:57:19.771,2.288,0.093,-0.531,0.874
1573336639811,2019-11-09T13:57:19.811,2.328,0.092,-0.532,0.874
1573336639850,2019-11-09T13:57:19.850,2.367,0.093,-0.531,0.875
1573336639891,2019-11-09T13:57:19.891,2.408,0.093,-0.531,0.874
1573336639931,2019-11-09T13:57:19.931,2.448,0.093,-0.532,0.874
1573336639972,2019-11-09T13:57:19.972,2.489,0.093,-0.531,0.875
1573336640012,2019-11-09T13:57:20.012,2.529,0.094,-0.532,0.874
1573336640051,2019-11-09T13:57:20.051,2.568,0.093,-0.531,0.874
1573336640092,2019-11-09T13:57:20.092,2.609,0.094,-0.531,0.874
1573336640132,2019-11-09T13:57:20.132,2.649,0.092,-0.531,0.872
1573336640173,2019-11-09T13:57:20.173,2.690,0.093,-0.530,0.873
1573336640212,2019-11-09T13:57:20.212,2.729,0.093,-0.530,0.874
1573336640252,2019-11-09T13:57:20.252,2.769,0.094,-0.531,0.875
1573336640293,2019-11-09T13:57:20.293,2.810,0.093,-0.530,0.874
1573336640332,2019-11-09T13:57:20.332,2.849,0.093,-0.531,0.872
1573336640373,2019-11-09T13:57:20.373,2.890,0.094,-0.531,0.873
1573336640413,2019-11-09T13:57:20.413,2.930,0.093,-0.530,0.872
1573336640452,2019-11-09T13:57:20.452,2.969,0.094,-0.531,0.873
1573336640493,2019-11-09T13:57:20.493,3.010,0.092,-0.530,0.874
1573336640533,2019-11-09T13:57:20.533,3.050,0.094,-0.530,0.874
1573336640574,2019-11-09T13:57:20.574,3.091,0.095,-0.530,0.873
1573336640614,2019-11-09T13:57:20.614,3.131,0.093,-0.532,0.873
1573336640653,2019-11-09T13:57:20.653,3.170,0.093,-0.531,0.874
1573336640694,2019-11-09T13:57:20.694,3.211,0.093,-0.531,0.875
1573336640734,2019-11-09T13:57:20.734,3.251,0.093,-0.531,0.875
1573336640775,2019-11-09T13:57:20.775,3.292,0.095,-0.531,0.873
1573336640814,2019-11-09T13:57:20.814,3.331,0.095,-0.530,0.873
1573336640854,2019-11-09T13:57:20.854,3.371,0.094,-0.530,0.872
1573336640895,2019-11-09T13:57:20.895,3.412,0.094,-0.531,0.874
1573336640934,2019-11-09T13:57:20.934,3.451,0.094,-0.530,0.872
1573336640975,2019-11-09T13:57:20.975,3.492,0.094,-0.531,0.871
1573336641015,2019-11-09T13:57:21.015,3.532,0.094,-0.530,0.875
1573336641055,2019-11-09T13:57:21.055,3.572,0.094,-0.531,0.874
1573336641096,2019-11-09T13:57:21.096,3.613,0.093,-0.531,0.874
1573336641135,2019-11-09T13:57:21.135,3.652,0.094,-0.530,0.874
1573336641175,2019-11-09T13:57:21.175,3.692,0.092,-0.530,0.873
1573336641216,2019-11-09T13:57:21.216,3.733,0.094,-0.531,0.873
1573336641255,2019-11-09T13:57:21.255,3.772,0.093,-0.531,0.874
1573336641296,2019-11-09T13:57:21.296,3.813,0.093,-0.530,0.874
1573336641336,2019-11-09T13:57:21.336,3.853,0.095,-0.531,0.873
1573336641375,2019-11-09T13:57:21.375,3.892,0.094,-0.530,0.874
1573336641416,2019-11-09T13:57:21.416,3.933,0.093,-0.532,0.875
1573336641456,2019-11-09T13:57:21.456,3.973,0.093,-0.531,0.873
1573336641497,2019-11-09T13:57:21.497,4.014,0.093,-0.530,0.873
1573336641536,2019-11-09T13:57:21.536,4.053,0.093,-0.531,0.873
1573336641576,2019-11-09T13:57:21.576,4.093,0.093,-0.530,0.874
1573336641617,2019-11-09T13:57:21.617,4.134,0.093,-0.531,0.874
1573336641657,2019-11-09T13:57:21.657,4.174,0.093,-0.530,0.873
1573336641698,2019-11-09T13:57:21.698,4.215,0.094,-0.530,0.872
1573336641737,2019-11-09T13:57:21.737,4.254,0.094,-0.530,0.874
1573336641777,2019-11-09T13:57:21.777,4.294,0.095,-0.530,0.873
1573336641818,2019-11-09T13:57:21.818,4.335,0.095,-0.531,0.873
1573336641857,2019-11-09T13:57:21.857,4.374,0.093,-0.530,0.874
1573336641898,2019-11-09T13:57:21.898,4.415,0.093,-0.531,0.875
1573336641938,2019-11-09T13:57:21.938,4.455,0.094,-0.530,0.874
1573336641977,2019-11-09T13:57:21.977,4.494,0.093,-0.530,0.873
1573336642018,2019-11-09T13:57:22.018,4.535,0.093,-0.530,0.873
