epoch (ms),time (-08:00),elapsed (s),X-Axis (°/s),Y-Axis (°/s),Z-Axis (°/s)
1572983890574,2019-11-05T11:58:10.574,0.000,-1.220,5.854,7.256
1572983890614,2019-11-05T11:58:10.614,0.040,-0.366,6.098,7.012
1572983890655,2019-11-05T11:58:10.655,0.081,-0.244,5.549,5.244
1572983890694,2019-11-05T11:58:10.694,0.120,-5.488,4.024,4.695
1572983890735,2019-11-05T11:58:10.735,0.161,-10.000,3.049,5.427
1572983890775,2019-11-05T11:58:10.775,0.201,-7.622,2.195,5.061
1572983890816,2019-11-05T11:58:10.816,0.242,-7.317,1.585,4.024
1572983890855,2019-11-05T11:58:10.855,0.281,-7.744,1.890,3.537
1572983890895,2019-11-05T11:58:10.895,0.321,-6.829,2.683,4.695
1572983890936,2019-11-05T11:58:10.936,0.362,-2.744,3.049,4.512
1572983890976,2019-11-05T11:58:10.976,0.402,-5.000,2.744,2.927
1572983891015,2019-11-05T11:58:11.015,0.441,-3.659,2.195,2.134
1572983891056,2019-11-05T11:58:11.056,0.482,-2.256,1.585,2.866
1572983891096,2019-11-05T11:58:11.096,0.522,0.732,2.805,2.988
1572983891137,2019-11-05T11:58:11.137,0.563,-0.366,2.500,4.146
1572983891176,2019-11-05T11:58:11.176,0.602,-2.866,1.098,4.817
1572983891216,2019-11-05T11:58:11.216,0.642,-4.451,-0.671,3.902
1572983891257,2019-11-05T11:58:11.257,0.683,-2.866,-0.793,1.707
1572983891296,2019-11-05T11:58:11.296,0.722,0.122,-0.610,-0.061
1572983891337,2019-11-05T11:58:11.337,0.763,1.524,-0.366,0.305
1572983891377,2019-11-05T11:58:11.377,0.803,-1.341,-0.244,1.524
1572983891416,2019-11-05T11:58:11.416,0.842,-2.988,0.244,1.037
1572983891457,2019-11-05T11:58:11.457,0.883,-2.561,0.549,1.159
1572983891497,2019-11-05T11:58:11.497,0.923,0.854,0.061,2.256
1572983891538,2019-11-05T11:58:11.538,0.964,-4.573,1.159,1.707
1572983891578,2019-11-05T11:58:11.578,1.004,-5.244,2.683,1.585
1572983891617,2019-11-05T11:58:11.617,1.043,-5.793,2.683,3.293
1572983891658,2019-11-05T11:58:11.658,1.084,-7.256,3.232,1.951
1572983891698,2019-11-05T11:58:11.698,1.124,-0.915,2.805,2.012
1572983891739,2019-11-05T11:58:11.739,1.165,-1.402,3.659,2.256
1572983891778,2019-11-05T11:58:11.778,1.204,-3.598,4.390,3.476
