epoch (ms),time (-08:00),elapsed (s),X-Axis (°/s),Y-Axis (°/s),Z-Axis (°/s)
1572985470849,2019-11-05T12:24:30.849,0.000,50.427,39.634,-8.659
1572985470888,2019-11-05T12:24:30.888,0.039,52.683,38.354,-8.232
1572985470929,2019-11-05T12:24:30.929,0.080,71.159,28.537,-5.427
1572985470969,2019-11-05T12:24:30.969,0.120,85.244,18.780,-12.195
1572985471010,2019-11-05T12:24:31.010,0.161,45.427,31.159,-13.598
1572985471049,2019-11-05T12:24:31.049,0.200,31.768,39.329,-2.927
1572985471089,2019-11-05T12:24:31.089,0.240,53.720,34.695,3.293
1572985471130,2019-11-05T12:24:31.130,0.281,28.537,38.598,10.915
1572985471170,2019-11-05T12:24:31.170,0.321,-9.817,45.183,12.256
1572985471211,2019-11-05T12:24:31.211,0.362,-0.427,36.280,7.439
1572985471250,2019-11-05T12:24:31.250,0.401,2.439,35.854,0.610
1572985471290,2019-11-05T12:24:31.290,0.441,-8.963,41.829,-7.317
1572985471331,2019-11-05T12:24:31.331,0.482,-43.780,46.585,-7.927
1572985471370,2019-11-05T12:24:31.370,0.521,-88.232,53.780,-7.805
1572985471411,2019-11-05T12:24:31.411,0.562,-92.439,49.268,-14.268
1572985471451,2019-11-05T12:24:31.451,0.602,-74.878,36.890,-15.122
1572985471490,2019-11-05T12:24:31.490,0.641,-35.671,21.951,-16.829
1572985471531,2019-11-05T12:24:31.531,0.682,-30.915,13.659,-20.000
1572985471571,2019-11-05T12:24:31.571,0.722,-63.354,16.524,-16.463
1572985471612,2019-11-05T12:24:31.612,0.763,-91.768,15.671,-17.012
1572985471651,2019-11-05T12:24:31.651,0.802,-138.110,5.244,-10.183
1572985471691,2019-11-05T12:24:31.691,0.842,-219.268,16.707,-8.049
1572985471732,2019-11-05T12:24:31.732,0.883,-266.585,45.244,-23.415
1572985471772,2019-11-05T12:24:31.772,0.923,-233.963,55.976,-33.720
1572985471813,2019-11-05T12:24:31.813,0.964,-222.195,61.646,-38.841
1572985471852,2019-11-05T12:24:31.852,1.003,-193.537,61.159,-45.427
1572985471892,2019-11-05T12:24:31.892,1.043,-124.939,54.512,-38.354
1572985471933,2019-11-05T12:24:31.933,1.084,-50.793,40.366,-39.024
1572985471972,2019-11-05T12:24:31.972,1.123,16.829,26.463,-50.549
1572985472013,2019-11-05T12:24:32.013,1.164,22.927,21.951,-52.073
1572985472053,2019-11-05T12:24:32.053,1.204,-3.537,18.780,-51.707
1572985472092,2019-11-05T12:24:32.092,1.243,-64.695,9.573,-29.695
1572985472133,2019-11-05T12:24:32.133,1.284,-139.024,-18.049,-7.378
1572985472173,2019-11-05T12:24:32.173,1.324,-157.744,-53.293,-9.085
1572985472214,2019-11-05T12:24:32.214,1.365,-139.756,-52.866,-28.354
1572985472254,2019-11-05T12:24:32.254,1.405,-36.524,-60.732,-38.171
1572985472293,2019-11-05T12:24:32.293,1.444,-44.634,-20.732,-18.049
1572985472334,2019-11-05T12:24:32.334,1.485,-107.134,60.061,11.220
1572985472374,2019-11-05T12:24:32.374,1.525,-41.585,94.878,31.098
1572985472413,2019-11-05T12:24:32.413,1.564,62.561,54.573,6.402
1572985472454,2019-11-05T12:24:32.454,1.605,30.427,37.988,-10.915
1572985472494,2019-11-05T12:24:32.494,1.645,-31.220,36.280,-5.915
1572985472535,2019-11-05T12:24:32.535,1.686,-2.073,26.585,5.305
1572985472574,2019-11-05T12:24:32.574,1.725,13.476,18.902,4.146
1572985472614,2019-11-05T12:24:32.614,1.765,-13.841,16.037,-5.305
1572985472655,2019-11-05T12:24:32.655,1.806,-21.402,8.171,-12.378
1572985472694,2019-11-05T12:24:32.694,1.845,-5.000,4.024,-10.854
1572985472735,2019-11-05T12:24:32.735,1.886,3.902,-1.768,-9.573
1572985472775,2019-11-05T12:24:32.775,1.926,-4.756,-6.220,-10.061
1572985472815,2019-11-05T12:24:32.815,1.966,-6.098,-10.915,-3.476
1572985472856,2019-11-05T12:24:32.856,2.007,-9.390,-9.329,4.451
1572985472895,2019-11-05T12:24:32.895,2.046,3.476,-9.512,2.378
1572985472936,2019-11-05T12:24:32.936,2.087,9.390,-7.805,-2.561
1572985472976,2019-11-05T12:24:32.976,2.127,1.159,-7.622,-4.634
1572985473017,2019-11-05T12:24:33.017,2.168,0.732,-6.524,-1.280
1572985473056,2019-11-05T12:24:33.056,2.207,2.683,-7.866,3.780
1572985473096,2019-11-05T12:24:33.096,2.247,0.427,-6.220,3.963
1572985473137,2019-11-05T12:24:33.137,2.288,7.134,-6.951,3.659
1572985473176,2019-11-05T12:24:33.176,2.327,7.988,-7.805,4.634
1572985473216,2019-11-05T12:24:33.216,2.367,-0.549,-7.500,1.768
1572985473257,2019-11-05T12:24:33.257,2.408,-1.707,-10.976,1.159
1572985473296,2019-11-05T12:24:33.296,2.447,22.073,-11.768,2.866
1572985473337,2019-11-05T12:24:33.337,2.488,28.171,-15.976,3.415
1572985473377,2019-11-05T12:24:33.377,2.528,11.646,-13.780,7.012
1572985473417,2019-11-05T12:24:33.417,2.568,16.890,-16.159,6.707
1572985473458,2019-11-05T12:24:33.458,2.609,36.098,-19.695,6.341
1572985473497,2019-11-05T12:24:33.497,2.648,48.232,-24.024,6.037
1572985473538,2019-11-05T12:24:33.538,2.689,61.037,-32.500,4.146
1572985473578,2019-11-05T12:24:33.578,2.729,45.671,-32.195,3.049
1572985473617,2019-11-05T12:24:33.617,2.768,13.963,-32.134,-1.890
1572985473658,2019-11-05T12:24:33.658,2.809,-37.927,-23.171,0.732
1572985473698,2019-11-05T12:24:33.698,2.849,-65.793,-12.927,4.695
1572985473739,2019-11-05T12:24:33.739,2.890,-72.012,-5.671,1.402
1572985473778,2019-11-05T12:24:33.778,2.929,-154.390,8.537,11.890
1572985473818,2019-11-05T12:24:33.818,2.969,-143.659,17.500,6.768
1572985473859,2019-11-05T12:24:33.859,3.010,-77.683,6.220,5.000
1572985473899,2019-11-05T12:24:33.899,3.050,-55.549,10.244,5.427
1572985473940,2019-11-05T12:24:33.940,3.091,-57.500,17.134,3.841
1572985473979,2019-11-05T12:24:33.979,3.130,-31.768,6.220,7.012
1572985474019,2019-11-05T12:24:34.019,3.170,14.878,4.024,5.183
1572985474060,2019-11-05T12:24:34.060,3.211,4.634,4.573,2.439
1572985474099,2019-11-05T12:24:34.099,3.250,-10.549,6.646,-0.305
1572985474140,2019-11-05T12:24:34.140,3.291,2.622,1.829,-1.159
1572985474180,2019-11-05T12:24:34.180,3.331,-0.671,4.390,-2.561
1572985474219,2019-11-05T12:24:34.219,3.370,-1.524,0.976,-5.549
1572985474260,2019-11-05T12:24:34.260,3.411,-2.378,-0.305,-1.829
1572985474300,2019-11-05T12:24:34.300,3.451,-4.634,3.110,-0.366
1572985474341,2019-11-05T12:24:34.341,3.492,-8.841,-0.671,2.561
1572985474380,2019-11-05T12:24:34.380,3.531,3.659,2.134,1.220
1572985474420,2019-11-05T12:24:34.420,3.571,-3.598,4.207,-2.012
1572985474461,2019-11-05T12:24:34.461,3.612,2.317,4.695,-3.110
1572985474501,2019-11-05T12:24:34.501,3.652,2.195,4.878,-5.244
1572985474542,2019-11-05T12:24:34.542,3.693,1.159,3.598,-4.817
1572985474581,2019-11-05T12:24:34.581,3.732,12.683,5.000,-7.500
1572985474621,2019-11-05T12:24:34.621,3.772,-3.659,1.829,-4.695
1572985474662,2019-11-05T12:24:34.662,3.813,5.183,2.622,-0.122
1572985474701,2019-11-05T12:24:34.701,3.852,-3.110,0.610,1.341
1572985474742,2019-11-05T12:24:34.742,3.893,-11.280,-0.671,4.207
1572985474782,2019-11-05T12:24:34.782,3.933,-0.549,-3.659,3.537
1572985474821,2019-11-05T12:24:34.821,3.972,-9.695,-5.610,2.195
1572985474862,2019-11-05T12:24:34.862,4.013,-2.378,-3.902,2.805
1572985474902,2019-11-05T12:24:34.902,4.053,0.244,-5.427,1.951
1572985474943,2019-11-05T12:24:34.943,4.094,-2.744,-2.683,0.244
1572985474983,2019-11-05T12:24:34.983,4.134,-4.085,-2.988,-0.122
1572985475022,2019-11-05T12:24:35.022,4.173,3.902,-1.646,-1.159
1572985475063,2019-11-05T12:24:35.063,4.214,-4.085,-1.890,0.122
1572985475103,2019-11-05T12:24:35.103,4.254,3.902,-1.341,1.890
1572985475142,2019-11-05T12:24:35.142,4.293,-3.415,-2.012,2.378
1572985475183,2019-11-05T12:24:35.183,4.334,-3.780,-3.476,2.561
1572985475223,2019-11-05T12:24:35.223,4.374,2.988,-2.256,1.829
1572985475264,2019-11-05T12:24:35.264,4.415,-5.061,-1.890,2.073
1572985475303,2019-11-05T12:24:35.303,4.454,1.951,-1.220,1.280
1572985475343,2019-11-05T12:24:35.343,4.494,-2.317,-0.610,1.159
1572985475384,2019-11-05T12:24:35.384,4.535,-0.366,0.000,1.402
1572985475423,2019-11-05T12:24:35.423,4.574,-2.500,0.427,-1.098
1572985475464,2019-11-05T12:24:35.464,4.615,-3.476,-1.707,-3.476
1572985475504,2019-11-05T12:24:35.504,4.655,-3.841,-7.256,-4.085
1572985475544,2019-11-05T12:24:35.544,4.695,8.902,-19.878,-11.159
1572985475585,2019-11-05T12:24:35.585,4.736,46.768,-29.573,-22.561
1572985475624,2019-11-05T12:24:35.624,4.775,90.854,-40.305,-32.073
