epoch (ms),time (-08:00),elapsed (s),X-Axis (g),Y-Axis (g),Z-Axis (g)
1572983998188,2019-11-05T11:59:58.188,0.000,-0.355,-0.938,-1.061
1572983998229,2019-11-05T11:59:58.229,0.041,-0.601,-2.195,-0.970
1572983998268,2019-11-05T11:59:58.268,0.080,-1.039,-2.050,-1.209
1572983998309,2019-11-05T11:59:58.309,0.121,-0.841,-1.246,-0.505
1572983998349,2019-11-05T11:59:58.349,0.161,0.036,0.617,0.492
1572983998388,2019-11-05T11:59:58.388,0.200,1.040,0.764,-0.862
1572983998429,2019-11-05T11:59:58.429,0.241,0.218,-1.355,-1.667
1572983998469,2019-11-05T11:59:58.469,0.281,0.215,-1.452,-0.071
1572983998510,2019-11-05T11:59:58.510,0.322,0.637,-0.151,-0.591
1572983998549,2019-11-05T11:59:58.549,0.361,0.684,-0.632,-0.817
1572983998589,2019-11-05T11:59:58.589,0.401,-0.425,-1.512,-0.646
1572983998630,2019-11-05T11:59:58.630,0.442,-0.312,-0.927,0.008
1572983998669,2019-11-05T11:59:58.669,0.481,0.131,-0.732,-1.432
1572983998710,2019-11-05T11:59:58.710,0.522,-0.192,-0.636,-0.025
1572983998750,2019-11-05T11:59:58.750,0.562,0.024,-0.585,-0.209
1572983998790,2019-11-05T11:59:58.790,0.602,-0.174,-1.661,-0.537
1572983998831,2019-11-05T11:59:58.831,0.643,-1.146,-1.743,-0.840
1572983998870,2019-11-05T11:59:58.870,0.682,-0.490,-1.153,-0.372
1572983998911,2019-11-05T11:59:58.911,0.723,0.709,-1.203,-0.282
1572983998951,2019-11-05T11:59:58.951,0.763,0.151,-0.771,-0.615
1572983998990,2019-11-05T11:59:58.990,0.802,-0.270,-0.538,-0.602
1572983999031,2019-11-05T11:59:59.031,0.843,-0.064,-0.918,-0.111
1572983999071,2019-11-05T11:59:59.071,0.883,-0.793,-1.005,-0.411
1572983999112,2019-11-05T11:59:59.112,0.924,-0.021,-0.748,-0.515
1572983999151,2019-11-05T11:59:59.151,0.963,0.145,-0.645,-0.428
1572983999191,2019-11-05T11:59:59.191,1.003,0.171,-0.672,-0.632
1572983999232,2019-11-05T11:59:59.232,1.044,0.088,-1.474,-0.783
1572983999272,2019-11-05T11:59:59.272,1.084,-0.497,-1.592,-0.518
1572983999313,2019-11-05T11:59:59.313,1.125,-0.634,-1.004,-0.377
1572983999352,2019-11-05T11:59:59.352,1.164,-0.089,-0.875,-0.546
1572983999392,2019-11-05T11:59:59.392,1.204,0.005,-1.113,-0.379
1572983999433,2019-11-05T11:59:59.433,1.245,-0.338,-0.845,-0.235
1572983999472,2019-11-05T11:59:59.472,1.284,0.703,-1.299,-0.401
1572983999513,2019-11-05T11:59:59.513,1.325,1.197,-1.169,-0.550
1572983999553,2019-11-05T11:59:59.553,1.365,0.192,-1.633,-0.604
1572983999592,2019-11-05T11:59:59.592,1.404,0.558,-1.220,-0.475
1572983999633,2019-11-05T11:59:59.633,1.445,0.171,-0.784,-0.542
1572983999673,2019-11-05T11:59:59.673,1.485,-0.383,-0.810,-0.346
1572983999714,2019-11-05T11:59:59.714,1.526,-0.487,-0.768,-0.270
1572983999753,2019-11-05T11:59:59.753,1.565,-0.854,-1.701,0.665
1572983999793,2019-11-05T11:59:59.793,1.605,1.647,-0.600,-1.276
1572983999834,2019-11-05T11:59:59.834,1.646,3.126,0.618,-2.560
1572983999874,2019-11-05T11:59:59.874,1.686,0.782,-2.118,0.553
1572983999915,2019-11-05T11:59:59.915,1.727,-0.135,-0.603,-0.496
1572983999954,2019-11-05T11:59:59.954,1.766,0.624,-0.596,-1.289
1572983999994,2019-11-05T11:59:59.994,1.806,0.535,-0.454,-0.418
1572984000035,2019-11-05T12:00:00.035,1.847,0.702,-0.326,-0.308
1572984000074,2019-11-05T12:00:00.074,1.886,0.729,-0.352,-0.558
1572984000115,2019-11-05T12:00:00.115,1.927,0.624,-0.233,-0.347
1572984000155,2019-11-05T12:00:00.155,1.967,0.295,-0.208,-0.461
1572984000194,2019-11-05T12:00:00.194,2.006,0.935,-0.261,-0.853
1572984000235,2019-11-05T12:00:00.235,2.047,0.946,0.026,-1.168
1572984000275,2019-11-05T12:00:00.275,2.087,-0.017,-0.160,-0.736
1572984000316,2019-11-05T12:00:00.316,2.128,0.438,-0.065,-0.414
1572984000355,2019-11-05T12:00:00.355,2.167,0.679,-0.095,-0.770
1572984000395,2019-11-05T12:00:00.395,2.207,1.251,0.088,-0.834
1572984000436,2019-11-05T12:00:00.436,2.248,0.445,0.011,-0.205
1572984000476,2019-11-05T12:00:00.476,2.288,1.211,0.172,-0.577
1572984000517,2019-11-05T12:00:00.517,2.329,0.898,0.214,-0.443
1572984000556,2019-11-05T12:00:00.556,2.368,1.131,0.246,-0.375
1572984000596,2019-11-05T12:00:00.596,2.408,1.138,0.311,-0.204
1572984000637,2019-11-05T12:00:00.637,2.449,0.951,0.395,-0.498
1572984000676,2019-11-05T12:00:00.676,2.488,0.333,0.557,-1.689
1572984000717,2019-11-05T12:00:00.717,2.529,0.713,0.582,-1.063
1572984000757,2019-11-05T12:00:00.757,2.569,-0.131,0.277,-0.283
1572984000796,2019-11-05T12:00:00.796,2.608,-0.055,0.063,-0.465
1572984000837,2019-11-05T12:00:00.837,2.649,-0.210,0.850,-0.488
1572984000877,2019-11-05T12:00:00.877,2.689,-0.237,0.792,-0.496
1572984000918,2019-11-05T12:00:00.918,2.730,0.071,0.396,-0.505
1572984000958,2019-11-05T12:00:00.958,2.770,-0.197,0.782,-0.342
1572984000999,2019-11-05T12:00:00.999,2.811,-0.357,0.946,-0.214
1572984001038,2019-11-05T12:00:01.038,2.850,-0.283,0.920,-0.052
1572984001079,2019-11-05T12:00:01.079,2.891,-0.272,0.849,0.187
1572984001119,2019-11-05T12:00:01.119,2.931,-0.335,0.812,0.446
1572984001158,2019-11-05T12:00:01.158,2.970,-0.199,0.598,0.466
1572984001199,2019-11-05T12:00:01.199,3.011,-0.370,0.410,0.639
1572984001239,2019-11-05T12:00:01.239,3.051,-0.377,0.106,1.064
