epoch (ms),time (-08:00),elapsed (s),X-Axis (g),Y-Axis (g),Z-Axis (g)
1573013946727,2019-11-05T20:19:06.727,0.000,-0.781,0.036,0.689
1573013946766,2019-11-05T20:19:06.766,0.039,-0.789,0.039,0.695
1573013946807,2019-11-05T20:19:06.807,0.080,-0.789,0.044,0.694
1573013946847,2019-11-05T20:19:06.847,0.120,-0.784,0.057,0.685
1573013946888,2019-11-05T20:19:06.888,0.161,-0.785,0.055,0.692
1573013946927,2019-11-05T20:19:06.927,0.200,-0.780,0.049,0.692
1573013946967,2019-11-05T20:19:06.967,0.240,-0.773,0.048,0.702
1573013947008,2019-11-05T20:19:07.008,0.281,-0.767,0.051,0.704
1573013947047,2019-11-05T20:19:07.047,0.320,-0.771,0.057,0.728
1573013947087,2019-11-05T20:19:07.087,0.360,-0.766,0.080,0.804
1573013947128,2019-11-05T20:19:07.128,0.401,-0.811,0.062,0.814
1573013947168,2019-11-05T20:19:07.168,0.441,-0.833,0.074,0.742
1573013947209,2019-11-05T20:19:07.209,0.482,-0.784,0.103,0.798
1573013947248,2019-11-05T20:19:07.248,0.521,-0.773,0.115,0.802
1573013947288,2019-11-05T20:19:07.288,0.561,-0.711,0.095,0.804
1573013947329,2019-11-05T20:19:07.329,0.602,-0.671,0.104,0.763
1573013947368,2019-11-05T20:19:07.368,0.641,-0.626,0.158,0.736
1573013947409,2019-11-05T20:19:07.409,0.682,-0.593,0.187,0.718
1573013947449,2019-11-05T20:19:07.449,0.722,-0.589,0.211,0.691
1573013947488,2019-11-05T20:19:07.488,0.761,-0.586,0.232,0.699
1573013947529,2019-11-05T20:19:07.529,0.802,-0.581,0.238,0.735
1573013947569,2019-11-05T20:19:07.569,0.842,-0.552,0.224,0.765
1573013947610,2019-11-05T20:19:07.610,0.883,-0.534,0.205,0.803
1573013947649,2019-11-05T20:19:07.649,0.922,-0.534,0.213,0.822
1573013947689,2019-11-05T20:19:07.689,0.962,-0.556,0.231,0.807
1573013947730,2019-11-05T20:19:07.730,1.003,-0.561,0.229,0.803
1573013947770,2019-11-05T20:19:07.770,1.043,-0.570,0.227,0.821
1573013947811,2019-11-05T20:19:07.811,1.084,-0.565,0.219,0.849
1573013947850,2019-11-05T20:19:07.850,1.123,-0.563,0.203,0.862
1573013947890,2019-11-05T20:19:07.890,1.163,-0.566,0.200,0.874
1573013947931,2019-11-05T20:19:07.931,1.204,-0.554,0.196,0.883
1573013947970,2019-11-05T20:19:07.970,1.243,-0.542,0.194,0.876
1573013948011,2019-11-05T20:19:08.011,1.284,-0.530,0.194,0.882
1573013948051,2019-11-05T20:19:08.051,1.324,-0.513,0.202,0.896
1573013948090,2019-11-05T20:19:08.090,1.363,-0.492,0.193,0.924
1573013948131,2019-11-05T20:19:08.131,1.404,-0.488,0.214,0.915
1573013948171,2019-11-05T20:19:08.171,1.444,-0.525,0.255,0.872
1573013948212,2019-11-05T20:19:08.212,1.485,-0.571,0.276,0.828
1573013948252,2019-11-05T20:19:08.252,1.525,-0.526,0.284,0.771
1573013948291,2019-11-05T20:19:08.291,1.564,-0.544,0.340,0.757
1573013948332,2019-11-05T20:19:08.332,1.605,-0.577,0.368,0.733
1573013948372,2019-11-05T20:19:08.372,1.645,-0.575,0.334,0.760
1573013948413,2019-11-05T20:19:08.413,1.686,-0.522,0.308,0.807
1573013948452,2019-11-05T20:19:08.452,1.725,-0.489,0.295,0.832
1573013948492,2019-11-05T20:19:08.492,1.765,-0.490,0.294,0.843
1573013948533,2019-11-05T20:19:08.533,1.806,-0.513,0.294,0.857
1573013948572,2019-11-05T20:19:08.572,1.845,-0.538,0.303,0.871
1573013948613,2019-11-05T20:19:08.613,1.886,-0.523,0.307,0.876
1573013948653,2019-11-05T20:19:08.653,1.926,-0.481,0.279,0.875
1573013948692,2019-11-05T20:19:08.692,1.965,-0.466,0.271,0.870
1573013948733,2019-11-05T20:19:08.733,2.006,-0.479,0.275,0.863
1573013948773,2019-11-05T20:19:08.773,2.046,-0.490,0.260,0.873
1573013948814,2019-11-05T20:19:08.814,2.087,-0.500,0.262,0.876
1573013948854,2019-11-05T20:19:08.854,2.127,-0.508,0.279,0.866
1573013948893,2019-11-05T20:19:08.893,2.166,-0.507,0.249,0.878
1573013948934,2019-11-05T20:19:08.934,2.207,-0.500,0.227,0.903
1573013948974,2019-11-05T20:19:08.974,2.247,-0.479,0.214,0.940
1573013949013,2019-11-05T20:19:09.013,2.286,-0.454,0.184,0.996
1573013949054,2019-11-05T20:19:09.054,2.327,-0.435,0.189,1.013
1573013949094,2019-11-05T20:19:09.094,2.367,-0.462,0.222,0.959
1573013949135,2019-11-05T20:19:09.135,2.408,-0.477,0.241,0.901
1573013949174,2019-11-05T20:19:09.174,2.447,-0.487,0.275,0.861
1573013949214,2019-11-05T20:19:09.214,2.487,-0.469,0.269,0.876
1573013949255,2019-11-05T20:19:09.255,2.528,-0.546,0.355,0.831
1573013949295,2019-11-05T20:19:09.295,2.568,-0.596,0.416,0.786
1573013949336,2019-11-05T20:19:09.336,2.609,-0.590,0.422,0.731
1573013949375,2019-11-05T20:19:09.375,2.648,-0.557,0.473,0.711
1573013949415,2019-11-05T20:19:09.415,2.688,-0.512,0.430,0.711
1573013949456,2019-11-05T20:19:09.456,2.729,-0.541,0.414,0.716
1573013949495,2019-11-05T20:19:09.495,2.768,-0.557,0.485,0.744
1573013949536,2019-11-05T20:19:09.536,2.809,-0.478,0.416,0.852
1573013949576,2019-11-05T20:19:09.576,2.849,-0.454,0.372,0.861
1573013949615,2019-11-05T20:19:09.615,2.888,-0.433,0.455,0.899
1573013949656,2019-11-05T20:19:09.656,2.929,-0.541,0.588,0.676
1573013949696,2019-11-05T20:19:09.696,2.969,-0.664,0.532,0.646
1573013949737,2019-11-05T20:19:09.737,3.010,-0.461,0.475,0.899
1573013949776,2019-11-05T20:19:09.776,3.049,-0.349,0.580,0.803
1573013949816,2019-11-05T20:19:09.816,3.089,-0.567,0.739,0.726
1573013949857,2019-11-05T20:19:09.857,3.130,-0.670,0.638,0.687
