epoch (ms),time (-08:00),elapsed (s),X-Axis (°/s),Y-Axis (°/s),Z-Axis (°/s)
1573013946646,2019-11-05T20:19:06.646,0.000,-8.902,11.037,-3.110
1573013946686,2019-11-05T20:19:06.686,0.040,-8.720,10.732,-2.988
1573013946727,2019-11-05T20:19:06.727,0.081,-7.744,9.268,-3.110
1573013946766,2019-11-05T20:19:06.766,0.120,-3.415,7.195,-2.805
1573013946807,2019-11-05T20:19:06.807,0.161,0.549,4.634,-2.134
1573013946847,2019-11-05T20:19:06.847,0.201,1.341,1.098,0.549
1573013946888,2019-11-05T20:19:06.888,0.242,-0.793,-1.890,3.049
1573013946927,2019-11-05T20:19:06.927,0.281,-1.402,-4.390,4.146
1573013946967,2019-11-05T20:19:06.967,0.321,0.976,-6.037,4.085
1573013947008,2019-11-05T20:19:07.008,0.362,4.329,-7.256,3.720
1573013947047,2019-11-05T20:19:07.047,0.401,7.073,-7.439,2.439
1573013947088,2019-11-05T20:19:07.088,0.442,6.280,-5.244,0.854
1573013947128,2019-11-05T20:19:07.128,0.482,-1.037,-1.707,3.476
1573013947168,2019-11-05T20:19:07.168,0.522,4.878,-14.634,9.024
1573013947209,2019-11-05T20:19:07.209,0.563,22.927,-26.341,3.780
1573013947248,2019-11-05T20:19:07.248,0.602,34.207,-39.085,-0.366
1573013947289,2019-11-05T20:19:07.289,0.643,41.280,-50.244,-2.744
1573013947329,2019-11-05T20:19:07.329,0.683,53.720,-54.878,-3.293
1573013947368,2019-11-05T20:19:07.368,0.722,61.951,-49.817,-5.915
1573013947409,2019-11-05T20:19:07.409,0.763,52.378,-43.415,-4.878
1573013947449,2019-11-05T20:19:07.449,0.803,34.817,-34.390,-1.159
1573013947490,2019-11-05T20:19:07.490,0.844,15.244,-29.146,3.354
1573013947529,2019-11-05T20:19:07.529,0.883,0.122,-27.500,6.890
1573013947569,2019-11-05T20:19:07.569,0.923,-7.012,-24.695,8.720
1573013947610,2019-11-05T20:19:07.610,0.964,-3.171,-16.585,6.463
1573013947649,2019-11-05T20:19:07.649,1.003,6.220,-2.439,1.037
1573013947689,2019-11-05T20:19:07.689,1.043,7.012,8.659,-0.854
1573013947730,2019-11-05T20:19:07.730,1.084,-0.915,9.817,2.866
1573013947770,2019-11-05T20:19:07.770,1.124,-6.220,6.463,5.976
1573013947811,2019-11-05T20:19:07.811,1.165,-8.171,4.024,4.329
1573013947850,2019-11-05T20:19:07.850,1.204,-6.524,0.366,2.622
1573013947890,2019-11-05T20:19:07.890,1.244,-2.073,-1.280,-0.366
1573013947931,2019-11-05T20:19:07.931,1.285,1.829,-5.000,-4.451
1573013947970,2019-11-05T20:19:07.970,1.324,5.305,-8.720,-7.805
1573013948011,2019-11-05T20:19:08.011,1.365,11.951,-14.939,-12.805
1573013948051,2019-11-05T20:19:08.051,1.405,21.159,-20.976,-22.805
1573013948090,2019-11-05T20:19:08.090,1.444,30.793,-23.780,-32.195
1573013948131,2019-11-05T20:19:08.131,1.485,43.841,-20.000,-36.341
1573013948171,2019-11-05T20:19:08.171,1.525,53.537,-14.512,-36.768
1573013948212,2019-11-05T20:19:08.212,1.566,54.634,-14.146,-35.244
1573013948252,2019-11-05T20:19:08.252,1.606,51.280,-18.841,-33.110
1573013948291,2019-11-05T20:19:08.291,1.645,45.244,-8.902,-25.305
1573013948332,2019-11-05T20:19:08.332,1.686,26.585,-1.220,-8.232
1573013948372,2019-11-05T20:19:08.372,1.726,6.220,0.488,2.744
1573013948413,2019-11-05T20:19:08.413,1.767,-7.500,-2.927,5.671
1573013948452,2019-11-05T20:19:08.452,1.806,-15.427,-5.366,8.171
1573013948492,2019-11-05T20:19:08.492,1.846,-18.659,-3.110,10.000
1573013948533,2019-11-05T20:19:08.533,1.887,-20.793,1.524,8.963
1573013948572,2019-11-05T20:19:08.572,1.926,-19.817,1.159,10.793
1573013948613,2019-11-05T20:19:08.613,1.967,-18.415,-2.073,13.963
1573013948653,2019-11-05T20:19:08.653,2.007,-17.378,-3.354,12.561
1573013948692,2019-11-05T20:19:08.692,2.046,-12.988,0.183,8.476
1573013948733,2019-11-05T20:19:08.733,2.087,-12.378,1.951,6.220
1573013948773,2019-11-05T20:19:08.773,2.127,-16.524,0.915,8.659
1573013948814,2019-11-05T20:19:08.814,2.168,-16.524,1.768,10.610
1573013948854,2019-11-05T20:19:08.854,2.208,-17.561,3.110,11.524
1573013948893,2019-11-05T20:19:08.893,2.247,-23.598,1.463,15.183
1573013948934,2019-11-05T20:19:08.934,2.288,-22.378,1.524,17.195
1573013948974,2019-11-05T20:19:08.974,2.328,-16.341,2.378,14.817
