epoch (ms),time (-08:00),elapsed (s),X-Axis (g),Y-Axis (g),Z-Axis (g)
1573106733664,2019-11-06T22:05:33.664,0.000,-0.752,0.091,0.400
1573106733703,2019-11-06T22:05:33.703,0.039,-0.845,0.043,0.469
1573106733743,2019-11-06T22:05:33.743,0.079,-0.930,0.005,0.466
1573106733784,2019-11-06T22:05:33.784,0.120,-1.055,-0.044,0.413
1573106733823,2019-11-06T22:05:33.823,0.159,-1.079,-0.047,0.412
1573106733863,2019-11-06T22:05:33.863,0.199,-0.971,0.048,0.514
1573106733904,2019-11-06T22:05:33.904,0.240,-0.954,0.092,0.574
1573106733943,2019-11-06T22:05:33.943,0.279,-1.048,0.158,0.541
1573106733984,2019-11-06T22:05:33.984,0.320,-1.074,0.155,0.456
1573106734024,2019-11-06T22:05:34.024,0.360,-1.005,0.132,0.380
1573106734064,2019-11-06T22:05:34.064,0.400,-0.875,0.173,0.242
1573106734105,2019-11-06T22:05:34.105,0.441,-0.877,0.240,0.183
1573106734144,2019-11-06T22:05:34.144,0.480,-1.014,0.287,0.211
1573106734185,2019-11-06T22:05:34.185,0.521,-1.174,0.342,0.326
1573106734225,2019-11-06T22:05:34.225,0.561,-1.202,0.320,0.309
1573106734264,2019-11-06T22:05:34.264,0.600,-1.107,0.220,0.203
1573106734305,2019-11-06T22:05:34.305,0.641,-1.010,0.163,0.200
1573106734345,2019-11-06T22:05:34.345,0.681,-0.930,0.200,0.269
1573106734386,2019-11-06T22:05:34.386,0.722,-0.866,0.264,0.359
1573106734425,2019-11-06T22:05:34.425,0.761,-0.927,0.316,0.351
1573106734465,2019-11-06T22:05:34.465,0.801,-0.998,0.321,0.309
1573106734506,2019-11-06T22:05:34.506,0.842,-0.802,0.200,0.137
1573106734545,2019-11-06T22:05:34.545,0.881,-0.383,-0.283,-0.463
1573106734586,2019-11-06T22:05:34.586,0.922,-0.331,-1.385,-1.047
1573106734626,2019-11-06T22:05:34.626,0.962,-0.445,-1.875,-0.869
1573106734666,2019-11-06T22:05:34.666,1.002,-0.279,-1.494,-0.489
1573106734707,2019-11-06T22:05:34.707,1.043,-0.069,-0.944,-0.407
1573106734746,2019-11-06T22:05:34.746,1.082,-0.031,-0.785,-0.530
1573106734787,2019-11-06T22:05:34.787,1.123,-0.045,-0.801,-0.600
1573106734827,2019-11-06T22:05:34.827,1.163,-0.026,-0.793,-0.603
1573106734866,2019-11-06T22:05:34.866,1.202,0.042,-0.674,-0.555
1573106734907,2019-11-06T22:05:34.907,1.243,0.120,-0.635,-0.479
1573106734947,2019-11-06T22:05:34.947,1.283,0.103,-0.791,-0.552
1573106734988,2019-11-06T22:05:34.988,1.324,0.125,-0.847,-0.581
1573106735027,2019-11-06T22:05:35.027,1.363,0.259,-0.686,-0.542
1573106735067,2019-11-06T22:05:35.067,1.403,0.240,-0.775,-0.520
1573106735108,2019-11-06T22:05:35.108,1.444,0.166,-0.813,-0.445
1573106735148,2019-11-06T22:05:35.148,1.484,0.157,-0.832,-0.468
1573106735189,2019-11-06T22:05:35.189,1.525,0.411,-0.607,-0.557
1573106735228,2019-11-06T22:05:35.228,1.564,0.607,-0.510,-0.398
1573106735268,2019-11-06T22:05:35.268,1.604,0.438,-0.868,-0.318
1573106735309,2019-11-06T22:05:35.309,1.645,0.319,-1.021,-0.184
1573106735348,2019-11-06T22:05:35.348,1.684,0.367,-1.129,0.015
1573106735389,2019-11-06T22:05:35.389,1.725,0.399,-1.289,0.091
1573106735429,2019-11-06T22:05:35.429,1.765,0.576,-1.012,0.052
1573106735468,2019-11-06T22:05:35.468,1.804,0.732,-0.658,0.052
1573106735509,2019-11-06T22:05:35.509,1.845,0.870,-0.447,0.051
1573106735549,2019-11-06T22:05:35.549,1.885,1.025,-0.335,-0.233
1573106735588,2019-11-06T22:05:35.588,1.924,1.230,-0.214,-0.681
1573106735629,2019-11-06T22:05:35.629,1.965,1.230,-0.372,-0.959
1573106735669,2019-11-06T22:05:35.669,2.005,0.933,-0.526,-0.822
1573106735710,2019-11-06T22:05:35.710,2.046,0.536,-0.794,-0.469
1573106735750,2019-11-06T22:05:35.750,2.086,0.074,-1.069,-0.069
1573106735789,2019-11-06T22:05:35.789,2.125,-0.157,-0.643,0.525
1573106735830,2019-11-06T22:05:35.830,2.166,-0.057,-0.341,0.706
1573106735870,2019-11-06T22:05:35.870,2.206,0.644,0.291,0.531
1573106735911,2019-11-06T22:05:35.911,2.247,1.334,0.635,0.330
