epoch (ms),time (-08:00),elapsed (s),X-Axis (°/s),Y-Axis (°/s),Z-Axis (°/s)
1572991865987,2019-11-05T14:11:05.987,0.000,1.951,-0.915,-0.488
1572991866027,2019-11-05T14:11:06.027,0.040,2.134,-0.610,-0.305
1572991866068,2019-11-05T14:11:06.068,0.081,2.500,-0.549,-0.488
1572991866107,2019-11-05T14:11:06.107,0.120,1.463,-0.915,-0.366
1572991866148,2019-11-05T14:11:06.148,0.161,0.366,-0.549,0.610
1572991866188,2019-11-05T14:11:06.188,0.201,1.159,-0.671,1.098
1572991866228,2019-11-05T14:11:06.228,0.241,3.720,-0.488,1.037
1572991866269,2019-11-05T14:11:06.269,0.282,5.488,-0.732,0.183
1572991866308,2019-11-05T14:11:06.308,0.321,4.878,-0.671,-0.122
1572991866349,2019-11-05T14:11:06.349,0.362,2.866,-0.061,0.610
1572991866389,2019-11-05T14:11:06.389,0.402,0.793,0.061,1.037
1572991866428,2019-11-05T14:11:06.428,0.441,-0.427,0.061,1.220
1572991866469,2019-11-05T14:11:06.469,0.482,-1.220,0.427,1.037
1572991866509,2019-11-05T14:11:06.509,0.522,-1.463,0.793,0.549
1572991866548,2019-11-05T14:11:06.548,0.561,-1.463,0.427,0.061
1572991866589,2019-11-05T14:11:06.589,0.602,-1.463,0.366,0.366
1572991866629,2019-11-05T14:11:06.629,0.642,-2.012,0.122,1.037
1572991866670,2019-11-05T14:11:06.670,0.683,-2.195,-0.061,1.585
1572991866709,2019-11-05T14:11:06.709,0.722,-1.159,-0.183,1.220
1572991866749,2019-11-05T14:11:06.749,0.762,0.122,0.122,0.610
1572991866790,2019-11-05T14:11:06.790,0.803,-0.183,0.000,0.305
1572991866830,2019-11-05T14:11:06.830,0.843,0.000,-0.061,0.366
1572991866871,2019-11-05T14:11:06.871,0.884,0.061,0.000,0.488
1572991866910,2019-11-05T14:11:06.910,0.923,-0.488,-0.305,0.427
1572991866950,2019-11-05T14:11:06.950,0.963,-0.854,-0.244,0.793
1572991866991,2019-11-05T14:11:06.991,1.004,-0.549,0.305,0.610
1572991867030,2019-11-05T14:11:07.030,1.043,-1.280,0.244,0.427
1572991867071,2019-11-05T14:11:07.071,1.084,-0.793,0.061,0.915
1572991867111,2019-11-05T14:11:07.111,1.124,0.732,-0.183,0.793
1572991867150,2019-11-05T14:11:07.150,1.163,0.732,-0.488,0.549
1572991867191,2019-11-05T14:11:07.191,1.204,1.280,-0.427,0.915
1572991867231,2019-11-05T14:11:07.231,1.244,1.768,-0.366,0.915
1572991867272,2019-11-05T14:11:07.272,1.285,0.732,0.061,0.732
1572991867311,2019-11-05T14:11:07.311,1.324,0.244,0.366,0.854
1572991867351,2019-11-05T14:11:07.351,1.364,1.220,0.183,0.732
1572991867392,2019-11-05T14:11:07.392,1.405,1.280,0.122,0.488
1572991867432,2019-11-05T14:11:07.432,1.445,0.671,0.122,0.549
1572991867473,2019-11-05T14:11:07.473,1.486,-0.366,0.122,0.854
1572991867512,2019-11-05T14:11:07.512,1.525,-1.402,0.061,0.915
1572991867552,2019-11-05T14:11:07.552,1.565,-1.098,-0.305,0.610
1572991867593,2019-11-05T14:11:07.593,1.606,-0.488,-0.183,0.488
1572991867632,2019-11-05T14:11:07.632,1.645,-0.366,-0.183,0.610
1572991867673,2019-11-05T14:11:07.673,1.686,-0.183,-0.122,0.915
1572991867713,2019-11-05T14:11:07.713,1.726,0.366,-0.183,0.976
1572991867752,2019-11-05T14:11:07.752,1.765,1.098,-0.488,0.793
1572991867793,2019-11-05T14:11:07.793,1.806,0.183,-0.305,1.159
1572991867833,2019-11-05T14:11:07.833,1.846,-0.122,-0.549,0.976
