epoch (ms),time (-08:00),elapsed (s),X-Axis (g),Y-Axis (g),Z-Axis (g)
1572999857407,2019-11-05T16:24:17.407,0.000,-0.194,0.410,0.934
1572999857446,2019-11-05T16:24:17.446,0.039,-0.200,0.414,0.942
1572999857487,2019-11-05T16:24:17.487,0.080,-0.198,0.407,0.940
1572999857527,2019-11-05T16:24:17.527,0.120,-0.188,0.410,0.936
1572999857568,2019-11-05T16:24:17.568,0.161,-0.182,0.407,0.930
1572999857607,2019-11-05T16:24:17.607,0.200,-0.184,0.410,0.934
1572999857647,2019-11-05T16:24:17.647,0.240,-0.188,0.409,0.935
1572999857688,2019-11-05T16:24:17.688,0.281,-0.189,0.410,0.939
1572999857728,2019-11-05T16:24:17.728,0.321,-0.191,0.406,0.943
1572999857769,2019-11-05T16:24:17.769,0.362,-0.187,0.406,0.946
1572999857808,2019-11-05T16:24:17.808,0.401,-0.192,0.405,0.943
1572999857848,2019-11-05T16:24:17.848,0.441,-0.191,0.412,0.941
1572999857889,2019-11-05T16:24:17.889,0.482,-0.186,0.412,0.937
1572999857928,2019-11-05T16:24:17.928,0.521,-0.185,0.404,0.932
1572999857969,2019-11-05T16:24:17.969,0.562,-0.189,0.409,0.933
1572999858009,2019-11-05T16:24:18.009,0.602,-0.192,0.410,0.934
1572999858048,2019-11-05T16:24:18.048,0.641,-0.198,0.404,0.936
1572999858089,2019-11-05T16:24:18.089,0.682,-0.188,0.400,0.935
1572999858129,2019-11-05T16:24:18.129,0.722,-0.182,0.400,0.936
1572999858170,2019-11-05T16:24:18.170,0.763,-0.186,0.407,0.941
1572999858210,2019-11-05T16:24:18.210,0.803,-0.191,0.406,0.947
1572999858249,2019-11-05T16:24:18.249,0.842,-0.191,0.413,0.948
1572999858290,2019-11-05T16:24:18.290,0.883,-0.190,0.409,0.942
1572999858330,2019-11-05T16:24:18.330,0.923,-0.190,0.409,0.941
1572999858369,2019-11-05T16:24:18.369,0.962,-0.188,0.403,0.939
1572999858410,2019-11-05T16:24:18.410,1.003,-0.187,0.395,0.942
1572999858450,2019-11-05T16:24:18.450,1.043,-0.185,0.403,0.940
1572999858491,2019-11-05T16:24:18.491,1.084,-0.192,0.413,0.940
1572999858530,2019-11-05T16:24:18.530,1.123,-0.187,0.401,0.939
1572999858570,2019-11-05T16:24:18.570,1.163,-0.182,0.402,0.938
1572999858611,2019-11-05T16:24:18.611,1.204,-0.187,0.402,0.937
1572999858650,2019-11-05T16:24:18.650,1.243,-0.181,0.405,0.940
1572999858691,2019-11-05T16:24:18.691,1.284,-0.184,0.401,0.941
1572999858731,2019-11-05T16:24:18.731,1.324,-0.193,0.408,0.947
1572999858771,2019-11-05T16:24:18.771,1.364,-0.188,0.411,0.939
1572999858812,2019-11-05T16:24:18.812,1.405,-0.177,0.402,0.935
1572999858851,2019-11-05T16:24:18.851,1.444,-0.174,0.416,0.934
1572999858892,2019-11-05T16:24:18.892,1.485,-0.185,0.412,0.933
