epoch (ms),time (-08:00),elapsed (s),X-Axis (°/s),Y-Axis (°/s),Z-Axis (°/s)
1572999857326,2019-11-05T16:24:17.326,0.000,0.366,-0.244,1.646
1572999857367,2019-11-05T16:24:17.367,0.041,0.000,0.122,1.585
1572999857407,2019-11-05T16:24:17.407,0.081,0.366,0.366,1.707
1572999857446,2019-11-05T16:24:17.446,0.120,-0.122,0.427,1.768
1572999857487,2019-11-05T16:24:17.487,0.161,-1.280,-0.183,0.854
1572999857527,2019-11-05T16:24:17.527,0.201,-1.341,-0.915,-0.122
1572999857568,2019-11-05T16:24:17.568,0.242,-1.707,-0.732,0.366
1572999857607,2019-11-05T16:24:17.607,0.281,-0.793,0.000,1.463
1572999857647,2019-11-05T16:24:17.647,0.321,-0.427,0.732,2.256
1572999857688,2019-11-05T16:24:17.688,0.362,-0.976,0.854,2.317
1572999857728,2019-11-05T16:24:17.728,0.402,-1.524,0.427,2.073
1572999857769,2019-11-05T16:24:17.769,0.443,-1.585,0.305,1.585
1572999857808,2019-11-05T16:24:17.808,0.482,-0.549,0.671,1.037
1572999857848,2019-11-05T16:24:17.848,0.522,0.610,0.122,0.793
1572999857889,2019-11-05T16:24:17.889,0.563,-0.061,-0.366,0.610
1572999857928,2019-11-05T16:24:17.928,0.602,-0.488,0.000,0.610
1572999857969,2019-11-05T16:24:17.969,0.643,0.427,0.366,1.159
1572999858009,2019-11-05T16:24:18.009,0.683,-0.427,0.366,1.707
1572999858048,2019-11-05T16:24:18.048,0.722,-1.463,0.244,1.951
1572999858089,2019-11-05T16:24:18.089,0.763,-1.646,0.183,1.646
1572999858129,2019-11-05T16:24:18.129,0.803,-1.098,0.366,1.159
1572999858170,2019-11-05T16:24:18.170,0.844,-0.366,0.610,0.671
1572999858210,2019-11-05T16:24:18.210,0.884,-0.854,0.061,0.122
1572999858249,2019-11-05T16:24:18.249,0.923,-0.976,-0.366,0.183
1572999858290,2019-11-05T16:24:18.290,0.964,-1.829,-0.915,0.183
1572999858330,2019-11-05T16:24:18.330,1.004,-1.707,-1.220,0.549
1572999858371,2019-11-05T16:24:18.371,1.045,-1.220,-1.159,0.854
1572999858410,2019-11-05T16:24:18.410,1.084,-0.793,-0.732,1.098
1572999858450,2019-11-05T16:24:18.450,1.124,1.402,-0.244,1.037
1572999858491,2019-11-05T16:24:18.491,1.165,1.402,0.183,0.183
1572999858530,2019-11-05T16:24:18.530,1.204,-0.305,-0.061,0.244
1572999858571,2019-11-05T16:24:18.571,1.245,0.488,0.061,0.976
1572999858611,2019-11-05T16:24:18.611,1.285,0.488,0.183,1.463
1572999858650,2019-11-05T16:24:18.650,1.324,0.427,-0.061,1.159
1572999858691,2019-11-05T16:24:18.691,1.365,0.305,0.793,0.427
1572999858731,2019-11-05T16:24:18.731,1.405,1.585,0.732,0.488
1572999858771,2019-11-05T16:24:18.771,1.445,1.220,-0.183,0.183
1572999858812,2019-11-05T16:24:18.812,1.486,0.366,-0.976,0.000
1572999858851,2019-11-05T16:24:18.851,1.525,0.671,-0.366,0.122
1572999858892,2019-11-05T16:24:18.892,1.566,-2.256,0.549,0.244
1572999858932,2019-11-05T16:24:18.932,1.606,-2.378,0.732,1.280
1572999858971,2019-11-05T16:24:18.971,1.645,-0.183,-0.183,1.463
1572999859012,2019-11-05T16:24:19.012,1.686,1.037,-1.037,1.280
1572999859052,2019-11-05T16:24:19.052,1.726,1.707,-0.122,2.195
1572999859093,2019-11-05T16:24:19.093,1.767,1.341,0.366,2.866
1572999859132,2019-11-05T16:24:19.132,1.806,-0.610,-0.610,2.378
1572999859173,2019-11-05T16:24:19.173,1.847,-1.951,-0.610,2.134
1572999859213,2019-11-05T16:24:19.213,1.887,-2.195,-0.793,1.159
1572999859253,2019-11-05T16:24:19.253,1.927,-1.463,-0.427,0.122
1572999859294,2019-11-05T16:24:19.294,1.968,0.915,0.122,-0.244
1572999859333,2019-11-05T16:24:19.333,2.007,2.012,0.488,-0.488
1572999859373,2019-11-05T16:24:19.373,2.047,2.012,0.549,-0.244
1572999859414,2019-11-05T16:24:19.414,2.088,1.341,0.671,0.793
1572999859453,2019-11-05T16:24:19.453,2.127,1.220,0.671,2.195
1572999859494,2019-11-05T16:24:19.494,2.168,-1.524,-0.122,2.195
1572999859534,2019-11-05T16:24:19.534,2.208,-3.476,-0.549,1.280
1572999859573,2019-11-05T16:24:19.573,2.247,-1.951,-0.427,0.610
1572999859614,2019-11-05T16:24:19.614,2.288,-0.183,-0.061,0.427
1572999859654,2019-11-05T16:24:19.654,2.328,0.488,0.488,0.671
1572999859695,2019-11-05T16:24:19.695,2.369,1.220,0.671,1.098
1572999859734,2019-11-05T16:24:19.734,2.408,1.951,-0.061,1.341
1572999859774,2019-11-05T16:24:19.774,2.448,0.976,-0.793,1.098
1572999859815,2019-11-05T16:24:19.815,2.489,-0.549,-0.244,0.793
1572999859855,2019-11-05T16:24:19.855,2.529,-0.183,-0.061,0.793
1572999859896,2019-11-05T16:24:19.896,2.570,-1.159,-0.183,0.122
1572999859935,2019-11-05T16:24:19.935,2.609,-2.866,0.305,-0.244
1572999859975,2019-11-05T16:24:19.975,2.649,-2.012,0.610,0.915
1572999860016,2019-11-05T16:24:20.016,2.690,-0.549,0.488,1.646
1572999860055,2019-11-05T16:24:20.055,2.729,-0.183,0.000,1.280
1572999860096,2019-11-05T16:24:20.096,2.770,-0.854,0.000,0.732
1572999860136,2019-11-05T16:24:20.136,2.810,-1.646,0.183,0.305
1572999860175,2019-11-05T16:24:20.175,2.849,0.732,0.183,0.671
1572999860216,2019-11-05T16:24:20.216,2.890,1.768,0.244,0.854
1572999860256,2019-11-05T16:24:20.256,2.930,0.122,-0.122,0.244
1572999860297,2019-11-05T16:24:20.297,2.971,-2.500,-0.549,-0.854
1572999860336,2019-11-05T16:24:20.336,3.010,-1.829,-0.244,-0.610
1572999860376,2019-11-05T16:24:20.376,3.050,0.854,0.061,-0.244
1572999860417,2019-11-05T16:24:20.417,3.091,0.549,-0.122,-1.159
1572999860457,2019-11-05T16:24:20.457,3.131,0.732,-0.244,-1.159
1572999860496,2019-11-05T16:24:20.496,3.170,1.707,-0.305,-0.671
1572999860537,2019-11-05T16:24:20.537,3.211,1.159,0.061,-0.305
1572999860577,2019-11-05T16:24:20.577,3.251,2.195,0.427,0.000
1572999860618,2019-11-05T16:24:20.618,3.292,1.463,0.183,0.122
1572999860657,2019-11-05T16:24:20.657,3.331,0.122,0.061,0.244
1572999860697,2019-11-05T16:24:20.697,3.371,-0.793,-0.244,-0.610
1572999860738,2019-11-05T16:24:20.738,3.412,-0.671,0.061,-0.854
1572999860777,2019-11-05T16:24:20.777,3.451,0.793,0.366,-0.671
1572999860818,2019-11-05T16:24:20.818,3.492,0.122,-0.549,-0.244
1572999860858,2019-11-05T16:24:20.858,3.532,-1.402,-1.159,0.610
1572999860898,2019-11-05T16:24:20.898,3.572,-1.220,-1.037,0.915
1572999860939,2019-11-05T16:24:20.939,3.613,-1.646,-1.402,1.402
1572999860978,2019-11-05T16:24:20.978,3.652,0.122,-1.463,1.951
1572999861019,2019-11-05T16:24:21.019,3.693,1.098,-0.976,1.646
1572999861059,2019-11-05T16:24:21.059,3.733,0.915,-0.671,1.098
1572999861098,2019-11-05T16:24:21.098,3.772,-0.366,-0.610,0.915
1572999861139,2019-11-05T16:24:21.139,3.813,-1.280,-0.793,0.549
1572999861179,2019-11-05T16:24:21.179,3.853,0.976,-1.159,0.549
1572999861220,2019-11-05T16:24:21.220,3.894,-1.220,-1.159,0.549
1572999861259,2019-11-05T16:24:21.259,3.933,-1.585,-0.976,0.488
1572999861299,2019-11-05T16:24:21.299,3.973,-1.829,-1.037,0.000
1572999861340,2019-11-05T16:24:21.340,4.014,-4.512,-0.549,-0.244
1572999861379,2019-11-05T16:24:21.379,4.053,-2.073,0.488,0.244
1572999861420,2019-11-05T16:24:21.420,4.094,0.366,0.427,-0.244
1572999861460,2019-11-05T16:24:21.460,4.134,1.951,0.122,0.000
1572999861500,2019-11-05T16:24:21.500,4.174,2.012,-0.366,0.915
1572999861541,2019-11-05T16:24:21.541,4.215,-2.134,-0.854,1.768
1572999861580,2019-11-05T16:24:21.580,4.254,-0.671,-0.854,2.439
1572999861621,2019-11-05T16:24:21.621,4.295,3.963,-0.976,1.402
1572999861661,2019-11-05T16:24:21.661,4.335,4.024,-1.829,0.305
1572999861700,2019-11-05T16:24:21.700,4.374,-0.732,-2.561,-0.305
1572999861741,2019-11-05T16:24:21.741,4.415,-2.805,-1.890,0.488
1572999861781,2019-11-05T16:24:21.781,4.455,-2.073,-0.610,1.037
1572999861822,2019-11-05T16:24:21.822,4.496,-1.829,0.488,-0.244
1572999861861,2019-11-05T16:24:21.861,4.535,1.402,1.707,-1.402
1572999861901,2019-11-05T16:24:21.901,4.575,3.902,2.073,-1.341
1572999861942,2019-11-05T16:24:21.942,4.616,4.085,1.768,-0.305
1572999861982,2019-11-05T16:24:21.982,4.656,3.902,1.159,1.341
1572999862023,2019-11-05T16:24:22.023,4.697,0.610,-0.244,1.890
1572999862062,2019-11-05T16:24:22.062,4.736,-2.012,-1.280,1.829
1572999862102,2019-11-05T16:24:22.102,4.776,-1.280,-1.463,1.341
1572999862143,2019-11-05T16:24:22.143,4.817,-0.671,-1.220,0.976
1572999862182,2019-11-05T16:24:22.182,4.856,-0.305,-0.915,1.280
1572999862222,2019-11-05T16:24:22.222,4.896,1.890,-0.671,1.890
1572999862263,2019-11-05T16:24:22.263,4.937,0.488,0.122,0.854
1572999862302,2019-11-05T16:24:22.302,4.976,-2.012,0.671,-0.793
1572999862343,2019-11-05T16:24:22.343,5.017,-0.488,0.793,-0.427
1572999862383,2019-11-05T16:24:22.383,5.057,-2.195,0.427,0.244
1572999862422,2019-11-05T16:24:22.422,5.096,-1.585,0.427,1.159
1572999862463,2019-11-05T16:24:22.463,5.137,0.366,0.671,1.341
1572999862503,2019-11-05T16:24:22.503,5.177,0.000,0.488,0.488
1572999862544,2019-11-05T16:24:22.544,5.218,0.305,-0.244,-0.488
1572999862584,2019-11-05T16:24:22.584,5.258,-1.037,-1.098,-0.488
1572999862623,2019-11-05T16:24:22.623,5.297,-2.012,-1.037,0.732
1572999862664,2019-11-05T16:24:22.664,5.338,0.061,-0.610,1.951
1572999862704,2019-11-05T16:24:22.704,5.378,-0.366,-0.305,1.463
1572999862745,2019-11-05T16:24:22.745,5.419,-0.366,-0.549,0.854
