epoch (ms),time (-08:00),elapsed (s),X-Axis (°/s),Y-Axis (°/s),Z-Axis (°/s)
1573003502091,2019-11-05T17:25:02.091,0.000,40.854,6.098,36.159
1573003502130,2019-11-05T17:25:02.130,0.039,35.427,5.427,31.220
1573003502171,2019-11-05T17:25:02.171,0.080,35.061,-17.500,11.220
1573003502211,2019-11-05T17:25:02.211,0.120,36.768,-28.963,-6.341
1573003502252,2019-11-05T17:25:02.252,0.161,37.561,-15.244,-16.098
1573003502291,2019-11-05T17:25:02.291,0.200,49.939,23.049,-23.293
1573003502331,2019-11-05T17:25:02.331,0.240,66.646,37.195,2.317
1573003502372,2019-11-05T17:25:02.372,0.281,67.317,18.598,31.098
1573003502412,2019-11-05T17:25:02.412,0.321,59.878,-17.744,34.817
1573003502453,2019-11-05T17:25:02.453,0.362,61.280,-26.220,41.159
1573003502492,2019-11-05T17:25:02.492,0.401,67.500,-64.146,61.037
1573003502532,2019-11-05T17:25:02.532,0.441,94.695,-5.061,69.695
1573003502573,2019-11-05T17:25:02.573,0.482,159.939,-24.695,64.329
1573003502612,2019-11-05T17:25:02.612,0.521,739.146,-161.768,105.976
1573003502652,2019-11-05T17:25:02.652,0.561,1185.488,-366.646,224.512
1573003502693,2019-11-05T17:25:02.693,0.602,303.110,-165.793,94.756
1573003502732,2019-11-05T17:25:02.732,0.641,66.463,130.305,38.232
1573003502773,2019-11-05T17:25:02.773,0.682,429.024,67.439,126.220
1573003502813,2019-11-05T17:25:02.813,0.722,330.244,-142.073,-47.927
1573003502852,2019-11-05T17:25:02.852,0.761,250.122,-292.134,-321.646
1573003502893,2019-11-05T17:25:02.893,0.802,440.305,-298.537,-589.817
1573003502933,2019-11-05T17:25:02.933,0.842,313.780,-62.500,-355.061
1573003502974,2019-11-05T17:25:02.974,0.883,-40.305,244.024,269.939
1573003503014,2019-11-05T17:25:03.014,0.923,-223.902,68.171,218.963
1573003503053,2019-11-05T17:25:03.053,0.962,-330.000,2.439,13.171
1573003503094,2019-11-05T17:25:03.094,1.003,-351.220,-122.744,-196.768
1573003503134,2019-11-05T17:25:03.134,1.043,-162.744,-438.293,-307.439
1573003503175,2019-11-05T17:25:03.175,1.084,-1.402,-226.098,-65.305
1573003503214,2019-11-05T17:25:03.214,1.123,68.293,115.854,186.463
1573003503254,2019-11-05T17:25:03.254,1.163,106.463,7.378,-1.280
1573003503295,2019-11-05T17:25:03.295,1.204,85.610,-420.915,-197.134
1573003503334,2019-11-05T17:25:03.334,1.243,-102.805,-187.622,42.012
1573003503375,2019-11-05T17:25:03.375,1.284,-188.354,133.293,240.061
1573003503415,2019-11-05T17:25:03.415,1.324,-310.244,91.220,237.256
1573003503454,2019-11-05T17:25:03.454,1.363,-507.561,17.622,123.476
1573003503496,2019-11-05T17:25:03.496,1.405,-751.524,-51.159,-106.585
1573003503535,2019-11-05T17:25:03.535,1.444,-834.512,-259.329,-160.000
1573003503576,2019-11-05T17:25:03.576,1.485,-134.268,-86.768,56.098
1573003503616,2019-11-05T17:25:03.616,1.525,546.707,200.244,54.695
1573003503655,2019-11-05T17:25:03.655,1.564,315.671,97.622,-18.354
1573003503696,2019-11-05T17:25:03.696,1.605,-51.159,-28.354,22.683
1573003503736,2019-11-05T17:25:03.736,1.645,-215.793,-129.390,73.476
1573003503777,2019-11-05T17:25:03.777,1.686,-154.451,-122.195,87.988
1573003503816,2019-11-05T17:25:03.816,1.725,-4.024,-4.146,-5.061
1573003503856,2019-11-05T17:25:03.856,1.765,125.366,35.061,-24.207
1573003503897,2019-11-05T17:25:03.897,1.806,132.866,-46.890,20.549
1573003503936,2019-11-05T17:25:03.936,1.845,-34.085,-109.939,71.890
1573003503977,2019-11-05T17:25:03.977,1.886,-137.256,-33.232,24.573
1573003504017,2019-11-05T17:25:04.017,1.926,78.537,60.732,-17.439
1573003504057,2019-11-05T17:25:04.057,1.966,184.695,124.756,-117.866
1573003504098,2019-11-05T17:25:04.098,2.007,0.061,62.500,-79.634
1573003504137,2019-11-05T17:25:04.137,2.046,-131.585,-4.634,-43.293
1573003504178,2019-11-05T17:25:04.178,2.087,-88.537,11.341,-32.500
1573003504218,2019-11-05T17:25:04.218,2.127,17.927,18.902,-37.317
1573003504257,2019-11-05T17:25:04.257,2.166,36.951,-15.549,-41.280
1573003504298,2019-11-05T17:25:04.298,2.207,-11.159,-51.829,8.659
1573003504338,2019-11-05T17:25:04.338,2.247,29.939,-26.524,91.037
1573003504379,2019-11-05T17:25:04.379,2.288,2.195,15.732,164.878
1573003504418,2019-11-05T17:25:04.418,2.327,-113.598,14.390,124.390
1573003504458,2019-11-05T17:25:04.458,2.367,-104.573,-3.415,54.146
1573003504499,2019-11-05T17:25:04.499,2.408,57.561,-44.390,9.024
1573003504538,2019-11-05T17:25:04.538,2.447,271.646,-59.512,27.500
1573003504578,2019-11-05T17:25:04.578,2.487,331.585,-53.232,65.122
1573003504619,2019-11-05T17:25:04.619,2.528,245.610,-58.171,72.134
1573003504660,2019-11-05T17:25:04.660,2.569,197.439,-43.232,36.585
1573003504700,2019-11-05T17:25:04.700,2.609,184.512,-25.549,8.720
1573003504739,2019-11-05T17:25:04.739,2.648,219.817,-50.915,17.683
1573003504782,2019-11-05T17:25:04.782,2.691,257.744,-95.915,-7.927
1573003504820,2019-11-05T17:25:04.820,2.729,79.756,34.878,-7.012
1573003504859,2019-11-05T17:25:04.859,2.768,39.024,112.988,33.780
1573003504902,2019-11-05T17:25:04.902,2.811,255.488,-27.866,40.244
1573003504940,2019-11-05T17:25:04.940,2.849,246.341,25.427,93.659
1573003504979,2019-11-05T17:25:04.979,2.888,146.037,17.073,32.256
1573003505022,2019-11-05T17:25:05.022,2.931,182.683,-117.256,-31.524
1573003505060,2019-11-05T17:25:05.060,2.969,-253.049,-56.159,36.951
1573003505101,2019-11-05T17:25:05.101,3.010,-617.927,121.402,70.732
1573003505141,2019-11-05T17:25:05.141,3.050,-617.927,3.902,-132.500
1573003505180,2019-11-05T17:25:05.180,3.089,-107.805,73.902,-173.598
1573003505221,2019-11-05T17:25:05.221,3.130,51.341,-137.866,-274.878
1573003505261,2019-11-05T17:25:05.261,3.170,65.610,104.878,-33.780
1573003505302,2019-11-05T17:25:05.302,3.211,92.012,17.561,-36.585
1573003505341,2019-11-05T17:25:05.341,3.250,97.317,36.098,-57.927
1573003505381,2019-11-05T17:25:05.381,3.290,101.280,44.695,-67.500
1573003505422,2019-11-05T17:25:05.422,3.331,63.293,31.341,-47.256
1573003505461,2019-11-05T17:25:05.461,3.370,-32.744,70.061,-7.256
1573003505502,2019-11-05T17:25:05.502,3.411,-115.671,0.366,-43.720
1573003505542,2019-11-05T17:25:05.542,3.451,-27.195,-24.573,67.378
1573003505581,2019-11-05T17:25:05.581,3.490,71.707,49.939,65.854
1573003505622,2019-11-05T17:25:05.622,3.531,57.256,43.659,60.061
1573003505662,2019-11-05T17:25:05.662,3.571,8.171,-105.854,21.220
1573003505703,2019-11-05T17:25:05.703,3.612,-85.183,-114.207,20.122
1573003505743,2019-11-05T17:25:05.743,3.652,-63.537,-32.256,-42.927
1573003505782,2019-11-05T17:25:05.782,3.691,37.988,-119.512,-125.732
1573003505823,2019-11-05T17:25:05.823,3.732,48.598,-104.878,-77.256
1573003505863,2019-11-05T17:25:05.863,3.772,-15.061,-39.817,-21.098
1573003505904,2019-11-05T17:25:05.904,3.813,-51.890,-24.207,48.232
1573003505943,2019-11-05T17:25:05.943,3.852,-66.585,-43.659,-13.598
1573003505983,2019-11-05T17:25:05.983,3.892,-24.817,-75.244,2.134
1573003506024,2019-11-05T17:25:06.024,3.933,-49.451,-38.110,29.573
1573003506063,2019-11-05T17:25:06.063,3.972,-32.622,-26.098,0.671
1573003506104,2019-11-05T17:25:06.104,4.013,78.415,-31.220,-40.244
1573003506144,2019-11-05T17:25:06.144,4.053,98.841,-4.634,-13.841
1573003506183,2019-11-05T17:25:06.183,4.092,29.512,63.780,38.415
1573003506225,2019-11-05T17:25:06.225,4.134,63.537,-20.122,-44.085
1573003506264,2019-11-05T17:25:06.264,4.173,148.171,-118.720,-63.415
1573003506304,2019-11-05T17:25:06.304,4.213,112.500,21.037,127.500
1573003506345,2019-11-05T17:25:06.345,4.254,80.793,47.561,211.768
1573003506384,2019-11-05T17:25:06.384,4.293,10.244,-43.598,211.768
1573003506425,2019-11-05T17:25:06.425,4.334,-96.829,-65.305,148.293
1573003506465,2019-11-05T17:25:06.465,4.374,-82.134,10.000,56.829
1573003506504,2019-11-05T17:25:06.504,4.413,-52.988,19.695,9.512
1573003506545,2019-11-05T17:25:06.545,4.454,-31.890,-22.561,7.134
1573003506585,2019-11-05T17:25:06.585,4.494,-45.671,-33.598,59.146
1573003506626,2019-11-05T17:25:06.626,4.535,12.439,64.878,81.463
1573003506665,2019-11-05T17:25:06.665,4.574,72.256,-110.000,131.951
1573003506705,2019-11-05T17:25:06.705,4.614,-13.415,-9.756,119.329
1573003506746,2019-11-05T17:25:06.746,4.655,56.402,29.451,22.866
1573003506786,2019-11-05T17:25:06.786,4.695,128.476,-40.610,8.232
1573003506827,2019-11-05T17:25:06.827,4.736,209.390,-22.378,22.500
1573003506866,2019-11-05T17:25:06.866,4.775,328.476,-70.183,74.756
1573003506906,2019-11-05T17:25:06.906,4.815,285.244,-162.927,23.354
1573003506947,2019-11-05T17:25:06.947,4.856,157.439,-29.390,40.976
1573003506986,2019-11-05T17:25:06.986,4.895,-70.427,148.049,181.220
1573003507027,2019-11-05T17:25:07.027,4.936,-259.085,177.256,139.024
1573003507067,2019-11-05T17:25:07.067,4.976,-29.634,99.085,191.098
1573003507106,2019-11-05T17:25:07.106,5.015,39.390,11.037,180.732
1573003507147,2019-11-05T17:25:07.147,5.056,62.866,102.866,235.671
1573003507187,2019-11-05T17:25:07.187,5.096,147.500,66.159,228.110
1573003507228,2019-11-05T17:25:07.228,5.137,138.720,51.402,260.183
1573003507267,2019-11-05T17:25:07.267,5.176,170.366,-9.329,283.841
1573003507307,2019-11-05T17:25:07.307,5.216,259.817,-101.829,336.829
1573003507348,2019-11-05T17:25:07.348,5.257,417.805,-259.329,335.732
1573003507388,2019-11-05T17:25:07.388,5.297,572.622,-221.585,345.061
1573003507429,2019-11-05T17:25:07.429,5.338,631.220,-80.244,461.707
1573003507468,2019-11-05T17:25:07.468,5.377,444.207,-233.537,266.768
1573003507508,2019-11-05T17:25:07.508,5.417,377.012,-704.268,-153.841
1573003507549,2019-11-05T17:25:07.549,5.458,865.366,-507.683,-231.951
1573003507588,2019-11-05T17:25:07.588,5.497,1060.671,-254.756,-138.963
1573003507629,2019-11-05T17:25:07.629,5.538,460.671,-231.646,-216.220
1573003507669,2019-11-05T17:25:07.669,5.578,177.744,238.963,21.341
1573003507708,2019-11-05T17:25:07.708,5.617,325.244,267.561,223.780
1573003507749,2019-11-05T17:25:07.749,5.658,103.902,-52.134,133.780
1573003507789,2019-11-05T17:25:07.789,5.698,-14.756,-98.720,70.854
1573003507830,2019-11-05T17:25:07.830,5.739,-42.195,158.537,86.951
1573003507870,2019-11-05T17:25:07.870,5.779,-137.134,184.085,6.037
