epoch (ms),time (-08:00),elapsed (s),X-Axis (g),Y-Axis (g),Z-Axis (g)
1573016775259,2019-11-05T21:06:15.259,0.000,-0.398,-0.479,0.816
1573016775299,2019-11-05T21:06:15.299,0.040,-0.401,-0.487,0.822
1573016775338,2019-11-05T21:06:15.338,0.079,-0.398,-0.488,0.818
1573016775379,2019-11-05T21:06:15.379,0.120,-0.395,-0.479,0.818
1573016775419,2019-11-05T21:06:15.419,0.160,-0.390,-0.487,0.816
1573016775459,2019-11-05T21:06:15.459,0.200,-0.392,-0.488,0.820
1573016775500,2019-11-05T21:06:15.500,0.241,-0.398,-0.492,0.827
1573016775539,2019-11-05T21:06:15.539,0.280,-0.401,-0.495,0.825
1573016775580,2019-11-05T21:06:15.580,0.321,-0.399,-0.484,0.820
1573016775620,2019-11-05T21:06:15.620,0.361,-0.401,-0.477,0.811
1573016775659,2019-11-05T21:06:15.659,0.400,-0.406,-0.480,0.811
1573016775700,2019-11-05T21:06:15.700,0.441,-0.408,-0.487,0.813
1573016775740,2019-11-05T21:06:15.740,0.481,-0.404,-0.490,0.815
1573016775781,2019-11-05T21:06:15.781,0.522,-0.399,-0.488,0.818
1573016775820,2019-11-05T21:06:15.820,0.561,-0.396,-0.487,0.821
1573016775860,2019-11-05T21:06:15.860,0.601,-0.395,-0.483,0.821
1573016775901,2019-11-05T21:06:15.901,0.642,-0.398,-0.487,0.818
1573016775940,2019-11-05T21:06:15.940,0.681,-0.397,-0.482,0.817
1573016775981,2019-11-05T21:06:15.981,0.722,-0.394,-0.470,0.822
1573016776021,2019-11-05T21:06:16.021,0.762,-0.394,-0.472,0.830
1573016776061,2019-11-05T21:06:16.061,0.802,-0.399,-0.472,0.829
1573016776102,2019-11-05T21:06:16.102,0.843,-0.401,-0.475,0.827
1573016776141,2019-11-05T21:06:16.141,0.882,-0.402,-0.469,0.820
1573016776182,2019-11-05T21:06:16.182,0.923,-0.400,-0.458,0.822
1573016776222,2019-11-05T21:06:16.222,0.963,-0.393,-0.463,0.826
1573016776261,2019-11-05T21:06:16.261,1.002,-0.393,-0.460,0.830
1573016776302,2019-11-05T21:06:16.302,1.043,-0.398,-0.465,0.827
1573016776342,2019-11-05T21:06:16.342,1.083,-0.401,-0.459,0.823
1573016776383,2019-11-05T21:06:16.383,1.124,-0.399,-0.463,0.825
1573016776422,2019-11-05T21:06:16.422,1.163,-0.401,-0.463,0.828
1573016776462,2019-11-05T21:06:16.462,1.203,-0.401,-0.462,0.831
1573016776503,2019-11-05T21:06:16.503,1.244,-0.404,-0.466,0.829
1573016776543,2019-11-05T21:06:16.543,1.284,-0.403,-0.463,0.826
1573016776584,2019-11-05T21:06:16.584,1.325,-0.399,-0.461,0.828
1573016776623,2019-11-05T21:06:16.623,1.364,-0.401,-0.463,0.830
1573016776663,2019-11-05T21:06:16.663,1.404,-0.404,-0.463,0.828
1573016776704,2019-11-05T21:06:16.704,1.445,-0.403,-0.462,0.828
1573016776743,2019-11-05T21:06:16.743,1.484,-0.404,-0.458,0.823
1573016776784,2019-11-05T21:06:16.784,1.525,-0.413,-0.473,0.824
1573016776824,2019-11-05T21:06:16.824,1.565,-0.414,-0.462,0.824
1573016776863,2019-11-05T21:06:16.863,1.604,-0.411,-0.464,0.831
1573016776904,2019-11-05T21:06:16.904,1.645,-0.410,-0.469,0.839
1573016776944,2019-11-05T21:06:16.944,1.685,-0.412,-0.461,0.832
1573016776985,2019-11-05T21:06:16.985,1.726,-0.413,-0.455,0.825
1573016777024,2019-11-05T21:06:17.024,1.765,-0.413,-0.457,0.820
1573016777064,2019-11-05T21:06:17.064,1.805,-0.410,-0.458,0.822
1573016777105,2019-11-05T21:06:17.105,1.846,-0.410,-0.457,0.829
1573016777145,2019-11-05T21:06:17.145,1.886,-0.412,-0.458,0.833
1573016777184,2019-11-05T21:06:17.184,1.925,-0.413,-0.458,0.831
1573016777225,2019-11-05T21:06:17.225,1.966,-0.408,-0.459,0.830
1573016777265,2019-11-05T21:06:17.265,2.006,-0.405,-0.456,0.831
1573016777306,2019-11-05T21:06:17.306,2.047,-0.406,-0.460,0.836
1573016777345,2019-11-05T21:06:17.345,2.086,-0.409,-0.461,0.838
1573016777385,2019-11-05T21:06:17.385,2.126,-0.409,-0.464,0.835
1573016777426,2019-11-05T21:06:17.426,2.167,-0.406,-0.464,0.824
1573016777465,2019-11-05T21:06:17.465,2.206,-0.409,-0.458,0.827
1573016777506,2019-11-05T21:06:17.506,2.247,-0.406,-0.465,0.834
1573016777546,2019-11-05T21:06:17.546,2.287,-0.401,-0.469,0.835
1573016777585,2019-11-05T21:06:17.585,2.326,-0.403,-0.465,0.833
1573016777627,2019-11-05T21:06:17.627,2.368,-0.402,-0.468,0.829
1573016777666,2019-11-05T21:06:17.666,2.407,-0.401,-0.469,0.832
1573016777707,2019-11-05T21:06:17.707,2.448,-0.398,-0.474,0.831
1573016777747,2019-11-05T21:06:17.747,2.488,-0.394,-0.479,0.824
1573016777786,2019-11-05T21:06:17.786,2.527,-0.393,-0.480,0.825
1573016777827,2019-11-05T21:06:17.827,2.568,-0.389,-0.480,0.823
1573016777867,2019-11-05T21:06:17.867,2.608,-0.386,-0.479,0.823
1573016777908,2019-11-05T21:06:17.908,2.649,-0.387,-0.483,0.830
1573016777947,2019-11-05T21:06:17.947,2.688,-0.388,-0.485,0.828
1573016777987,2019-11-05T21:06:17.987,2.728,-0.389,-0.480,0.819
1573016778028,2019-11-05T21:06:18.028,2.769,-0.393,-0.469,0.821
1573016778067,2019-11-05T21:06:18.067,2.808,-0.397,-0.471,0.825
1573016778107,2019-11-05T21:06:18.107,2.848,-0.397,-0.482,0.821
1573016778148,2019-11-05T21:06:18.148,2.889,-0.391,-0.477,0.825
1573016778188,2019-11-05T21:06:18.188,2.929,-0.390,-0.475,0.825
1573016778229,2019-11-05T21:06:18.229,2.970,-0.390,-0.477,0.832
1573016778268,2019-11-05T21:06:18.268,3.009,-0.388,-0.479,0.833
1573016778308,2019-11-05T21:06:18.308,3.049,-0.383,-0.471,0.830
1573016778349,2019-11-05T21:06:18.349,3.090,-0.386,-0.469,0.833
1573016778388,2019-11-05T21:06:18.388,3.129,-0.390,-0.474,0.832
1573016778429,2019-11-05T21:06:18.429,3.170,-0.391,-0.473,0.836
1573016778469,2019-11-05T21:06:18.469,3.210,-0.395,-0.471,0.841
1573016778508,2019-11-05T21:06:18.508,3.249,-0.396,-0.471,0.835
1573016778549,2019-11-05T21:06:18.549,3.290,-0.395,-0.458,0.832
1573016778589,2019-11-05T21:06:18.589,3.330,-0.393,-0.461,0.831
1573016778630,2019-11-05T21:06:18.630,3.371,-0.394,-0.457,0.833
1573016778669,2019-11-05T21:06:18.669,3.410,-0.395,-0.466,0.841
1573016778709,2019-11-05T21:06:18.709,3.450,-0.392,-0.465,0.842
1573016778750,2019-11-05T21:06:18.750,3.491,-0.387,-0.454,0.840
1573016778790,2019-11-05T21:06:18.790,3.531,-0.389,-0.458,0.842
1573016778831,2019-11-05T21:06:18.831,3.572,-0.393,-0.464,0.846
1573016778870,2019-11-05T21:06:18.870,3.611,-0.391,-0.457,0.848
1573016778910,2019-11-05T21:06:18.910,3.651,-0.389,-0.451,0.845
1573016778951,2019-11-05T21:06:18.951,3.692,-0.392,-0.449,0.837
1573016778990,2019-11-05T21:06:18.990,3.731,-0.389,-0.444,0.834
1573016779031,2019-11-05T21:06:19.031,3.772,-0.389,-0.448,0.837
1573016779071,2019-11-05T21:06:19.071,3.812,-0.389,-0.454,0.833
1573016779110,2019-11-05T21:06:19.110,3.851,-0.385,-0.457,0.834
1573016779151,2019-11-05T21:06:19.151,3.892,-0.382,-0.470,0.842
1573016779191,2019-11-05T21:06:19.191,3.932,-0.385,-0.450,0.834
1573016779232,2019-11-05T21:06:19.232,3.973,-0.391,-0.447,0.840
1573016779272,2019-11-05T21:06:19.272,4.013,-0.401,-0.483,0.874
1573016779311,2019-11-05T21:06:19.311,4.052,-0.406,-0.459,0.841
1573016779352,2019-11-05T21:06:19.352,4.093,-0.401,-0.435,0.815
1573016779392,2019-11-05T21:06:19.392,4.133,-0.403,-0.426,0.818
1573016779433,2019-11-05T21:06:19.433,4.174,-0.406,-0.422,0.811
1573016779472,2019-11-05T21:06:19.472,4.213,-0.411,-0.443,0.825
1573016779512,2019-11-05T21:06:19.512,4.253,-0.412,-0.455,0.840
1573016779553,2019-11-05T21:06:19.553,4.294,-0.414,-0.463,0.826
1573016779592,2019-11-05T21:06:19.592,4.333,-0.416,-0.480,0.816
1573016779632,2019-11-05T21:06:19.632,4.373,-0.417,-0.484,0.813
1573016779673,2019-11-05T21:06:19.673,4.414,-0.415,-0.475,0.805
1573016779712,2019-11-05T21:06:19.712,4.453,-0.420,-0.458,0.791
1573016779753,2019-11-05T21:06:19.753,4.494,-0.415,-0.463,0.783
1573016779793,2019-11-05T21:06:19.793,4.534,-0.458,-0.333,0.772
1573016779833,2019-11-05T21:06:19.833,4.574,-0.469,-0.311,0.667
1573016779874,2019-11-05T21:06:19.874,4.615,-0.429,-0.540,0.662
1573016779913,2019-11-05T21:06:19.913,4.654,-0.365,-0.580,0.668
1573016779954,2019-11-05T21:06:19.954,4.695,-0.353,-0.518,0.597
1573016779994,2019-11-05T21:06:19.994,4.735,-0.388,-0.410,0.543
1573016780033,2019-11-05T21:06:20.033,4.774,-0.454,-0.331,0.503
