epoch (ms),time (-08:00),elapsed (s),X-Axis (°/s),Y-Axis (°/s),Z-Axis (°/s)
1573340105994,2019-11-09T14:55:05.994,0.000,-0.366,0.061,0.793
1573340106034,2019-11-09T14:55:06.034,0.040,-0.122,0.244,0.854
1573340106075,2019-11-09T14:55:06.075,0.081,-0.244,0.122,0.854
1573340106115,2019-11-09T14:55:06.115,0.121,-0.244,0.122,0.793
1573340106156,2019-11-09T14:55:06.156,0.162,-0.183,0.061,0.793
1573340106195,2019-11-09T14:55:06.195,0.201,-0.244,0.122,0.793
1573340106236,2019-11-09T14:55:06.236,0.242,-0.244,0.122,0.793
1573340106276,2019-11-09T14:55:06.276,0.282,-0.244,0.122,0.854
1573340106315,2019-11-09T14:55:06.315,0.321,-0.244,0.061,0.793
1573340106356,2019-11-09T14:55:06.356,0.362,-0.244,0.122,0.793
1573340106396,2019-11-09T14:55:06.396,0.402,-0.183,0.122,0.793
1573340106435,2019-11-09T14:55:06.435,0.441,-0.244,0.122,0.793
1573340106476,2019-11-09T14:55:06.476,0.482,-0.244,0.122,0.793
1573340106516,2019-11-09T14:55:06.516,0.522,-0.244,0.122,0.793
1573340106557,2019-11-09T14:55:06.557,0.563,-0.244,0.061,0.793
1573340106596,2019-11-09T14:55:06.596,0.602,-0.244,0.122,0.793
1573340106636,2019-11-09T14:55:06.636,0.642,-0.183,0.122,0.793
1573340106677,2019-11-09T14:55:06.677,0.683,-0.244,0.122,0.793
1573340106717,2019-11-09T14:55:06.717,0.723,-0.244,0.122,0.793
1573340106758,2019-11-09T14:55:06.758,0.764,-0.244,0.061,0.793
1573340106797,2019-11-09T14:55:06.797,0.803,-0.183,0.122,0.732
1573340106837,2019-11-09T14:55:06.837,0.843,-0.183,0.122,0.793
1573340106878,2019-11-09T14:55:06.878,0.884,-0.183,0.122,0.793
1573340106917,2019-11-09T14:55:06.917,0.923,-0.244,0.122,0.793
1573340106958,2019-11-09T14:55:06.958,0.964,-0.183,0.122,0.793
1573340106998,2019-11-09T14:55:06.998,1.004,-0.183,0.122,0.854
1573340107037,2019-11-09T14:55:07.037,1.043,-0.183,0.122,0.793
1573340107078,2019-11-09T14:55:07.078,1.084,-0.183,0.122,0.793
1573340107118,2019-11-09T14:55:07.118,1.124,-0.244,0.061,0.793
1573340107158,2019-11-09T14:55:07.158,1.164,-0.183,0.122,0.793
1573340107199,2019-11-09T14:55:07.199,1.205,-0.183,0.061,0.793
1573340107238,2019-11-09T14:55:07.238,1.244,-0.244,0.122,0.732
1573340107279,2019-11-09T14:55:07.279,1.285,-0.244,0.183,0.793
1573340107319,2019-11-09T14:55:07.319,1.325,-0.244,0.061,0.793
1573340107358,2019-11-09T14:55:07.358,1.364,-0.183,0.061,0.793
1573340107399,2019-11-09T14:55:07.399,1.405,-0.183,0.122,0.793
1573340107439,2019-11-09T14:55:07.439,1.445,-0.183,0.122,0.732
1573340107480,2019-11-09T14:55:07.480,1.486,-0.244,0.122,0.793
1573340107519,2019-11-09T14:55:07.519,1.525,-0.244,0.122,0.854
1573340107560,2019-11-09T14:55:07.560,1.566,-0.183,0.122,0.793
1573340107600,2019-11-09T14:55:07.600,1.606,-0.244,0.122,0.793
1573340107639,2019-11-09T14:55:07.639,1.645,-0.244,0.122,0.793
1573340107680,2019-11-09T14:55:07.680,1.686,-0.244,0.183,0.854
1573340107720,2019-11-09T14:55:07.720,1.726,-0.244,0.122,0.793
1573340107760,2019-11-09T14:55:07.760,1.766,-0.183,0.122,0.793
1573340107801,2019-11-09T14:55:07.801,1.807,-0.244,0.122,0.793
1573340107840,2019-11-09T14:55:07.840,1.846,-0.244,0.122,0.793
1573340107881,2019-11-09T14:55:07.881,1.887,-0.183,0.122,0.732
1573340107921,2019-11-09T14:55:07.921,1.927,-0.244,0.122,0.793
1573340107960,2019-11-09T14:55:07.960,1.966,-0.244,0.122,0.793
1573340108001,2019-11-09T14:55:08.001,2.007,-0.244,0.122,0.793
1573340108041,2019-11-09T14:55:08.041,2.047,-0.183,0.122,0.793
1573340108082,2019-11-09T14:55:08.082,2.088,-0.244,0.122,0.793
1573340108121,2019-11-09T14:55:08.121,2.127,-0.244,0.122,0.793
1573340108161,2019-11-09T14:55:08.161,2.167,-0.244,0.122,0.793
1573340108202,2019-11-09T14:55:08.202,2.208,-0.183,0.122,0.793
1573340108242,2019-11-09T14:55:08.242,2.248,-0.244,0.122,0.854
1573340108283,2019-11-09T14:55:08.283,2.289,-0.244,0.122,0.793
1573340108322,2019-11-09T14:55:08.322,2.328,-0.244,0.122,0.793
1573340108362,2019-11-09T14:55:08.362,2.368,-0.244,0.122,0.793
1573340108403,2019-11-09T14:55:08.403,2.409,-0.183,0.122,0.793
1573340108442,2019-11-09T14:55:08.442,2.448,-0.244,0.122,0.793
1573340108482,2019-11-09T14:55:08.482,2.488,-0.244,0.122,0.732
1573340108523,2019-11-09T14:55:08.523,2.529,-0.244,0.122,0.793
1573340108564,2019-11-09T14:55:08.564,2.570,-0.183,0.061,0.854
1573340108603,2019-11-09T14:55:08.603,2.609,-0.183,0.122,0.793
1573340108643,2019-11-09T14:55:08.643,2.649,-0.183,0.122,0.793
1573340108685,2019-11-09T14:55:08.685,2.691,-0.183,0.122,0.793
1573340108723,2019-11-09T14:55:08.723,2.729,-0.183,0.122,0.854
