epoch (ms),time (-08:00),elapsed (s),X-Axis (g),Y-Axis (g),Z-Axis (g)
1573336278681,2019-11-09T13:51:18.681,0.000,-0.757,0.555,-0.277
1573336278720,2019-11-09T13:51:18.720,0.039,-0.763,0.560,-0.281
1573336278761,2019-11-09T13:51:18.761,0.080,-0.759,0.557,-0.280
1573336278801,2019-11-09T13:51:18.801,0.120,-0.761,0.559,-0.279
1573336278840,2019-11-09T13:51:18.840,0.159,-0.761,0.559,-0.281
1573336278880,2019-11-09T13:51:18.880,0.199,-0.762,0.560,-0.281
1573336278919,2019-11-09T13:51:18.919,0.238,-0.763,0.560,-0.281
1573336278959,2019-11-09T13:51:18.959,0.278,-0.761,0.559,-0.279
1573336279000,2019-11-09T13:51:19.000,0.319,-0.762,0.559,-0.279
1573336279040,2019-11-09T13:51:19.040,0.359,-0.762,0.559,-0.278
1573336279079,2019-11-09T13:51:19.079,0.398,-0.763,0.560,-0.281
1573336279119,2019-11-09T13:51:19.119,0.438,-0.763,0.558,-0.281
1573336279158,2019-11-09T13:51:19.158,0.477,-0.760,0.559,-0.279
1573336279198,2019-11-09T13:51:19.198,0.517,-0.761,0.559,-0.280
1573336279239,2019-11-09T13:51:19.239,0.558,-0.761,0.558,-0.279
1573336279278,2019-11-09T13:51:19.278,0.597,-0.762,0.559,-0.280
1573336279318,2019-11-09T13:51:19.318,0.637,-0.761,0.560,-0.279
1573336279357,2019-11-09T13:51:19.357,0.676,-0.763,0.559,-0.280
1573336279397,2019-11-09T13:51:19.397,0.716,-0.759,0.560,-0.281
1573336279437,2019-11-09T13:51:19.437,0.756,-0.762,0.560,-0.279
1573336279478,2019-11-09T13:51:19.478,0.797,-0.762,0.559,-0.279
1573336279517,2019-11-09T13:51:19.517,0.836,-0.762,0.559,-0.279
1573336279557,2019-11-09T13:51:19.557,0.876,-0.762,0.559,-0.279
1573336279596,2019-11-09T13:51:19.596,0.915,-0.761,0.559,-0.279
1573336279636,2019-11-09T13:51:19.636,0.955,-0.762,0.559,-0.279
1573336279675,2019-11-09T13:51:19.675,0.994,-0.761,0.559,-0.279
1573336279716,2019-11-09T13:51:19.716,1.035,-0.761,0.559,-0.280
1573336279756,2019-11-09T13:51:19.756,1.075,-0.761,0.558,-0.279
1573336279795,2019-11-09T13:51:19.795,1.114,-0.762,0.560,-0.281
1573336279835,2019-11-09T13:51:19.835,1.154,-0.761,0.560,-0.280
1573336279875,2019-11-09T13:51:19.875,1.194,-0.763,0.560,-0.277
1573336279914,2019-11-09T13:51:19.914,1.233,-0.761,0.559,-0.277
1573336279955,2019-11-09T13:51:19.955,1.274,-0.762,0.559,-0.280
1573336279995,2019-11-09T13:51:19.995,1.314,-0.761,0.559,-0.278
1573336280034,2019-11-09T13:51:20.034,1.353,-0.763,0.559,-0.278
1573336280074,2019-11-09T13:51:20.074,1.393,-0.763,0.560,-0.278
