epoch (ms),time (-08:00),elapsed (s),X-Axis (°/s),Y-Axis (°/s),Z-Axis (°/s)
1573336278641,2019-11-09T13:51:18.641,0.000,-0.793,-0.183,0.122
1573336278681,2019-11-09T13:51:18.681,0.040,-0.732,-0.244,-0.122
1573336278720,2019-11-09T13:51:18.720,0.079,-0.854,0.000,-0.244
1573336278761,2019-11-09T13:51:18.761,0.120,-0.915,-0.061,-0.183
1573336278801,2019-11-09T13:51:18.801,0.160,-0.854,-0.061,-0.183
1573336278840,2019-11-09T13:51:18.840,0.199,-0.854,-0.061,-0.183
1573336278880,2019-11-09T13:51:18.880,0.239,-0.915,-0.061,-0.244
1573336278919,2019-11-09T13:51:18.919,0.278,-0.915,-0.061,-0.183
1573336278959,2019-11-09T13:51:18.959,0.318,-0.915,0.000,-0.183
1573336279000,2019-11-09T13:51:19.000,0.359,-0.854,-0.061,-0.244
1573336279040,2019-11-09T13:51:19.040,0.399,-0.854,-0.061,-0.183
1573336279079,2019-11-09T13:51:19.079,0.438,-0.854,0.000,-0.183
1573336279119,2019-11-09T13:51:19.119,0.478,-0.854,-0.061,-0.183
1573336279158,2019-11-09T13:51:19.158,0.517,-0.854,-0.061,-0.183
1573336279198,2019-11-09T13:51:19.198,0.557,-0.854,0.000,-0.244
1573336279239,2019-11-09T13:51:19.239,0.598,-0.854,-0.061,-0.183
1573336279278,2019-11-09T13:51:19.278,0.637,-0.854,-0.061,-0.183
1573336279318,2019-11-09T13:51:19.318,0.677,-0.854,0.000,-0.183
1573336279357,2019-11-09T13:51:19.357,0.716,-0.854,0.000,-0.244
1573336279397,2019-11-09T13:51:19.397,0.756,-0.854,-0.061,-0.183
1573336279438,2019-11-09T13:51:19.438,0.797,-0.854,0.000,-0.244
1573336279478,2019-11-09T13:51:19.478,0.837,-0.854,-0.061,-0.183
1573336279517,2019-11-09T13:51:19.517,0.876,-0.793,-0.061,-0.244
1573336279557,2019-11-09T13:51:19.557,0.916,-0.915,0.000,-0.183
1573336279596,2019-11-09T13:51:19.596,0.955,-0.854,0.000,-0.183
1573336279636,2019-11-09T13:51:19.636,0.995,-0.854,0.000,-0.183
1573336279677,2019-11-09T13:51:19.677,1.036,-0.854,-0.061,-0.183
1573336279716,2019-11-09T13:51:19.716,1.075,-0.854,0.000,-0.244
1573336279756,2019-11-09T13:51:19.756,1.115,-0.854,-0.061,-0.183
1573336279795,2019-11-09T13:51:19.795,1.154,-0.793,-0.061,-0.305
1573336279835,2019-11-09T13:51:19.835,1.194,-0.854,-0.061,-0.183
1573336279875,2019-11-09T13:51:19.875,1.234,-0.854,0.000,-0.183
1573336279916,2019-11-09T13:51:19.916,1.275,-0.854,-0.061,-0.183
1573336279955,2019-11-09T13:51:19.955,1.314,-0.854,0.000,-0.183
1573336279995,2019-11-09T13:51:19.995,1.354,-0.854,-0.061,-0.244
1573336280034,2019-11-09T13:51:20.034,1.393,-0.854,0.000,-0.183
1573336280074,2019-11-09T13:51:20.074,1.433,-0.854,-0.061,-0.183
1573336280113,2019-11-09T13:51:20.113,1.472,-0.915,-0.122,-0.183
1573336280154,2019-11-09T13:51:20.154,1.513,-0.793,-0.061,-0.183
1573336280194,2019-11-09T13:51:20.194,1.553,-0.915,-0.061,-0.183
1573336280233,2019-11-09T13:51:20.233,1.592,-0.915,-0.061,-0.183
1573336280273,2019-11-09T13:51:20.273,1.632,-0.854,0.000,-0.183
1573336280313,2019-11-09T13:51:20.313,1.672,-0.854,-0.061,-0.183
1573336280352,2019-11-09T13:51:20.352,1.711,-0.854,0.000,-0.183
1573336280393,2019-11-09T13:51:20.393,1.752,-0.854,-0.061,-0.183
1573336280433,2019-11-09T13:51:20.433,1.792,-0.854,0.000,-0.244
1573336280472,2019-11-09T13:51:20.472,1.831,-0.854,-0.061,-0.183
1573336280513,2019-11-09T13:51:20.513,1.872,-0.854,0.000,-0.183
1573336280551,2019-11-09T13:51:20.551,1.910,-0.854,-0.061,-0.183
1573336280591,2019-11-09T13:51:20.591,1.950,-0.793,-0.061,-0.244
1573336280632,2019-11-09T13:51:20.632,1.991,-0.854,0.000,-0.183
1573336280671,2019-11-09T13:51:20.671,2.030,-0.793,-0.061,-0.244
1573336280711,2019-11-09T13:51:20.711,2.070,-0.854,-0.061,-0.244
1573336280751,2019-11-09T13:51:20.751,2.110,-0.793,-0.061,-0.122
1573336280790,2019-11-09T13:51:20.790,2.149,-0.793,0.000,-0.244
1573336280830,2019-11-09T13:51:20.830,2.189,-0.793,0.000,-0.183
1573336280871,2019-11-09T13:51:20.871,2.230,-0.793,-0.061,-0.183
1573336280910,2019-11-09T13:51:20.910,2.269,-0.854,-0.061,-0.183
1573336280950,2019-11-09T13:51:20.950,2.309,-0.915,-0.061,-0.244
1573336280989,2019-11-09T13:51:20.989,2.348,-0.854,-0.061,-0.244
1573336281029,2019-11-09T13:51:21.029,2.388,-0.854,-0.061,-0.122
1573336281068,2019-11-09T13:51:21.068,2.427,-0.854,0.000,-0.183
1573336281109,2019-11-09T13:51:21.109,2.468,-0.854,-0.061,-0.183
1573336281149,2019-11-09T13:51:21.149,2.508,-0.854,0.000,-0.244
1573336281189,2019-11-09T13:51:21.189,2.548,-0.854,-0.122,-0.183
1573336281228,2019-11-09T13:51:21.228,2.587,-0.854,0.000,-0.183
1573336281268,2019-11-09T13:51:21.268,2.627,-0.854,-0.061,-0.183
1573336281307,2019-11-09T13:51:21.307,2.666,-0.854,-0.061,-0.183
1573336281348,2019-11-09T13:51:21.348,2.707,-0.793,-0.061,-0.183
1573336281388,2019-11-09T13:51:21.388,2.747,-0.793,-0.061,-0.183
1573336281427,2019-11-09T13:51:21.427,2.786,-0.854,0.000,-0.183
1573336281467,2019-11-09T13:51:21.467,2.826,-0.854,-0.061,-0.183
1573336281506,2019-11-09T13:51:21.506,2.865,-0.793,-0.061,-0.183
