epoch (ms),time (-08:00),elapsed (s),X-Axis (g),Y-Axis (g),Z-Axis (g)
1573106716038,2019-11-06T22:05:16.038,0.000,1.176,-0.056,0.862
1573106716077,2019-11-06T22:05:16.077,0.039,1.195,-0.173,0.862
1573106716118,2019-11-06T22:05:16.118,0.080,1.026,-0.215,0.780
1573106716158,2019-11-06T22:05:16.158,0.120,0.870,-0.174,0.625
1573106716197,2019-11-06T22:05:16.197,0.159,0.812,-0.059,0.551
1573106716237,2019-11-06T22:05:16.237,0.199,0.807,0.046,0.573
1573106716276,2019-11-06T22:05:16.276,0.238,0.770,0.254,0.621
1573106716316,2019-11-06T22:05:16.316,0.278,0.648,0.463,0.555
1573106716357,2019-11-06T22:05:16.357,0.319,0.516,0.549,0.445
1573106716396,2019-11-06T22:05:16.396,0.358,0.480,0.513,0.438
1573106716436,2019-11-06T22:05:16.436,0.398,0.551,0.270,0.357
1573106716476,2019-11-06T22:05:16.476,0.438,0.572,-0.255,0.330
1573106716515,2019-11-06T22:05:16.515,0.477,0.320,0.039,0.430
1573106716555,2019-11-06T22:05:16.555,0.517,0.224,0.826,0.757
1573106716596,2019-11-06T22:05:16.596,0.558,0.147,0.661,0.985
1573106716635,2019-11-06T22:05:16.635,0.597,0.031,-0.165,1.086
1573106716675,2019-11-06T22:05:16.675,0.637,-0.373,-0.674,1.058
1573106716714,2019-11-06T22:05:16.714,0.676,-0.807,-0.570,0.875
1573106716754,2019-11-06T22:05:16.754,0.716,-1.173,0.024,0.708
1573106716793,2019-11-06T22:05:16.793,0.755,-1.229,0.372,0.616
1573106716834,2019-11-06T22:05:16.834,0.796,-1.076,0.294,0.534
1573106716874,2019-11-06T22:05:16.874,0.836,-0.833,0.064,0.403
1573106716914,2019-11-06T22:05:16.914,0.876,-0.739,-0.026,0.314
1573106716953,2019-11-06T22:05:16.953,0.915,-0.823,0.074,0.248
1573106716993,2019-11-06T22:05:16.993,0.955,-1.199,-0.141,0.349
1573106717032,2019-11-06T22:05:17.032,0.994,-1.287,0.215,0.559
1573106717073,2019-11-06T22:05:17.073,1.035,-0.871,0.511,0.360
1573106717113,2019-11-06T22:05:17.113,1.075,-0.877,0.525,0.096
1573106717152,2019-11-06T22:05:17.152,1.114,-0.936,0.541,0.056
1573106717192,2019-11-06T22:05:17.192,1.154,-0.897,0.362,0.092
1573106717231,2019-11-06T22:05:17.231,1.193,-0.975,0.122,0.191
1573106717272,2019-11-06T22:05:17.272,1.234,-0.986,-0.104,0.327
1573106717312,2019-11-06T22:05:17.312,1.274,-0.905,-0.158,0.385
1573106717352,2019-11-06T22:05:17.352,1.314,-0.833,0.026,0.316
1573106717391,2019-11-06T22:05:17.391,1.353,-0.814,0.092,0.233
1573106717431,2019-11-06T22:05:17.431,1.393,-0.862,0.040,0.193
1573106717470,2019-11-06T22:05:17.470,1.432,-0.927,-0.010,0.202
1573106717511,2019-11-06T22:05:17.511,1.473,-0.953,-0.055,0.281
1573106717551,2019-11-06T22:05:17.551,1.513,-0.884,-0.139,0.357
1573106717590,2019-11-06T22:05:17.590,1.552,-0.906,-0.137,0.444
1573106717630,2019-11-06T22:05:17.630,1.592,-0.923,-0.148,0.512
1573106717669,2019-11-06T22:05:17.669,1.631,-0.831,-0.192,0.438
1573106717709,2019-11-06T22:05:17.709,1.671,-0.724,-0.107,0.288
1573106717750,2019-11-06T22:05:17.750,1.712,-0.748,-0.049,0.244
1573106717790,2019-11-06T22:05:17.790,1.752,-0.901,-0.102,0.284
1573106717829,2019-11-06T22:05:17.829,1.791,-0.997,-0.096,0.377
1573106717869,2019-11-06T22:05:17.869,1.831,-0.926,0.034,0.417
1573106717908,2019-11-06T22:05:17.908,1.870,-0.897,0.104,0.347
1573106717948,2019-11-06T22:05:17.948,1.910,-0.904,0.113,0.267
1573106717989,2019-11-06T22:05:17.989,1.951,-0.839,0.049,0.225
1573106718028,2019-11-06T22:05:18.028,1.990,-0.817,-0.061,0.244
1573106718068,2019-11-06T22:05:18.068,2.030,-0.855,-0.141,0.275
1573106718107,2019-11-06T22:05:18.107,2.069,-0.892,-0.146,0.291
1573106718147,2019-11-06T22:05:18.147,2.109,-0.889,-0.105,0.275
1573106718187,2019-11-06T22:05:18.187,2.149,-0.862,-0.073,0.266
1573106718228,2019-11-06T22:05:18.228,2.190,-0.837,-0.084,0.298
1573106718267,2019-11-06T22:05:18.267,2.229,-0.814,-0.082,0.303
1573106718307,2019-11-06T22:05:18.307,2.269,-0.850,-0.029,0.280
1573106718348,2019-11-06T22:05:18.348,2.310,-0.916,0.035,0.266
1573106718386,2019-11-06T22:05:18.386,2.348,-0.981,0.089,0.239
1573106718425,2019-11-06T22:05:18.425,2.387,-1.020,0.086,0.228
1573106718466,2019-11-06T22:05:18.466,2.428,-0.939,0.041,0.230
1573106718506,2019-11-06T22:05:18.506,2.468,-0.834,0.021,0.209
