epoch (ms),time (-08:00),elapsed (s),X-Axis (g),Y-Axis (g),Z-Axis (g)
1573016523412,2019-11-05T21:02:03.412,0.000,-0.157,-0.537,0.742
1573016523452,2019-11-05T21:02:03.452,0.040,-0.176,-0.470,0.755
1573016523491,2019-11-05T21:02:03.491,0.079,-0.117,-0.579,0.683
1573016523532,2019-11-05T21:02:03.532,0.120,-0.079,-0.611,0.727
1573016523572,2019-11-05T21:02:03.572,0.160,-0.115,-0.562,0.865
1573016523611,2019-11-05T21:02:03.611,0.199,-0.120,-0.501,0.979
1573016523651,2019-11-05T21:02:03.651,0.239,-0.104,-0.457,1.017
1573016523690,2019-11-05T21:02:03.690,0.278,-0.103,-0.425,1.002
1573016523730,2019-11-05T21:02:03.730,0.318,-0.073,-0.276,0.954
1573016523771,2019-11-05T21:02:03.771,0.359,-0.043,-0.095,0.925
1573016523810,2019-11-05T21:02:03.810,0.398,-0.100,-0.069,0.938
1573016523850,2019-11-05T21:02:03.850,0.438,-0.145,-0.054,0.966
1573016523890,2019-11-05T21:02:03.890,0.478,-0.157,-0.053,0.904
1573016523929,2019-11-05T21:02:03.929,0.517,-0.169,-0.078,0.899
1573016523969,2019-11-05T21:02:03.969,0.557,-0.126,-0.017,0.889
1573016524010,2019-11-05T21:02:04.010,0.598,-0.101,0.011,0.900
1573016524049,2019-11-05T21:02:04.049,0.637,-0.091,-0.015,0.943
1573016524089,2019-11-05T21:02:04.089,0.677,-0.081,-0.003,0.980
1573016524128,2019-11-05T21:02:04.128,0.716,-0.061,-0.008,1.021
1573016524168,2019-11-05T21:02:04.168,0.756,-0.063,-0.033,1.040
1573016524207,2019-11-05T21:02:04.207,0.795,-0.059,-0.023,1.039
1573016524248,2019-11-05T21:02:04.248,0.836,-0.062,0.028,1.064
1573016524288,2019-11-05T21:02:04.288,0.876,-0.087,0.092,1.077
1573016524328,2019-11-05T21:02:04.328,0.916,-0.083,0.110,1.052
1573016524367,2019-11-05T21:02:04.367,0.955,-0.087,0.060,1.029
1573016524407,2019-11-05T21:02:04.407,0.995,-0.093,0.047,0.966
1573016524446,2019-11-05T21:02:04.446,1.034,-0.076,0.031,0.953
1573016524487,2019-11-05T21:02:04.487,1.075,-0.092,0.044,0.969
1573016524527,2019-11-05T21:02:04.527,1.115,-0.100,0.070,0.978
1573016524566,2019-11-05T21:02:04.566,1.154,-0.088,0.035,0.947
1573016524606,2019-11-05T21:02:04.606,1.194,-0.065,0.037,0.952
1573016524645,2019-11-05T21:02:04.645,1.233,-0.045,0.070,0.954
1573016524685,2019-11-05T21:02:04.685,1.273,-0.038,0.120,0.950
1573016524726,2019-11-05T21:02:04.726,1.314,-0.027,0.116,0.951
1573016524766,2019-11-05T21:02:04.766,1.354,-0.028,0.093,0.958
1573016524805,2019-11-05T21:02:04.805,1.393,-0.100,0.149,1.007
1573016524845,2019-11-05T21:02:04.845,1.433,-0.184,0.131,0.990
1573016524884,2019-11-05T21:02:04.884,1.472,-0.234,0.028,0.944
1573016524925,2019-11-05T21:02:04.925,1.513,-0.231,-0.018,0.916
1573016524965,2019-11-05T21:02:04.965,1.553,-0.243,0.031,0.927
1573016525004,2019-11-05T21:02:05.004,1.592,-0.291,0.105,0.949
1573016525044,2019-11-05T21:02:05.044,1.632,-0.340,0.110,0.967
1573016525083,2019-11-05T21:02:05.083,1.671,-0.394,0.005,0.931
1573016525123,2019-11-05T21:02:05.123,1.711,-0.421,-0.105,0.892
1573016525164,2019-11-05T21:02:05.164,1.752,-0.384,-0.171,0.859
1573016525204,2019-11-05T21:02:05.204,1.792,-0.325,-0.197,0.859
1573016525243,2019-11-05T21:02:05.243,1.831,-0.290,-0.098,0.875
1573016525283,2019-11-05T21:02:05.283,1.871,-0.251,-0.013,0.910
1573016525322,2019-11-05T21:02:05.322,1.910,-0.259,0.017,0.918
1573016525362,2019-11-05T21:02:05.362,1.950,-0.287,-0.019,0.889
1573016525403,2019-11-05T21:02:05.403,1.991,-0.294,-0.083,0.854
1573016525442,2019-11-05T21:02:05.442,2.030,-0.324,-0.076,0.851
1573016525482,2019-11-05T21:02:05.482,2.070,-0.341,-0.035,0.856
1573016525521,2019-11-05T21:02:05.521,2.109,-0.343,-0.050,0.905
1573016525561,2019-11-05T21:02:05.561,2.149,-0.445,-0.030,0.973
1573016525600,2019-11-05T21:02:05.600,2.188,-0.477,-0.039,0.909
1573016525642,2019-11-05T21:02:05.642,2.230,-0.375,-0.125,0.817
1573016525681,2019-11-05T21:02:05.681,2.269,-0.297,-0.074,0.822
1573016525721,2019-11-05T21:02:05.721,2.309,-0.312,0.094,0.873
1573016525760,2019-11-05T21:02:05.760,2.348,-0.329,0.164,0.905
1573016525800,2019-11-05T21:02:05.800,2.388,-0.333,0.153,0.917
1573016525839,2019-11-05T21:02:05.839,2.427,-0.359,0.148,0.906
