epoch (ms),time (-08:00),elapsed (s),X-Axis (°/s),Y-Axis (°/s),Z-Axis (°/s)
1573016523333,2019-11-05T21:02:03.333,0.000,36.341,-11.341,0.427
1573016523372,2019-11-05T21:02:03.372,0.039,35.488,-10.610,-0.549
1573016523412,2019-11-05T21:02:03.412,0.079,34.024,-7.317,-3.780
1573016523452,2019-11-05T21:02:03.452,0.119,27.805,-2.378,-4.390
1573016523491,2019-11-05T21:02:03.491,0.158,24.878,4.634,0.732
1573016523532,2019-11-05T21:02:03.532,0.199,37.622,15.549,5.854
1573016523572,2019-11-05T21:02:03.572,0.239,45.732,25.183,5.000
1573016523611,2019-11-05T21:02:03.611,0.278,43.537,23.841,0.610
1573016523651,2019-11-05T21:02:03.651,0.318,33.232,18.232,-7.805
1573016523690,2019-11-05T21:02:03.690,0.357,30.183,12.439,-15.793
1573016523731,2019-11-05T21:02:03.731,0.398,41.524,7.866,-22.988
1573016523771,2019-11-05T21:02:03.771,0.438,50.427,3.780,-23.963
1573016523810,2019-11-05T21:02:03.810,0.477,47.439,2.378,-22.134
1573016523850,2019-11-05T21:02:03.850,0.517,46.341,-1.890,-22.683
1573016523890,2019-11-05T21:02:03.890,0.557,44.512,-8.354,-27.561
1573016523929,2019-11-05T21:02:03.929,0.596,41.646,-14.085,-32.866
1573016523969,2019-11-05T21:02:03.969,0.636,46.829,-16.585,-35.366
1573016524010,2019-11-05T21:02:04.010,0.677,50.671,-12.988,-38.232
1573016524049,2019-11-05T21:02:04.049,0.716,54.329,-6.768,-39.207
1573016524089,2019-11-05T21:02:04.089,0.756,58.354,-0.610,-41.037
1573016524128,2019-11-05T21:02:04.128,0.795,52.256,4.573,-41.707
1573016524168,2019-11-05T21:02:04.168,0.835,44.878,9.390,-39.024
1573016524209,2019-11-05T21:02:04.209,0.876,41.524,11.220,-34.573
1573016524248,2019-11-05T21:02:04.248,0.915,34.207,12.744,-31.951
1573016524288,2019-11-05T21:02:04.288,0.955,23.415,13.537,-32.073
1573016524328,2019-11-05T21:02:04.328,0.995,4.817,11.037,-33.110
1573016524367,2019-11-05T21:02:04.367,1.034,-11.768,9.207,-34.207
1573016524407,2019-11-05T21:02:04.407,1.074,-11.585,9.878,-36.646
1573016524448,2019-11-05T21:02:04.448,1.115,-9.146,10.793,-39.634
1573016524487,2019-11-05T21:02:04.487,1.154,-2.012,12.561,-44.634
1573016524527,2019-11-05T21:02:04.527,1.194,0.183,12.073,-48.476
1573016524566,2019-11-05T21:02:04.566,1.233,1.646,12.317,-50.976
1573016524607,2019-11-05T21:02:04.607,1.274,7.988,13.476,-52.073
1573016524645,2019-11-05T21:02:04.645,1.312,14.512,15.793,-51.585
1573016524686,2019-11-05T21:02:04.686,1.353,19.817,18.963,-47.744
1573016524726,2019-11-05T21:02:04.726,1.393,18.171,21.098,-40.122
1573016524766,2019-11-05T21:02:04.766,1.433,19.268,22.988,-33.476
1573016524805,2019-11-05T21:02:04.805,1.472,20.122,25.793,-30.183
1573016524845,2019-11-05T21:02:04.845,1.512,15.793,24.939,-25.549
1573016524884,2019-11-05T21:02:04.884,1.551,10.915,22.866,-17.561
1573016524925,2019-11-05T21:02:04.925,1.592,14.878,21.585,-8.476
1573016524965,2019-11-05T21:02:04.965,1.632,22.866,21.159,-2.378
1573016525004,2019-11-05T21:02:05.004,1.671,18.415,18.720,-2.683
1573016525044,2019-11-05T21:02:05.044,1.711,-0.488,14.146,-7.500
1573016525083,2019-11-05T21:02:05.083,1.750,-18.293,11.159,-17.683
1573016525123,2019-11-05T21:02:05.123,1.790,-23.963,8.415,-27.561
1573016525164,2019-11-05T21:02:05.164,1.831,-15.366,7.744,-31.646
1573016525204,2019-11-05T21:02:05.204,1.871,3.110,8.720,-27.683
1573016525243,2019-11-05T21:02:05.243,1.910,18.963,9.268,-20.854
1573016525283,2019-11-05T21:02:05.283,1.950,16.037,8.476,-14.390
1573016525322,2019-11-05T21:02:05.322,1.989,4.451,8.598,-7.622
1573016525362,2019-11-05T21:02:05.362,2.029,-8.963,7.378,0.488
1573016525403,2019-11-05T21:02:05.403,2.070,-14.634,4.756,9.756
1573016525442,2019-11-05T21:02:05.442,2.109,-9.939,3.476,18.110
1573016525482,2019-11-05T21:02:05.482,2.149,-8.598,1.220,26.341
1573016525521,2019-11-05T21:02:05.521,2.188,-10.000,2.744,31.341
1573016525561,2019-11-05T21:02:05.561,2.228,-7.256,10.000,30.000
