epoch (ms),time (-08:00),elapsed (s),X-Axis (g),Y-Axis (g),Z-Axis (g)
1573016758827,2019-11-05T21:05:58.827,0.000,-0.396,0.374,0.793
1573016758868,2019-11-05T21:05:58.868,0.041,-0.392,0.373,0.796
1573016758907,2019-11-05T21:05:58.907,0.080,-0.392,0.377,0.795
1573016758947,2019-11-05T21:05:58.947,0.120,-0.396,0.385,0.802
1573016758986,2019-11-05T21:05:58.986,0.159,-0.390,0.383,0.807
1573016759026,2019-11-05T21:05:59.026,0.199,-0.386,0.384,0.819
1573016759065,2019-11-05T21:05:59.065,0.238,-0.380,0.398,0.830
1573016759106,2019-11-05T21:05:59.106,0.279,-0.372,0.398,0.804
1573016759146,2019-11-05T21:05:59.146,0.319,-0.367,0.370,0.757
1573016759185,2019-11-05T21:05:59.185,0.358,-0.369,0.376,0.758
1573016759225,2019-11-05T21:05:59.225,0.398,-0.372,0.404,0.805
1573016759265,2019-11-05T21:05:59.265,0.438,-0.380,0.417,0.852
1573016759304,2019-11-05T21:05:59.304,0.477,-0.383,0.428,0.860
1573016759345,2019-11-05T21:05:59.345,0.518,-0.371,0.418,0.827
1573016759385,2019-11-05T21:05:59.385,0.558,-0.350,0.393,0.781
1573016759424,2019-11-05T21:05:59.424,0.597,-0.340,0.381,0.770
1573016759464,2019-11-05T21:05:59.464,0.637,-0.341,0.381,0.791
1573016759503,2019-11-05T21:05:59.503,0.676,-0.361,0.418,0.825
1573016759543,2019-11-05T21:05:59.543,0.716,-0.364,0.423,0.836
1573016759584,2019-11-05T21:05:59.584,0.757,-0.357,0.405,0.823
1573016759623,2019-11-05T21:05:59.623,0.796,-0.355,0.404,0.818
1573016759663,2019-11-05T21:05:59.663,0.836,-0.349,0.413,0.812
1573016759703,2019-11-05T21:05:59.703,0.876,-0.336,0.420,0.815
1573016759742,2019-11-05T21:05:59.742,0.915,-0.337,0.417,0.822
1573016759782,2019-11-05T21:05:59.782,0.955,-0.347,0.417,0.820
1573016759823,2019-11-05T21:05:59.823,0.996,-0.359,0.404,0.805
1573016759862,2019-11-05T21:05:59.862,1.035,-0.363,0.399,0.798
1573016759902,2019-11-05T21:05:59.902,1.075,-0.361,0.408,0.806
