epoch (ms),time (-08:00),elapsed (s),X-Axis (g),Y-Axis (g),Z-Axis (g)
1572985532894,2019-11-05T12:25:32.894,0.000,-0.123,-0.098,1.028
1572985532934,2019-11-05T12:25:32.934,0.040,-0.129,-0.120,1.031
1572985532975,2019-11-05T12:25:32.975,0.081,-0.124,-0.105,1.039
1572985533015,2019-11-05T12:25:33.015,0.121,-0.136,-0.108,1.037
1572985533056,2019-11-05T12:25:33.056,0.162,-0.140,-0.089,1.026
1572985533095,2019-11-05T12:25:33.095,0.201,-0.127,-0.092,1.014
1572985533135,2019-11-05T12:25:33.135,0.241,-0.129,-0.094,1.023
1572985533176,2019-11-05T12:25:33.176,0.282,-0.135,-0.094,1.044
1572985533215,2019-11-05T12:25:33.215,0.321,-0.140,-0.105,1.029
1572985533255,2019-11-05T12:25:33.255,0.361,-0.126,-0.099,1.031
1572985533296,2019-11-05T12:25:33.296,0.402,-0.130,-0.107,1.020
1572985533335,2019-11-05T12:25:33.335,0.441,-0.129,-0.096,1.023
1572985533376,2019-11-05T12:25:33.376,0.482,-0.140,-0.106,1.036
1572985533416,2019-11-05T12:25:33.416,0.522,-0.143,-0.099,1.035
1572985533455,2019-11-05T12:25:33.455,0.561,-0.130,-0.092,1.033
1572985533496,2019-11-05T12:25:33.496,0.602,-0.135,-0.106,1.043
1572985533536,2019-11-05T12:25:33.536,0.642,-0.145,-0.081,1.021
1572985533577,2019-11-05T12:25:33.577,0.683,-0.145,-0.099,1.010
1572985533617,2019-11-05T12:25:33.617,0.723,-0.139,-0.095,1.034
1572985533656,2019-11-05T12:25:33.656,0.762,-0.154,-0.082,1.030
1572985533697,2019-11-05T12:25:33.697,0.803,-0.146,-0.099,1.027
1572985533737,2019-11-05T12:25:33.737,0.843,-0.144,-0.107,1.027
1572985533778,2019-11-05T12:25:33.778,0.884,-0.149,-0.087,1.034
1572985533817,2019-11-05T12:25:33.817,0.923,-0.148,-0.104,1.033
1572985533857,2019-11-05T12:25:33.857,0.963,-0.143,-0.101,1.051
1572985533898,2019-11-05T12:25:33.898,1.004,-0.127,-0.095,1.037
1572985533937,2019-11-05T12:25:33.937,1.043,-0.130,-0.094,1.026
1572985533978,2019-11-05T12:25:33.978,1.084,-0.142,-0.067,1.030
1572985534018,2019-11-05T12:25:34.018,1.124,-0.149,-0.075,1.002
1572985534058,2019-11-05T12:25:34.058,1.164,-0.158,-0.087,1.018
1572985534099,2019-11-05T12:25:34.099,1.205,-0.148,-0.084,1.027
1572985534138,2019-11-05T12:25:34.138,1.244,-0.147,-0.075,1.031
1572985534179,2019-11-05T12:25:34.179,1.285,-0.159,-0.084,1.030
1572985534219,2019-11-05T12:25:34.219,1.325,-0.148,-0.090,1.049
1572985534258,2019-11-05T12:25:34.258,1.364,-0.158,-0.083,1.036
1572985534299,2019-11-05T12:25:34.299,1.405,-0.152,-0.095,1.025
1572985534339,2019-11-05T12:25:34.339,1.445,-0.144,-0.085,1.020
1572985534378,2019-11-05T12:25:34.378,1.484,-0.149,-0.079,1.031
1572985534419,2019-11-05T12:25:34.419,1.525,-0.153,-0.082,1.034
1572985534459,2019-11-05T12:25:34.459,1.565,-0.148,-0.084,1.036
1572985534500,2019-11-05T12:25:34.500,1.606,-0.142,-0.095,1.019
1572985534539,2019-11-05T12:25:34.539,1.645,-0.142,-0.080,1.023
1572985534579,2019-11-05T12:25:34.579,1.685,-0.149,-0.100,1.044
1572985534620,2019-11-05T12:25:34.620,1.726,-0.156,-0.086,1.039
1572985534660,2019-11-05T12:25:34.660,1.766,-0.154,-0.085,1.037
1572985534701,2019-11-05T12:25:34.701,1.807,-0.158,-0.088,1.023
1572985534740,2019-11-05T12:25:34.740,1.846,-0.144,-0.080,1.027
1572985534780,2019-11-05T12:25:34.780,1.886,-0.149,-0.079,1.030
1572985534821,2019-11-05T12:25:34.821,1.927,-0.165,-0.085,1.026
1572985534860,2019-11-05T12:25:34.860,1.966,-0.155,-0.075,1.009
1572985534901,2019-11-05T12:25:34.901,2.007,-0.152,-0.087,1.025
1572985534941,2019-11-05T12:25:34.941,2.047,-0.161,-0.085,1.043
1572985534980,2019-11-05T12:25:34.980,2.086,-0.162,-0.072,1.038
1572985535021,2019-11-05T12:25:35.021,2.127,-0.167,-0.079,1.019
1572985535061,2019-11-05T12:25:35.061,2.167,-0.161,-0.081,1.027
1572985535102,2019-11-05T12:25:35.102,2.208,-0.137,-0.062,1.016
1572985535142,2019-11-05T12:25:35.142,2.248,-0.169,-0.117,1.040
1572985535181,2019-11-05T12:25:35.181,2.287,-0.199,-0.080,1.062
1572985535222,2019-11-05T12:25:35.222,2.328,-0.144,-0.069,1.033
1572985535262,2019-11-05T12:25:35.262,2.368,-0.115,-0.132,1.027
1572985535303,2019-11-05T12:25:35.303,2.409,-0.131,-0.083,1.004
1572985535342,2019-11-05T12:25:35.342,2.448,-0.165,-0.066,1.028
1572985535382,2019-11-05T12:25:35.382,2.488,-0.203,-0.131,1.051
1572985535423,2019-11-05T12:25:35.423,2.529,-0.167,-0.124,1.035
1572985535462,2019-11-05T12:25:35.462,2.568,-0.154,-0.119,1.042
1572985535503,2019-11-05T12:25:35.503,2.609,-0.127,-0.099,0.993
1572985535544,2019-11-05T12:25:35.544,2.650,-0.137,-0.065,1.046
1572985535582,2019-11-05T12:25:35.582,2.688,-0.203,-0.081,1.020
1572985535623,2019-11-05T12:25:35.623,2.729,-0.160,-0.058,1.003
1572985535664,2019-11-05T12:25:35.664,2.770,-0.171,-0.065,1.028
1572985535704,2019-11-05T12:25:35.704,2.810,-0.196,-0.062,1.037
1572985535744,2019-11-05T12:25:35.744,2.850,-0.139,-0.068,1.023
1572985535785,2019-11-05T12:25:35.785,2.891,-0.157,-0.104,1.032
1572985535824,2019-11-05T12:25:35.824,2.930,-0.168,-0.074,1.030
1572985535864,2019-11-05T12:25:35.864,2.970,-0.165,-0.082,1.027
1572985535905,2019-11-05T12:25:35.905,3.011,-0.178,-0.097,1.021
1572985535944,2019-11-05T12:25:35.944,3.050,-0.187,-0.060,1.033
1572985535984,2019-11-05T12:25:35.984,3.090,-0.168,-0.073,1.015
1572985536025,2019-11-05T12:25:36.025,3.131,-0.164,-0.075,1.011
1572985536064,2019-11-05T12:25:36.064,3.170,-0.152,-0.073,1.027
1572985536105,2019-11-05T12:25:36.105,3.211,-0.162,-0.095,1.042
1572985536145,2019-11-05T12:25:36.145,3.251,-0.175,-0.085,1.036
1572985536184,2019-11-05T12:25:36.184,3.290,-0.168,-0.085,1.022
1572985536225,2019-11-05T12:25:36.225,3.331,-0.169,-0.084,1.031
1572985536265,2019-11-05T12:25:36.265,3.371,-0.165,-0.076,1.020
1572985536306,2019-11-05T12:25:36.306,3.412,-0.174,-0.081,1.033
1572985536346,2019-11-05T12:25:36.346,3.452,-0.179,-0.086,1.032
1572985536385,2019-11-05T12:25:36.385,3.491,-0.165,-0.073,1.026
1572985536426,2019-11-05T12:25:36.426,3.532,-0.167,-0.089,1.023
1572985536466,2019-11-05T12:25:36.466,3.572,-0.177,-0.073,1.039
1572985536507,2019-11-05T12:25:36.507,3.613,-0.169,-0.082,1.031
1572985536546,2019-11-05T12:25:36.546,3.652,-0.167,-0.085,1.029
1572985536586,2019-11-05T12:25:36.586,3.692,-0.190,-0.105,1.024
1572985536627,2019-11-05T12:25:36.627,3.733,-0.169,-0.057,1.032
1572985536666,2019-11-05T12:25:36.666,3.772,-0.160,-0.104,1.021
1572985536707,2019-11-05T12:25:36.707,3.813,-0.167,-0.090,1.032
1572985536747,2019-11-05T12:25:36.747,3.853,-0.159,-0.071,1.034
1572985536787,2019-11-05T12:25:36.787,3.893,-0.164,-0.088,1.009
1572985536828,2019-11-05T12:25:36.828,3.934,-0.165,-0.087,1.031
1572985536867,2019-11-05T12:25:36.867,3.973,-0.174,-0.070,1.038
1572985536907,2019-11-05T12:25:36.907,4.013,-0.179,-0.099,1.037
1572985536948,2019-11-05T12:25:36.948,4.054,-0.176,-0.068,1.049
1572985536987,2019-11-05T12:25:36.987,4.093,-0.154,-0.063,1.047
1572985537028,2019-11-05T12:25:37.028,4.134,-0.135,0.032,1.024
1572985537068,2019-11-05T12:25:37.068,4.174,-0.141,-0.238,0.874
1572985537107,2019-11-05T12:25:37.107,4.213,-0.175,-0.156,0.930
1572985537148,2019-11-05T12:25:37.148,4.254,-0.222,0.004,0.973
1572985537188,2019-11-05T12:25:37.188,4.294,-0.263,-0.019,1.003
1572985537229,2019-11-05T12:25:37.229,4.335,-0.272,-0.100,1.010
1572985537268,2019-11-05T12:25:37.268,4.374,-0.284,-0.092,1.026
1572985537308,2019-11-05T12:25:37.308,4.414,-0.333,0.008,0.980
1572985537349,2019-11-05T12:25:37.349,4.455,-0.358,0.177,0.769
