epoch (ms),time (-08:00),elapsed (s),X-Axis (g),Y-Axis (g),Z-Axis (g)
1572983608394,2019-11-05T11:53:28.394,0.000,0.419,-0.886,-0.012
1572983608435,2019-11-05T11:53:28.435,0.041,0.419,-0.893,-0.005
1572983608475,2019-11-05T11:53:28.475,0.081,0.416,-0.908,-0.005
1572983608515,2019-11-05T11:53:28.515,0.121,0.418,-0.902,-0.005
1572983608556,2019-11-05T11:53:28.556,0.162,0.417,-0.895,-0.004
1572983608595,2019-11-05T11:53:28.595,0.201,0.417,-0.899,-0.006
1572983608636,2019-11-05T11:53:28.636,0.242,0.421,-0.886,-0.008
1572983608676,2019-11-05T11:53:28.676,0.282,0.423,-0.882,-0.011
1572983608715,2019-11-05T11:53:28.715,0.321,0.424,-0.895,-0.016
1572983608756,2019-11-05T11:53:28.756,0.362,0.418,-0.898,-0.011
1572983608796,2019-11-05T11:53:28.796,0.402,0.413,-0.905,-0.007
1572983608837,2019-11-05T11:53:28.837,0.443,0.409,-0.909,-0.005
1572983608876,2019-11-05T11:53:28.876,0.482,0.405,-0.903,-0.002
1572983608916,2019-11-05T11:53:28.916,0.522,0.405,-0.901,0.006
1572983608957,2019-11-05T11:53:28.957,0.563,0.409,-0.893,0.006
1572983608997,2019-11-05T11:53:28.997,0.603,0.410,-0.888,0.006
1572983609038,2019-11-05T11:53:29.038,0.644,0.411,-0.883,0.005
1572983609077,2019-11-05T11:53:29.077,0.683,0.413,-0.881,0.000
1572983609117,2019-11-05T11:53:29.117,0.723,0.405,-0.880,0.000
1572983609158,2019-11-05T11:53:29.158,0.764,0.407,-0.867,0.003
1572983609197,2019-11-05T11:53:29.197,0.803,0.419,-0.882,0.002
1572983609238,2019-11-05T11:53:29.238,0.844,0.430,-0.895,-0.001
1572983609278,2019-11-05T11:53:29.278,0.884,0.432,-0.919,-0.010
1572983609317,2019-11-05T11:53:29.317,0.923,0.419,-0.971,-0.014
1572983609358,2019-11-05T11:53:29.358,0.964,0.407,-0.951,0.004
1572983609398,2019-11-05T11:53:29.398,1.004,0.410,-0.890,0.035
1572983609439,2019-11-05T11:53:29.439,1.045,0.414,-0.855,0.061
1572983609478,2019-11-05T11:53:29.478,1.084,0.413,-0.844,0.078
1572983609518,2019-11-05T11:53:29.518,1.124,0.418,-0.853,0.079
1572983609559,2019-11-05T11:53:29.559,1.165,0.418,-0.902,0.070
1572983609599,2019-11-05T11:53:29.599,1.205,0.415,-0.914,0.064
1572983609640,2019-11-05T11:53:29.640,1.246,0.419,-0.891,0.058
1572983609679,2019-11-05T11:53:29.679,1.285,0.431,-0.889,0.060
1572983609719,2019-11-05T11:53:29.719,1.325,0.442,-0.901,0.053
1572983609760,2019-11-05T11:53:29.760,1.366,0.440,-0.917,0.049
1572983609799,2019-11-05T11:53:29.799,1.405,0.438,-0.921,0.052
1572983609840,2019-11-05T11:53:29.840,1.446,0.431,-0.884,0.057
1572983609880,2019-11-05T11:53:29.880,1.486,0.426,-0.872,0.058
1572983609919,2019-11-05T11:53:29.919,1.525,0.417,-0.897,0.050
1572983609960,2019-11-05T11:53:29.960,1.566,0.412,-0.882,0.060
1572983610000,2019-11-05T11:53:30.000,1.606,0.413,-0.876,0.062
1572983610041,2019-11-05T11:53:30.041,1.647,0.412,-0.892,0.061
1572983610081,2019-11-05T11:53:30.081,1.687,0.414,-0.887,0.066
1572983610120,2019-11-05T11:53:30.120,1.726,0.415,-0.893,0.070
1572983610161,2019-11-05T11:53:30.161,1.767,0.413,-0.903,0.068
1572983610201,2019-11-05T11:53:30.201,1.807,0.407,-0.898,0.070
1572983610242,2019-11-05T11:53:30.242,1.848,0.407,-0.890,0.071
1572983610281,2019-11-05T11:53:30.281,1.887,0.406,-0.898,0.068
1572983610321,2019-11-05T11:53:30.321,1.927,0.405,-0.903,0.068
1572983610362,2019-11-05T11:53:30.362,1.968,0.412,-0.891,0.068
1572983610401,2019-11-05T11:53:30.401,2.007,0.410,-0.899,0.063
1572983610442,2019-11-05T11:53:30.442,2.048,0.414,-0.896,0.064
1572983610482,2019-11-05T11:53:30.482,2.088,0.420,-0.897,0.061
1572983610521,2019-11-05T11:53:30.521,2.127,0.419,-0.898,0.062
1572983610562,2019-11-05T11:53:30.562,2.168,0.416,-0.897,0.062
1572983610602,2019-11-05T11:53:30.602,2.208,0.415,-0.898,0.058
1572983610643,2019-11-05T11:53:30.643,2.249,0.415,-0.901,0.054
1572983610683,2019-11-05T11:53:30.683,2.289,0.414,-0.898,0.056
1572983610722,2019-11-05T11:53:30.722,2.328,0.421,-0.890,0.060
1572983610763,2019-11-05T11:53:30.763,2.369,0.422,-0.893,0.060
1572983610803,2019-11-05T11:53:30.803,2.409,0.421,-0.899,0.059
1572983610844,2019-11-05T11:53:30.844,2.450,0.422,-0.892,0.062
1572983610883,2019-11-05T11:53:30.883,2.489,0.417,-0.898,0.059
1572983610923,2019-11-05T11:53:30.923,2.529,0.417,-0.895,0.061
1572983610964,2019-11-05T11:53:30.964,2.570,0.417,-0.892,0.062
1572983611003,2019-11-05T11:53:31.003,2.609,0.421,-0.877,0.066
1572983611044,2019-11-05T11:53:31.044,2.650,0.430,-0.877,0.063
1572983611084,2019-11-05T11:53:31.084,2.690,0.433,-0.894,0.060
1572983611123,2019-11-05T11:53:31.123,2.729,0.434,-0.885,0.062
1572983611164,2019-11-05T11:53:31.164,2.770,0.431,-0.898,0.061
1572983611204,2019-11-05T11:53:31.204,2.810,0.425,-0.910,0.061
1572983611245,2019-11-05T11:53:31.245,2.851,0.418,-0.899,0.062
1572983611285,2019-11-05T11:53:31.285,2.891,0.413,-0.898,0.065
1572983611326,2019-11-05T11:53:31.326,2.932,0.412,-0.902,0.063
1572983611365,2019-11-05T11:53:31.365,2.971,0.409,-0.893,0.063
1572983611405,2019-11-05T11:53:31.405,3.011,0.408,-0.892,0.064
1572983611446,2019-11-05T11:53:31.446,3.052,0.406,-0.896,0.062
1572983611485,2019-11-05T11:53:31.485,3.091,0.403,-0.887,0.063
1572983611525,2019-11-05T11:53:31.525,3.131,0.402,-0.886,0.063
1572983611566,2019-11-05T11:53:31.566,3.172,0.404,-0.887,0.064
1572983611605,2019-11-05T11:53:31.605,3.211,0.409,-0.894,0.063
1572983611646,2019-11-05T11:53:31.646,3.252,0.418,-0.898,0.065
1572983611686,2019-11-05T11:53:31.686,3.292,0.429,-0.897,0.065
1572983611726,2019-11-05T11:53:31.726,3.332,0.434,-0.893,0.066
1572983611767,2019-11-05T11:53:31.767,3.373,0.435,-0.900,0.066
1572983611806,2019-11-05T11:53:31.806,3.412,0.436,-0.896,0.066
1572983611847,2019-11-05T11:53:31.847,3.453,0.438,-0.887,0.068
1572983611887,2019-11-05T11:53:31.887,3.493,0.442,-0.887,0.066
1572983611926,2019-11-05T11:53:31.926,3.532,0.440,-0.887,0.066
1572983611967,2019-11-05T11:53:31.967,3.573,0.432,-0.888,0.066
1572983612007,2019-11-05T11:53:32.007,3.613,0.424,-0.888,0.067
1572983612048,2019-11-05T11:53:32.048,3.654,0.418,-0.890,0.070
1572983612087,2019-11-05T11:53:32.087,3.693,0.417,-0.892,0.072
1572983612127,2019-11-05T11:53:32.127,3.733,0.417,-0.886,0.073
1572983612168,2019-11-05T11:53:32.168,3.774,0.417,-0.886,0.072
1572983612207,2019-11-05T11:53:32.207,3.813,0.415,-0.881,0.073
1572983612248,2019-11-05T11:53:32.248,3.854,0.421,-0.874,0.069
1572983612288,2019-11-05T11:53:32.288,3.894,0.424,-0.886,0.064
1572983612328,2019-11-05T11:53:32.328,3.934,0.423,-0.894,0.062
1572983612369,2019-11-05T11:53:32.369,3.975,0.417,-0.909,0.064
1572983612408,2019-11-05T11:53:32.408,4.014,0.418,-0.911,0.065
1572983612449,2019-11-05T11:53:32.449,4.055,0.414,-0.905,0.069
1572983612489,2019-11-05T11:53:32.489,4.095,0.414,-0.893,0.070
1572983612528,2019-11-05T11:53:32.528,4.134,0.417,-0.884,0.068
1572983612569,2019-11-05T11:53:32.569,4.175,0.419,-0.887,0.060
1572983612609,2019-11-05T11:53:32.609,4.215,0.417,-0.893,0.058
1572983612650,2019-11-05T11:53:32.650,4.256,0.421,-0.882,0.059
1572983612689,2019-11-05T11:53:32.689,4.295,0.422,-0.892,0.059
1572983612729,2019-11-05T11:53:32.729,4.335,0.423,-0.902,0.059
1572983612770,2019-11-05T11:53:32.770,4.376,0.430,-0.888,0.064
1572983612810,2019-11-05T11:53:32.810,4.416,0.431,-0.897,0.066
1572983612851,2019-11-05T11:53:32.851,4.457,0.431,-0.901,0.064
1572983612890,2019-11-05T11:53:32.890,4.496,0.425,-0.903,0.061
1572983612930,2019-11-05T11:53:32.930,4.536,0.417,-0.905,0.055
1572983612971,2019-11-05T11:53:32.971,4.577,0.418,-0.897,0.058
1572983613010,2019-11-05T11:53:33.010,4.616,0.421,-0.895,0.060
1572983613051,2019-11-05T11:53:33.051,4.657,0.417,-0.888,0.066
1572983613091,2019-11-05T11:53:33.091,4.697,0.416,-0.884,0.068
1572983613130,2019-11-05T11:53:33.130,4.736,0.420,-0.892,0.065
1572983613171,2019-11-05T11:53:33.171,4.777,0.424,-0.883,0.066
1572983613211,2019-11-05T11:53:33.211,4.817,0.428,-0.878,0.065
1572983613252,2019-11-05T11:53:33.252,4.858,0.430,-0.885,0.065
1572983613291,2019-11-05T11:53:33.291,4.897,0.437,-0.878,0.062
1572983613331,2019-11-05T11:53:33.331,4.937,0.441,-0.881,0.061
1572983613372,2019-11-05T11:53:33.372,4.978,0.440,-0.887,0.060
1572983613412,2019-11-05T11:53:33.412,5.018,0.435,-0.892,0.058
1572983613453,2019-11-05T11:53:33.453,5.059,0.426,-0.896,0.058
1572983613492,2019-11-05T11:53:33.492,5.098,0.416,-0.898,0.060
1572983613532,2019-11-05T11:53:33.532,5.138,0.410,-0.901,0.064
1572983613573,2019-11-05T11:53:33.573,5.179,0.402,-0.902,0.065
1572983613612,2019-11-05T11:53:33.612,5.218,0.405,-0.905,0.065
1572983613653,2019-11-05T11:53:33.653,5.259,0.405,-0.909,0.062
1572983613693,2019-11-05T11:53:33.693,5.299,0.410,-0.903,0.060
1572983613732,2019-11-05T11:53:33.732,5.338,0.414,-0.897,0.059
1572983613773,2019-11-05T11:53:33.773,5.379,0.414,-0.894,0.059
1572983613813,2019-11-05T11:53:33.813,5.419,0.417,-0.896,0.059
1572983613854,2019-11-05T11:53:33.854,5.460,0.416,-0.897,0.058
1572983613894,2019-11-05T11:53:33.894,5.500,0.408,-0.901,0.058
1572983613933,2019-11-05T11:53:33.933,5.539,0.409,-0.900,0.060
1572983613974,2019-11-05T11:53:33.974,5.580,0.409,-0.901,0.065
1572983614014,2019-11-05T11:53:34.014,5.620,0.407,-0.895,0.069
1572983614055,2019-11-05T11:53:34.055,5.661,0.414,-0.894,0.071
1572983614094,2019-11-05T11:53:34.094,5.700,0.416,-0.895,0.072
1572983614134,2019-11-05T11:53:34.134,5.740,0.414,-0.888,0.073
1572983614175,2019-11-05T11:53:34.175,5.781,0.408,-0.906,0.074
1572983614214,2019-11-05T11:53:34.214,5.820,0.405,-0.902,0.077
1572983614255,2019-11-05T11:53:34.255,5.861,0.401,-0.888,0.078
1572983614295,2019-11-05T11:53:34.295,5.901,0.404,-0.891,0.071
1572983614334,2019-11-05T11:53:34.334,5.940,0.417,-0.868,0.063
1572983614375,2019-11-05T11:53:34.375,5.981,0.425,-0.865,0.059
1572983614415,2019-11-05T11:53:34.415,6.021,0.417,-0.893,0.054
1572983614456,2019-11-05T11:53:34.456,6.062,0.408,-0.848,0.083
