epoch (ms),time (-08:00),elapsed (s),X-Axis (g),Y-Axis (g),Z-Axis (g)
1573004908334,2019-11-05T17:48:28.334,0.000,-0.211,-0.653,0.733
1573004908375,2019-11-05T17:48:28.375,0.041,-0.209,-0.667,0.745
1573004908415,2019-11-05T17:48:28.415,0.081,-0.214,-0.661,0.739
1573004908454,2019-11-05T17:48:28.454,0.120,-0.215,-0.665,0.742
1573004908495,2019-11-05T17:48:28.495,0.161,-0.208,-0.667,0.736
1573004908535,2019-11-05T17:48:28.535,0.201,-0.213,-0.666,0.744
1573004908576,2019-11-05T17:48:28.576,0.242,-0.213,-0.660,0.739
1573004908615,2019-11-05T17:48:28.615,0.281,-0.213,-0.665,0.742
1573004908655,2019-11-05T17:48:28.655,0.321,-0.216,-0.662,0.750
1573004908696,2019-11-05T17:48:28.696,0.362,-0.211,-0.658,0.747
1573004908735,2019-11-05T17:48:28.735,0.401,-0.210,-0.662,0.748
1573004908776,2019-11-05T17:48:28.776,0.442,-0.212,-0.658,0.745
1573004908816,2019-11-05T17:48:28.816,0.482,-0.212,-0.661,0.748
1573004908856,2019-11-05T17:48:28.856,0.522,-0.212,-0.663,0.746
1573004908897,2019-11-05T17:48:28.897,0.563,-0.211,-0.665,0.747
1573004908936,2019-11-05T17:48:28.936,0.602,-0.214,-0.659,0.743
1573004908977,2019-11-05T17:48:28.977,0.643,-0.215,-0.660,0.743
1573004909017,2019-11-05T17:48:29.017,0.683,-0.216,-0.661,0.745
1573004909056,2019-11-05T17:48:29.056,0.722,-0.214,-0.657,0.744
1573004909097,2019-11-05T17:48:29.097,0.763,-0.217,-0.661,0.744
1573004909137,2019-11-05T17:48:29.137,0.803,-0.213,-0.657,0.741
1573004909178,2019-11-05T17:48:29.178,0.844,-0.213,-0.661,0.745
1573004909217,2019-11-05T17:48:29.217,0.883,-0.213,-0.671,0.750
1573004909257,2019-11-05T17:48:29.257,0.923,-0.208,-0.673,0.748
1573004909298,2019-11-05T17:48:29.298,0.964,-0.218,-0.656,0.736
1573004909337,2019-11-05T17:48:29.337,1.003,-0.223,-0.650,0.746
1573004909378,2019-11-05T17:48:29.378,1.044,-0.213,-0.657,0.749
1573004909418,2019-11-05T17:48:29.418,1.084,-0.213,-0.661,0.745
1573004909458,2019-11-05T17:48:29.458,1.124,-0.220,-0.653,0.747
1573004909499,2019-11-05T17:48:29.499,1.165,-0.216,-0.668,0.742
1573004909538,2019-11-05T17:48:29.538,1.204,-0.215,-0.665,0.744
1573004909578,2019-11-05T17:48:29.578,1.244,-0.219,-0.665,0.744
1573004909619,2019-11-05T17:48:29.619,1.285,-0.217,-0.664,0.742
