epoch (ms),time (-08:00),elapsed (s),X-Axis (g),Y-Axis (g),Z-Axis (g)
1572998301855,2019-11-05T15:58:21.855,0.000,-0.092,-0.896,0.457
1572998301896,2019-11-05T15:58:21.896,0.041,-0.087,-0.897,0.451
1572998301935,2019-11-05T15:58:21.935,0.080,-0.085,-0.886,0.453
1572998301975,2019-11-05T15:58:21.975,0.120,-0.085,-0.882,0.456
1572998302016,2019-11-05T15:58:22.016,0.161,-0.096,-0.907,0.450
1572998302055,2019-11-05T15:58:22.055,0.200,-0.090,-0.894,0.458
1572998302096,2019-11-05T15:58:22.096,0.241,-0.077,-0.871,0.468
1572998302136,2019-11-05T15:58:22.136,0.281,-0.076,-0.887,0.458
1572998302175,2019-11-05T15:58:22.175,0.320,-0.083,-0.901,0.454
1572998302216,2019-11-05T15:58:22.216,0.361,-0.090,-0.897,0.450
1572998302256,2019-11-05T15:58:22.256,0.401,-0.096,-0.899,0.452
1572998302297,2019-11-05T15:58:22.297,0.442,-0.102,-0.905,0.458
1572998302337,2019-11-05T15:58:22.337,0.482,-0.093,-0.875,0.459
1572998302376,2019-11-05T15:58:22.376,0.521,-0.073,-0.859,0.464
1572998302417,2019-11-05T15:58:22.417,0.562,-0.079,-0.886,0.463
1572998302457,2019-11-05T15:58:22.457,0.602,-0.085,-0.893,0.453
1572998302498,2019-11-05T15:58:22.498,0.643,-0.089,-0.874,0.458
1572998302537,2019-11-05T15:58:22.537,0.682,-0.088,-0.887,0.452
1572998302577,2019-11-05T15:58:22.577,0.722,-0.085,-0.914,0.451
1572998302618,2019-11-05T15:58:22.618,0.763,-0.089,-0.900,0.462
1572998302657,2019-11-05T15:58:22.657,0.802,-0.082,-0.891,0.471
1572998302698,2019-11-05T15:58:22.698,0.843,-0.076,-0.901,0.468
1572998302738,2019-11-05T15:58:22.738,0.883,-0.071,-0.902,0.464
1572998302777,2019-11-05T15:58:22.777,0.922,-0.079,-0.891,0.464
1572998302818,2019-11-05T15:58:22.818,0.963,-0.089,-0.883,0.458
1572998302858,2019-11-05T15:58:22.858,1.003,-0.086,-0.888,0.453
1572998302898,2019-11-05T15:58:22.898,1.043,-0.090,-0.909,0.453
1572998302939,2019-11-05T15:58:22.939,1.084,-0.089,-0.897,0.454
1572998302978,2019-11-05T15:58:22.978,1.123,-0.082,-0.834,0.477
1572998303019,2019-11-05T15:58:23.019,1.164,-0.083,-0.851,0.485
1572998303059,2019-11-05T15:58:23.059,1.204,-0.089,-0.915,0.457
1572998303098,2019-11-05T15:58:23.098,1.243,-0.093,-0.914,0.457
1572998303139,2019-11-05T15:58:23.139,1.284,-0.088,-0.882,0.470
1572998303179,2019-11-05T15:58:23.179,1.324,-0.091,-0.887,0.462
1572998303220,2019-11-05T15:58:23.220,1.365,-0.099,-0.875,0.456
1572998303259,2019-11-05T15:58:23.259,1.404,-0.084,-0.852,0.475
1572998303299,2019-11-05T15:58:23.299,1.444,-0.086,-0.903,0.472
1572998303340,2019-11-05T15:58:23.340,1.485,-0.094,-0.926,0.457
1572998303379,2019-11-05T15:58:23.379,1.524,-0.093,-0.898,0.471
1572998303421,2019-11-05T15:58:23.421,1.566,-0.086,-0.880,0.475
1572998303460,2019-11-05T15:58:23.460,1.605,-0.084,-0.873,0.448
1572998303500,2019-11-05T15:58:23.500,1.645,-0.100,-0.874,0.437
1572998303541,2019-11-05T15:58:23.541,1.686,-0.114,-0.872,0.480
1572998303580,2019-11-05T15:58:23.580,1.725,-0.096,-0.882,0.467
1572998303621,2019-11-05T15:58:23.621,1.766,-0.087,-0.897,0.471
1572998303661,2019-11-05T15:58:23.661,1.806,-0.093,-0.904,0.476
1572998303700,2019-11-05T15:58:23.700,1.845,-0.096,-0.896,0.467
1572998303741,2019-11-05T15:58:23.741,1.886,-0.098,-0.895,0.466
1572998303781,2019-11-05T15:58:23.781,1.926,-0.096,-0.885,0.463
1572998303822,2019-11-05T15:58:23.822,1.967,-0.096,-0.866,0.461
1572998303861,2019-11-05T15:58:23.861,2.006,-0.101,-0.870,0.458
1572998303901,2019-11-05T15:58:23.901,2.046,-0.103,-0.867,0.464
1572998303942,2019-11-05T15:58:23.942,2.087,-0.096,-0.868,0.472
1572998303982,2019-11-05T15:58:23.982,2.127,-0.094,-0.920,0.440
1572998304023,2019-11-05T15:58:24.023,2.168,-0.099,-0.927,0.429
1572998304062,2019-11-05T15:58:24.062,2.207,-0.106,-0.899,0.454
1572998304102,2019-11-05T15:58:24.102,2.247,-0.105,-0.903,0.445
1572998304143,2019-11-05T15:58:24.143,2.288,-0.099,-0.897,0.437
1572998304182,2019-11-05T15:58:24.182,2.327,-0.114,-0.923,0.421
1572998304223,2019-11-05T15:58:24.223,2.368,-0.119,-0.923,0.437
1572998304263,2019-11-05T15:58:24.263,2.408,-0.101,-0.851,0.480
1572998304302,2019-11-05T15:58:24.302,2.447,-0.087,-0.818,0.496
1572998304343,2019-11-05T15:58:24.343,2.488,-0.099,-0.878,0.473
1572998304383,2019-11-05T15:58:24.383,2.528,-0.112,-0.931,0.450
1572998304422,2019-11-05T15:58:24.422,2.567,-0.112,-0.880,0.458
1572998304463,2019-11-05T15:58:24.463,2.608,-0.100,-0.848,0.467
1572998304503,2019-11-05T15:58:24.503,2.648,-0.100,-0.892,0.463
1572998304544,2019-11-05T15:58:24.544,2.689,-0.104,-0.906,0.468
1572998304584,2019-11-05T15:58:24.584,2.729,-0.103,-0.886,0.474
1572998304623,2019-11-05T15:58:24.623,2.768,-0.102,-0.883,0.472
1572998304664,2019-11-05T15:58:24.664,2.809,-0.106,-0.895,0.462
1572998304704,2019-11-05T15:58:24.704,2.849,-0.104,-0.877,0.464
1572998304745,2019-11-05T15:58:24.745,2.890,-0.109,-0.874,0.469
1572998304784,2019-11-05T15:58:24.784,2.929,-0.108,-0.889,0.458
1572998304824,2019-11-05T15:58:24.824,2.969,-0.112,-0.892,0.466
1572998304865,2019-11-05T15:58:24.865,3.010,-0.105,-0.868,0.471
1572998304904,2019-11-05T15:58:24.904,3.049,-0.105,-0.877,0.470
1572998304945,2019-11-05T15:58:24.945,3.090,-0.103,-0.887,0.463
1572998304985,2019-11-05T15:58:24.985,3.130,-0.109,-0.909,0.452
1572998305025,2019-11-05T15:58:25.025,3.170,-0.116,-0.911,0.452
1572998305066,2019-11-05T15:58:25.066,3.211,-0.112,-0.873,0.464
1572998305105,2019-11-05T15:58:25.105,3.250,-0.110,-0.884,0.458
1572998305146,2019-11-05T15:58:25.146,3.291,-0.113,-0.904,0.447
1572998305186,2019-11-05T15:58:25.186,3.331,-0.110,-0.881,0.465
1572998305225,2019-11-05T15:58:25.225,3.370,-0.104,-0.858,0.483
1572998305266,2019-11-05T15:58:25.266,3.411,-0.112,-0.882,0.468
1572998305306,2019-11-05T15:58:25.306,3.451,-0.115,-0.898,0.463
1572998305347,2019-11-05T15:58:25.347,3.492,-0.112,-0.875,0.468
1572998305386,2019-11-05T15:58:25.386,3.531,-0.125,-0.905,0.469
1572998305426,2019-11-05T15:58:25.426,3.571,-0.116,-0.888,0.464
1572998305467,2019-11-05T15:58:25.467,3.612,-0.103,-0.866,0.474
1572998305506,2019-11-05T15:58:25.506,3.651,-0.117,-0.863,0.480
1572998305547,2019-11-05T15:58:25.547,3.692,-0.123,-0.870,0.463
1572998305587,2019-11-05T15:58:25.587,3.732,-0.118,-0.878,0.469
1572998305627,2019-11-05T15:58:25.627,3.772,-0.109,-0.879,0.482
1572998305668,2019-11-05T15:58:25.668,3.813,-0.109,-0.879,0.489
1572998305707,2019-11-05T15:58:25.707,3.852,-0.110,-0.887,0.485
1572998305748,2019-11-05T15:58:25.748,3.893,-0.113,-0.885,0.476
1572998305788,2019-11-05T15:58:25.788,3.933,-0.121,-0.875,0.465
1572998305827,2019-11-05T15:58:25.827,3.972,-0.120,-0.867,0.468
1572998305868,2019-11-05T15:58:25.868,4.013,-0.122,-0.877,0.468
1572998305908,2019-11-05T15:58:25.908,4.053,-0.122,-0.882,0.473
1572998305949,2019-11-05T15:58:25.949,4.094,-0.114,-0.880,0.472
1572998305988,2019-11-05T15:58:25.988,4.133,-0.114,-0.886,0.478
1572998306028,2019-11-05T15:58:26.028,4.173,-0.120,-0.893,0.476
1572998306069,2019-11-05T15:58:26.069,4.214,-0.116,-0.874,0.472
1572998306108,2019-11-05T15:58:26.108,4.253,-0.114,-0.871,0.473
1572998306148,2019-11-05T15:58:26.148,4.293,-0.126,-0.885,0.459
1572998306189,2019-11-05T15:58:26.189,4.334,-0.140,-0.895,0.448
1572998306229,2019-11-05T15:58:26.229,4.374,-0.167,-0.911,0.440
1572998306270,2019-11-05T15:58:26.270,4.415,-0.229,-0.961,0.408
1572998306309,2019-11-05T15:58:26.309,4.454,-0.466,-1.075,0.348
1572998306349,2019-11-05T15:58:26.349,4.494,-0.661,-1.157,0.414
1572998306390,2019-11-05T15:58:26.390,4.535,-0.650,-1.115,0.501
1572998306429,2019-11-05T15:58:26.429,4.574,-0.508,-0.860,0.655
1572998306470,2019-11-05T15:58:26.470,4.615,-0.361,-0.662,0.703
1572998306510,2019-11-05T15:58:26.510,4.655,-0.259,-0.462,0.857
1572998306549,2019-11-05T15:58:26.549,4.694,-0.146,-0.303,1.139
1572998306590,2019-11-05T15:58:26.590,4.735,-0.064,-0.421,0.848
1572998306630,2019-11-05T15:58:26.630,4.775,0.008,-0.107,0.889
1572998306671,2019-11-05T15:58:26.671,4.816,0.093,0.272,1.069
1572998306711,2019-11-05T15:58:26.711,4.856,0.074,0.226,1.042
1572998306750,2019-11-05T15:58:26.750,4.895,0.074,-0.056,1.039
1572998306791,2019-11-05T15:58:26.791,4.936,0.124,0.016,0.977
1572998306831,2019-11-05T15:58:26.831,4.976,-0.028,0.255,0.825
1572998306872,2019-11-05T15:58:26.872,5.017,-0.061,-0.059,0.854
1572998306911,2019-11-05T15:58:26.911,5.056,0.097,-0.219,0.958
1572998306951,2019-11-05T15:58:26.951,5.096,0.275,-0.462,0.818
1572998306992,2019-11-05T15:58:26.992,5.137,0.563,-0.523,0.778
1572998307031,2019-11-05T15:58:27.031,5.176,1.012,-0.369,0.845
1572998307072,2019-11-05T15:58:27.072,5.217,1.064,-0.675,0.772
1572998307112,2019-11-05T15:58:27.112,5.257,0.841,-0.676,0.905
1572998307151,2019-11-05T15:58:27.151,5.296,0.582,-0.524,1.078
