epoch (ms),time (-08:00),elapsed (s),X-Axis (°/s),Y-Axis (°/s),Z-Axis (°/s)
1572998301774,2019-11-05T15:58:21.774,0.000,-1.159,-0.549,-0.061
1572998301815,2019-11-05T15:58:21.815,0.041,-1.280,-0.427,0.122
1572998301855,2019-11-05T15:58:21.855,0.081,-1.098,0.183,0.000
1572998301896,2019-11-05T15:58:21.896,0.122,0.610,0.305,0.122
1572998301935,2019-11-05T15:58:21.935,0.161,0.671,0.244,0.305
1572998301975,2019-11-05T15:58:21.975,0.201,-0.244,-0.244,0.244
1572998302016,2019-11-05T15:58:22.016,0.242,-1.037,-0.610,0.183
1572998302055,2019-11-05T15:58:22.055,0.281,1.829,-0.122,0.000
1572998302096,2019-11-05T15:58:22.096,0.322,2.195,0.854,-0.061
1572998302136,2019-11-05T15:58:22.136,0.362,-1.220,0.854,0.366
1572998302175,2019-11-05T15:58:22.175,0.401,-1.524,0.000,0.854
1572998302216,2019-11-05T15:58:22.216,0.442,-0.854,-1.220,1.524
1572998302256,2019-11-05T15:58:22.256,0.482,-0.793,-0.793,1.646
1572998302297,2019-11-05T15:58:22.297,0.523,0.854,0.671,1.280
1572998302337,2019-11-05T15:58:22.337,0.563,4.329,1.646,0.061
1572998302376,2019-11-05T15:58:22.376,0.602,2.073,2.073,-0.610
1572998302417,2019-11-05T15:58:22.417,0.643,-1.585,1.220,-0.427
1572998302457,2019-11-05T15:58:22.457,0.683,-0.610,-0.488,-0.366
1572998302498,2019-11-05T15:58:22.498,0.724,-0.183,-1.037,-0.488
1572998302537,2019-11-05T15:58:22.537,0.763,-3.232,-1.220,-0.244
1572998302577,2019-11-05T15:58:22.577,0.803,-3.171,-1.402,-0.122
1572998302618,2019-11-05T15:58:22.618,0.844,-0.061,-1.585,0.000
1572998302657,2019-11-05T15:58:22.657,0.883,1.037,-0.854,0.244
1572998302698,2019-11-05T15:58:22.698,0.924,0.000,0.610,0.732
1572998302738,2019-11-05T15:58:22.738,0.964,1.646,1.037,1.159
1572998302777,2019-11-05T15:58:22.777,1.003,2.561,1.098,1.768
1572998302818,2019-11-05T15:58:22.818,1.044,2.683,1.098,1.890
1572998302858,2019-11-05T15:58:22.858,1.084,2.012,0.915,1.768
1572998302899,2019-11-05T15:58:22.899,1.125,2.317,0.610,1.768
1572998302939,2019-11-05T15:58:22.939,1.165,4.329,-0.122,2.317
1572998302978,2019-11-05T15:58:22.978,1.204,5.427,0.183,1.707
1572998303019,2019-11-05T15:58:23.019,1.245,-2.744,0.976,1.280
1572998303059,2019-11-05T15:58:23.059,1.285,-7.561,0.366,1.829
1572998303100,2019-11-05T15:58:23.100,1.326,-1.951,0.122,1.768
1572998303139,2019-11-05T15:58:23.139,1.365,0.976,0.549,2.073
1572998303179,2019-11-05T15:58:23.179,1.405,-1.585,0.976,2.744
1572998303220,2019-11-05T15:58:23.220,1.446,-0.305,0.793,2.073
1572998303259,2019-11-05T15:58:23.259,1.485,1.463,-0.488,0.244
1572998303300,2019-11-05T15:58:23.300,1.526,-5.122,0.061,1.098
1572998303340,2019-11-05T15:58:23.340,1.566,-3.415,-0.183,2.134
1572998303379,2019-11-05T15:58:23.379,1.605,2.500,0.183,2.195
1572998303421,2019-11-05T15:58:23.421,1.647,3.415,0.549,2.439
1572998303460,2019-11-05T15:58:23.460,1.686,1.646,0.732,2.561
1572998303500,2019-11-05T15:58:23.500,1.726,0.976,2.195,1.707
1572998303541,2019-11-05T15:58:23.541,1.767,-0.793,1.829,1.098
1572998303580,2019-11-05T15:58:23.580,1.806,-2.805,-1.646,0.976
1572998303621,2019-11-05T15:58:23.621,1.847,-3.354,-1.768,0.976
1572998303661,2019-11-05T15:58:23.661,1.887,-2.317,-1.098,1.585
1572998303700,2019-11-05T15:58:23.700,1.926,0.061,-0.549,1.951
1572998303741,2019-11-05T15:58:23.741,1.967,0.793,0.549,2.256
1572998303781,2019-11-05T15:58:23.781,2.007,2.012,0.732,2.256
1572998303822,2019-11-05T15:58:23.822,2.048,1.951,0.488,1.768
1572998303861,2019-11-05T15:58:23.861,2.087,-1.098,0.183,1.341
1572998303901,2019-11-05T15:58:23.901,2.127,-4.451,0.671,1.098
1572998303942,2019-11-05T15:58:23.942,2.168,-10.305,2.073,1.646
1572998303982,2019-11-05T15:58:23.982,2.208,-12.927,2.012,2.744
1572998304023,2019-11-05T15:58:24.023,2.249,-3.171,0.549,2.500
1572998304062,2019-11-05T15:58:24.062,2.288,2.134,-0.061,1.768
1572998304102,2019-11-05T15:58:24.102,2.328,0.549,0.366,1.159
1572998304143,2019-11-05T15:58:24.143,2.369,1.646,0.793,1.280
1572998304182,2019-11-05T15:58:24.182,2.408,1.890,1.341,1.402
1572998304223,2019-11-05T15:58:24.223,2.449,8.049,1.463,1.220
1572998304263,2019-11-05T15:58:24.263,2.489,15.793,-0.305,0.061
1572998304302,2019-11-05T15:58:24.302,2.528,8.354,-0.427,0.122
1572998304343,2019-11-05T15:58:24.343,2.569,-4.390,0.671,0.976
1572998304383,2019-11-05T15:58:24.383,2.609,-3.780,0.671,1.280
1572998304424,2019-11-05T15:58:24.424,2.650,3.293,0.000,1.280
1572998304463,2019-11-05T15:58:24.463,2.689,1.463,-0.305,1.037
1572998304503,2019-11-05T15:58:24.503,2.729,-4.085,-0.244,1.280
1572998304544,2019-11-05T15:58:24.544,2.770,-2.256,-0.976,1.341
1572998304584,2019-11-05T15:58:24.584,2.810,0.061,-1.220,1.524
1572998304625,2019-11-05T15:58:24.625,2.851,0.183,-0.732,1.585
1572998304664,2019-11-05T15:58:24.664,2.890,-0.366,-0.427,1.890
1572998304704,2019-11-05T15:58:24.704,2.930,0.915,-0.305,1.829
1572998304745,2019-11-05T15:58:24.745,2.971,0.000,-0.183,1.585
1572998304784,2019-11-05T15:58:24.784,3.010,-1.402,-0.366,1.585
1572998304825,2019-11-05T15:58:24.825,3.051,-0.854,0.244,1.707
1572998304865,2019-11-05T15:58:24.865,3.091,-0.671,0.427,1.585
1572998304904,2019-11-05T15:58:24.904,3.130,-3.963,1.585,1.646
1572998304945,2019-11-05T15:58:24.945,3.171,-4.939,2.134,1.524
1572998304985,2019-11-05T15:58:24.985,3.211,-4.695,1.463,1.768
1572998305025,2019-11-05T15:58:25.025,3.251,0.793,-0.122,1.585
1572998305066,2019-11-05T15:58:25.066,3.292,4.146,-0.061,1.402
1572998305105,2019-11-05T15:58:25.105,3.331,1.341,0.732,1.463
1572998305146,2019-11-05T15:58:25.146,3.372,1.463,0.732,1.402
1572998305186,2019-11-05T15:58:25.186,3.412,5.305,0.244,1.159
1572998305225,2019-11-05T15:58:25.225,3.451,4.085,0.122,1.037
1572998305266,2019-11-05T15:58:25.266,3.492,-1.098,0.488,1.341
1572998305306,2019-11-05T15:58:25.306,3.532,-0.610,0.732,1.341
1572998305347,2019-11-05T15:58:25.347,3.573,1.768,0.366,1.098
1572998305386,2019-11-05T15:58:25.386,3.612,0.976,0.610,1.402
1572998305426,2019-11-05T15:58:25.426,3.652,4.451,0.305,1.646
1572998305467,2019-11-05T15:58:25.467,3.693,6.220,0.244,1.402
1572998305506,2019-11-05T15:58:25.506,3.732,2.866,0.488,1.768
1572998305547,2019-11-05T15:58:25.547,3.773,-0.671,-0.061,1.890
1572998305587,2019-11-05T15:58:25.587,3.813,-1.463,-0.549,1.524
1572998305627,2019-11-05T15:58:25.627,3.853,-1.890,-0.610,1.341
1572998305668,2019-11-05T15:58:25.668,3.894,-1.463,-0.488,1.159
1572998305707,2019-11-05T15:58:25.707,3.933,-0.976,0.122,1.220
