epoch (ms),time (-08:00),elapsed (s),X-Axis (°/s),Y-Axis (°/s),Z-Axis (°/s)
1573015704778,2019-11-05T20:48:24.778,0.000,-56.524,34.024,-37.378
1573015704819,2019-11-05T20:48:24.819,0.041,-60.305,31.707,-35.854
1573015704859,2019-11-05T20:48:24.859,0.081,-63.110,24.451,-20.854
1573015704900,2019-11-05T20:48:24.900,0.122,-44.390,11.646,-6.280
1573015704939,2019-11-05T20:48:24.939,0.161,-31.768,0.976,-2.988
1573015704979,2019-11-05T20:48:24.979,0.201,-46.098,-6.585,-2.805
1573015705020,2019-11-05T20:48:25.020,0.242,-47.927,-7.378,-3.537
1573015705059,2019-11-05T20:48:25.059,0.281,-13.720,2.622,-0.244
1573015705099,2019-11-05T20:48:25.099,0.321,8.902,35.915,-10.122
1573015705140,2019-11-05T20:48:25.140,0.362,17.439,71.098,-36.829
1573015705179,2019-11-05T20:48:25.179,0.401,0.366,152.866,-60.671
1573015705221,2019-11-05T20:48:25.221,0.443,-16.951,210.366,-57.195
1573015705260,2019-11-05T20:48:25.260,0.482,-58.659,268.293,-27.622
1573015705300,2019-11-05T20:48:25.300,0.522,-92.317,533.415,-42.744
1573015705341,2019-11-05T20:48:25.341,0.563,-271.890,817.927,-59.512
1573015705380,2019-11-05T20:48:25.380,0.602,-228.293,1265.366,118.780
1573015705421,2019-11-05T20:48:25.421,0.643,-27.256,-202.988,361.341
1573015705461,2019-11-05T20:48:25.461,0.683,40.366,-502.317,288.476
1573015705502,2019-11-05T20:48:25.502,0.724,29.512,567.805,380.610
1573015705541,2019-11-05T20:48:25.541,0.763,-156.890,137.012,321.524
1573015705581,2019-11-05T20:48:25.581,0.803,-43.902,-143.354,215.793
1573015705622,2019-11-05T20:48:25.622,0.844,-58.232,-41.951,94.390
1573015705661,2019-11-05T20:48:25.661,0.883,-13.293,-67.256,-70.427
1573015705701,2019-11-05T20:48:25.701,0.923,133.232,-139.085,-287.317
1573015705742,2019-11-05T20:48:25.742,0.964,98.293,-543.476,-468.537
1573015705782,2019-11-05T20:48:25.782,1.004,-213.598,-423.537,-331.220
1573015705823,2019-11-05T20:48:25.823,1.045,-428.354,-79.756,-45.732
1573015705862,2019-11-05T20:48:25.862,1.084,-190.976,121.037,138.232
1573015705902,2019-11-05T20:48:25.902,1.124,81.280,355.854,50.000
1573015705943,2019-11-05T20:48:25.943,1.165,-48.354,-318.354,-64.817
1573015705982,2019-11-05T20:48:25.982,1.204,145.976,-277.012,-46.829
1573015706023,2019-11-05T20:48:26.023,1.245,149.573,254.939,9.512
1573015706063,2019-11-05T20:48:26.063,1.285,-11.159,478.537,133.171
1573015706102,2019-11-05T20:48:26.102,1.324,-19.512,-0.793,96.098
1573015706143,2019-11-05T20:48:26.143,1.365,169.573,-169.085,2.378
1573015706183,2019-11-05T20:48:26.183,1.405,279.878,-289.146,-114.207
1573015706224,2019-11-05T20:48:26.224,1.446,229.451,-336.402,-173.659
1573015706263,2019-11-05T20:48:26.263,1.485,-47.622,117.561,-43.841
1573015706303,2019-11-05T20:48:26.303,1.525,-60.549,429.878,183.963
1573015706344,2019-11-05T20:48:26.344,1.566,-194.268,28.537,262.988
1573015706384,2019-11-05T20:48:26.384,1.606,-410.915,295.366,266.402
1573015706425,2019-11-05T20:48:26.425,1.647,-527.988,771.463,148.720
1573015706464,2019-11-05T20:48:26.464,1.686,47.805,82.256,-8.659
1573015706504,2019-11-05T20:48:26.504,1.726,112.378,-98.720,15.671
1573015706545,2019-11-05T20:48:26.545,1.767,226.524,-232.805,-70.000
1573015706584,2019-11-05T20:48:26.584,1.806,244.817,-314.207,-148.780
1573015706625,2019-11-05T20:48:26.625,1.847,274.695,-377.988,-213.354
1573015706665,2019-11-05T20:48:26.665,1.887,83.537,-390.732,-228.415
1573015706704,2019-11-05T20:48:26.704,1.926,-197.195,14.512,-73.780
1573015706745,2019-11-05T20:48:26.745,1.967,-211.037,270.183,92.195
1573015706785,2019-11-05T20:48:26.785,2.007,-200.366,200.915,164.268
1573015706825,2019-11-05T20:48:26.825,2.047,-16.098,95.854,38.171
1573015706866,2019-11-05T20:48:26.866,2.088,-50.976,-40.366,8.659
1573015706905,2019-11-05T20:48:26.905,2.127,38.415,292.622,149.817
1573015706946,2019-11-05T20:48:26.946,2.168,-76.341,225.061,181.280
1573015706986,2019-11-05T20:48:26.986,2.208,-113.537,331.280,193.354
1573015707025,2019-11-05T20:48:27.025,2.247,-42.866,251.463,104.451
1573015707066,2019-11-05T20:48:27.066,2.288,-18.659,70.610,55.549
1573015707106,2019-11-05T20:48:27.106,2.328,19.268,36.768,43.537
1573015707147,2019-11-05T20:48:27.147,2.369,109.146,-128.537,-25.915
1573015707186,2019-11-05T20:48:27.186,2.408,28.963,-215.122,19.268
1573015707226,2019-11-05T20:48:27.226,2.448,-35.671,-2.866,-23.476
1573015707267,2019-11-05T20:48:27.267,2.489,53.232,-182.866,-130.610
1573015707306,2019-11-05T20:48:27.306,2.528,6.951,-437.805,-174.329
1573015707347,2019-11-05T20:48:27.347,2.569,-27.256,-290.488,-78.841
1573015707387,2019-11-05T20:48:27.387,2.609,-103.049,-26.524,72.134
1573015707427,2019-11-05T20:48:27.427,2.649,2.134,12.622,103.049
1573015707468,2019-11-05T20:48:27.468,2.690,196.707,-173.841,11.951
1573015707507,2019-11-05T20:48:27.507,2.729,259.573,-75.305,-20.122
1573015707548,2019-11-05T20:48:27.548,2.770,289.451,-149.451,-114.085
1573015707588,2019-11-05T20:48:27.588,2.810,178.476,-359.207,-229.634
1573015707627,2019-11-05T20:48:27.627,2.849,-86.037,-142.439,-181.646
1573015707668,2019-11-05T20:48:27.668,2.890,-168.537,259.390,27.073
1573015707708,2019-11-05T20:48:27.708,2.930,-285.549,117.805,73.415
1573015707749,2019-11-05T20:48:27.749,2.971,-68.598,171.341,-16.707
1573015707788,2019-11-05T20:48:27.788,3.010,-4.939,-62.683,-103.232
1573015707828,2019-11-05T20:48:27.828,3.050,-79.817,-212.988,27.622
1573015707869,2019-11-05T20:48:27.869,3.091,-23.659,348.293,169.878
1573015707908,2019-11-05T20:48:27.908,3.130,-101.829,351.037,177.073
1573015707950,2019-11-05T20:48:27.950,3.172,-71.829,28.902,132.439
1573015707989,2019-11-05T20:48:27.989,3.211,-10.122,98.720,122.561
1573015708029,2019-11-05T20:48:28.029,3.251,31.037,12.012,12.683
1573015708070,2019-11-05T20:48:28.070,3.292,71.768,2.317,-72.744
1573015708109,2019-11-05T20:48:28.109,3.331,68.354,-54.146,-129.268
1573015708149,2019-11-05T20:48:28.149,3.371,20.183,-74.512,-134.512
1573015708190,2019-11-05T20:48:28.190,3.412,-33.415,-49.085,-72.927
