epoch (ms),time (-08:00),elapsed (s),X-Axis (g),Y-Axis (g),Z-Axis (g)
1573016507611,2019-11-05T21:01:47.611,0.000,-0.298,-0.934,0.424
1573016507652,2019-11-05T21:01:47.652,0.041,-0.794,-1.198,0.951
1573016507691,2019-11-05T21:01:47.691,0.080,-0.812,-0.252,1.636
1573016507731,2019-11-05T21:01:47.731,0.120,-0.337,-0.503,0.254
1573016507772,2019-11-05T21:01:47.772,0.161,-0.473,-0.503,0.308
1573016507811,2019-11-05T21:01:47.811,0.200,-0.569,-0.796,0.536
1573016507852,2019-11-05T21:01:47.852,0.241,-0.499,-0.950,0.454
1573016507892,2019-11-05T21:01:47.892,0.281,-0.539,-0.647,0.258
1573016507931,2019-11-05T21:01:47.931,0.320,-0.631,-0.588,0.428
1573016507973,2019-11-05T21:01:47.973,0.362,-0.615,-0.677,0.583
1573016508012,2019-11-05T21:01:48.012,0.401,-0.687,-0.754,0.656
1573016508053,2019-11-05T21:01:48.053,0.442,-0.755,-0.780,0.686
1573016508093,2019-11-05T21:01:48.093,0.482,-0.623,-0.748,0.713
1573016508132,2019-11-05T21:01:48.132,0.521,-0.417,-0.737,0.604
1573016508173,2019-11-05T21:01:48.173,0.562,-0.243,-0.702,0.426
1573016508213,2019-11-05T21:01:48.213,0.602,-0.144,-0.540,0.142
1573016508252,2019-11-05T21:01:48.252,0.641,-0.451,-0.635,0.237
1573016508293,2019-11-05T21:01:48.293,0.682,-0.794,-0.830,0.719
1573016508333,2019-11-05T21:01:48.333,0.722,-0.816,-0.952,0.780
1573016508374,2019-11-05T21:01:48.374,0.763,-0.737,-0.709,0.632
1573016508413,2019-11-05T21:01:48.413,0.802,-0.649,-0.513,0.666
1573016508453,2019-11-05T21:01:48.453,0.842,-0.457,-0.663,0.569
1573016508494,2019-11-05T21:01:48.494,0.883,-0.458,-0.688,0.432
1573016508534,2019-11-05T21:01:48.534,0.923,-0.573,-0.467,0.738
1573016508575,2019-11-05T21:01:48.575,0.964,-0.798,-0.401,0.876
1573016508614,2019-11-05T21:01:48.614,1.003,-0.976,-0.580,0.780
1573016508655,2019-11-05T21:01:48.655,1.044,-0.851,-0.596,0.652
1573016508695,2019-11-05T21:01:48.695,1.084,-0.518,-0.616,0.529
1573016508734,2019-11-05T21:01:48.734,1.123,-0.258,-0.576,0.387
1573016508775,2019-11-05T21:01:48.775,1.164,-0.129,-0.457,0.345
1573016508815,2019-11-05T21:01:48.815,1.204,-0.159,-0.393,0.529
1573016508854,2019-11-05T21:01:48.854,1.243,-0.248,-0.536,0.703
1573016508895,2019-11-05T21:01:48.895,1.284,-0.226,-0.769,0.602
1573016508935,2019-11-05T21:01:48.935,1.324,-0.171,-0.854,0.513
1573016508976,2019-11-05T21:01:48.976,1.365,-0.073,-0.827,0.552
1573016509015,2019-11-05T21:01:49.015,1.404,-0.021,-0.757,0.721
1573016509055,2019-11-05T21:01:49.055,1.444,-0.045,-0.733,0.748
1573016509096,2019-11-05T21:01:49.096,1.485,-0.131,-0.871,0.672
1573016509136,2019-11-05T21:01:49.136,1.525,-0.265,-0.991,0.752
1573016509177,2019-11-05T21:01:49.177,1.566,-0.351,-1.031,0.769
1573016509216,2019-11-05T21:01:49.216,1.605,-0.393,-0.958,0.712
1573016509256,2019-11-05T21:01:49.256,1.645,-0.318,-0.773,0.790
1573016509297,2019-11-05T21:01:49.297,1.686,-0.083,-0.639,0.719
1573016509336,2019-11-05T21:01:49.336,1.725,0.114,-0.682,0.529
1573016509377,2019-11-05T21:01:49.377,1.766,0.121,-0.862,0.440
1573016509417,2019-11-05T21:01:49.417,1.806,0.024,-1.029,0.362
1573016509456,2019-11-05T21:01:49.456,1.845,-0.002,-1.071,0.448
1573016509497,2019-11-05T21:01:49.497,1.886,-0.105,-1.231,0.657
1573016509537,2019-11-05T21:01:49.537,1.926,-0.314,-1.057,0.764
1573016509577,2019-11-05T21:01:49.577,1.966,-0.189,-0.684,0.682
1573016509618,2019-11-05T21:01:49.618,2.007,-0.004,-0.515,0.509
1573016509657,2019-11-05T21:01:49.657,2.046,0.042,-0.437,0.434
1573016509698,2019-11-05T21:01:49.698,2.087,0.085,-0.419,0.433
1573016509738,2019-11-05T21:01:49.738,2.127,0.091,-0.528,0.512
1573016509777,2019-11-05T21:01:49.777,2.166,0.035,-0.696,0.601
1573016509818,2019-11-05T21:01:49.818,2.207,0.012,-0.866,0.682
1573016509858,2019-11-05T21:01:49.858,2.247,0.041,-0.921,0.710
1573016509899,2019-11-05T21:01:49.899,2.288,-0.034,-0.512,1.093
1573016509938,2019-11-05T21:01:49.938,2.327,-0.087,-0.689,1.443
1573016509978,2019-11-05T21:01:49.978,2.367,0.036,-0.994,0.914
1573016510019,2019-11-05T21:01:50.019,2.408,0.036,-1.083,0.551
1573016510058,2019-11-05T21:01:50.058,2.447,-0.033,-0.849,0.495
1573016510099,2019-11-05T21:01:50.099,2.488,-0.065,-0.511,0.631
1573016510139,2019-11-05T21:01:50.139,2.528,-0.042,-0.503,0.631
1573016510179,2019-11-05T21:01:50.179,2.568,0.018,-0.556,0.607
1573016510220,2019-11-05T21:01:50.220,2.609,0.031,-0.634,0.657
1573016510259,2019-11-05T21:01:50.259,2.648,-0.024,-0.745,0.639
1573016510300,2019-11-05T21:01:50.300,2.689,0.013,-0.632,0.642
1573016510340,2019-11-05T21:01:50.340,2.729,0.164,-0.499,0.700
1573016510379,2019-11-05T21:01:50.379,2.768,0.234,-0.556,0.728
1573016510420,2019-11-05T21:01:50.420,2.809,0.230,-0.673,0.816
1573016510460,2019-11-05T21:01:50.460,2.849,0.188,-0.832,0.909
1573016510501,2019-11-05T21:01:50.501,2.890,0.073,-0.974,0.908
1573016510540,2019-11-05T21:01:50.540,2.929,-0.014,-0.872,0.868
1573016510580,2019-11-05T21:01:50.580,2.969,-0.046,-0.679,0.860
1573016510621,2019-11-05T21:01:50.621,3.010,-0.006,-0.608,0.860
1573016510660,2019-11-05T21:01:50.660,3.049,0.012,-0.783,0.821
1573016510702,2019-11-05T21:01:50.702,3.091,-0.081,-0.880,0.704
1573016510741,2019-11-05T21:01:50.741,3.130,-0.061,-0.635,0.631
1573016510781,2019-11-05T21:01:50.781,3.170,0.051,-0.562,0.649
1573016510822,2019-11-05T21:01:50.822,3.211,0.075,-0.757,0.644
1573016510861,2019-11-05T21:01:50.861,3.250,0.020,-0.895,0.614
1573016510902,2019-11-05T21:01:50.902,3.291,-0.034,-0.791,0.630
1573016510942,2019-11-05T21:01:50.942,3.331,-0.014,-0.569,0.673
1573016510981,2019-11-05T21:01:50.981,3.370,0.050,-0.469,0.709
1573016511022,2019-11-05T21:01:51.022,3.411,0.088,-0.575,0.738
1573016511062,2019-11-05T21:01:51.062,3.451,0.097,-0.722,0.755
1573016511101,2019-11-05T21:01:51.101,3.490,0.071,-0.835,0.804
1573016511142,2019-11-05T21:01:51.142,3.531,-0.020,-0.874,0.824
1573016511182,2019-11-05T21:01:51.182,3.571,-0.034,-0.777,0.891
1573016511223,2019-11-05T21:01:51.223,3.612,-0.026,-0.679,0.974
1573016511263,2019-11-05T21:01:51.263,3.652,-0.104,-0.555,0.973
1573016511302,2019-11-05T21:01:51.302,3.691,-0.102,-0.344,0.920
