epoch (ms),time (-08:00),elapsed (s),X-Axis (°/s),Y-Axis (°/s),Z-Axis (°/s)
1573016190796,2019-11-05T20:56:30.796,0.000,-0.305,-0.244,0.793
1573016190835,2019-11-05T20:56:30.835,0.039,0.000,0.244,0.732
1573016190875,2019-11-05T20:56:30.875,0.079,-0.244,0.122,0.793
1573016190916,2019-11-05T20:56:30.916,0.120,-0.244,0.061,0.793
1573016190955,2019-11-05T20:56:30.955,0.159,-0.183,0.061,0.793
1573016190995,2019-11-05T20:56:30.995,0.199,-0.244,0.122,0.793
1573016191036,2019-11-05T20:56:31.036,0.240,-0.244,0.122,0.793
1573016191075,2019-11-05T20:56:31.075,0.279,-0.244,0.061,0.793
1573016191116,2019-11-05T20:56:31.116,0.320,-0.244,0.061,0.732
1573016191156,2019-11-05T20:56:31.156,0.360,-0.244,0.122,0.793
1573016191195,2019-11-05T20:56:31.195,0.399,-0.183,0.122,0.793
1573016191236,2019-11-05T20:56:31.236,0.440,-0.183,0.122,0.732
1573016191276,2019-11-05T20:56:31.276,0.480,-0.122,0.122,0.793
1573016191316,2019-11-05T20:56:31.316,0.520,-0.183,0.122,0.793
1573016191357,2019-11-05T20:56:31.357,0.561,-0.183,0.122,0.793
1573016191396,2019-11-05T20:56:31.396,0.600,-0.183,0.122,0.793
1573016191437,2019-11-05T20:56:31.437,0.641,-0.244,0.122,0.793
1573016191477,2019-11-05T20:56:31.477,0.681,-0.244,0.122,0.732
1573016191516,2019-11-05T20:56:31.516,0.720,-0.183,0.122,0.732
1573016191557,2019-11-05T20:56:31.557,0.761,-0.244,0.122,0.732
1573016191597,2019-11-05T20:56:31.597,0.801,-0.183,0.122,0.793
1573016191638,2019-11-05T20:56:31.638,0.842,-0.183,0.122,0.793
1573016191677,2019-11-05T20:56:31.677,0.881,-0.183,0.122,0.793
1573016191717,2019-11-05T20:56:31.717,0.921,-0.244,0.122,0.793
1573016191758,2019-11-05T20:56:31.758,0.962,-0.183,0.122,0.793
1573016191798,2019-11-05T20:56:31.798,1.002,-0.183,0.061,0.793
1573016191839,2019-11-05T20:56:31.839,1.043,-0.244,0.122,0.732
1573016191878,2019-11-05T20:56:31.878,1.082,-0.183,0.122,0.793
1573016191918,2019-11-05T20:56:31.918,1.122,-0.183,0.122,0.732
1573016191959,2019-11-05T20:56:31.959,1.163,-0.244,0.122,0.732
1573016191998,2019-11-05T20:56:31.998,1.202,-0.183,0.122,0.732
1573016192039,2019-11-05T20:56:32.039,1.243,-0.183,0.122,0.793
1573016192079,2019-11-05T20:56:32.079,1.283,-0.183,0.122,0.854
1573016192118,2019-11-05T20:56:32.118,1.322,-0.244,0.122,0.793
1573016192159,2019-11-05T20:56:32.159,1.363,-0.244,0.122,0.793
1573016192199,2019-11-05T20:56:32.199,1.403,-0.183,0.061,0.793
1573016192240,2019-11-05T20:56:32.240,1.444,-0.305,0.122,0.732
1573016192279,2019-11-05T20:56:32.279,1.483,-0.183,0.061,0.732
1573016192319,2019-11-05T20:56:32.319,1.523,-0.244,0.122,0.732
1573016192360,2019-11-05T20:56:32.360,1.564,-0.244,0.122,0.793
1573016192400,2019-11-05T20:56:32.400,1.604,-0.244,0.122,0.793
1573016192441,2019-11-05T20:56:32.441,1.645,-0.244,0.122,0.732
