epoch (ms),time (-08:00),elapsed (s),X-Axis (g),Y-Axis (g),Z-Axis (g)
1572983890655,2019-11-05T11:58:10.655,0.000,-0.665,0.094,0.803
1572983890694,2019-11-05T11:58:10.694,0.039,-0.672,0.098,0.810
1572983890735,2019-11-05T11:58:10.735,0.080,-0.684,0.066,0.803
1572983890775,2019-11-05T11:58:10.775,0.120,-0.685,0.071,0.783
1572983890814,2019-11-05T11:58:10.814,0.159,-0.670,0.076,0.786
1572983890855,2019-11-05T11:58:10.855,0.200,-0.667,0.072,0.775
1572983890895,2019-11-05T11:58:10.895,0.240,-0.675,0.047,0.777
1572983890936,2019-11-05T11:58:10.936,0.281,-0.682,0.070,0.782
1572983890976,2019-11-05T11:58:10.976,0.321,-0.682,0.064,0.783
1572983891015,2019-11-05T11:58:11.015,0.360,-0.680,0.061,0.791
1572983891056,2019-11-05T11:58:11.056,0.401,-0.665,0.059,0.797
1572983891096,2019-11-05T11:58:11.096,0.441,-0.669,0.065,0.794
1572983891137,2019-11-05T11:58:11.137,0.482,-0.676,0.073,0.799
1572983891176,2019-11-05T11:58:11.176,0.521,-0.687,0.058,0.798
1572983891216,2019-11-05T11:58:11.216,0.561,-0.683,0.051,0.787
1572983891257,2019-11-05T11:58:11.257,0.602,-0.676,0.043,0.782
1572983891296,2019-11-05T11:58:11.296,0.641,-0.676,0.058,0.783
1572983891337,2019-11-05T11:58:11.337,0.682,-0.677,0.070,0.787
1572983891377,2019-11-05T11:58:11.377,0.722,-0.683,0.074,0.781
1572983891416,2019-11-05T11:58:11.416,0.761,-0.680,0.069,0.783
1572983891457,2019-11-05T11:58:11.457,0.802,-0.682,0.052,0.776
1572983891497,2019-11-05T11:58:11.497,0.842,-0.683,0.079,0.773
1572983891538,2019-11-05T11:58:11.538,0.883,-0.677,0.065,0.772
1572983891578,2019-11-05T11:58:11.578,0.923,-0.686,0.054,0.769
1572983891617,2019-11-05T11:58:11.617,0.962,-0.692,0.070,0.766
1572983891658,2019-11-05T11:58:11.658,1.003,-0.699,0.036,0.756
1572983891698,2019-11-05T11:58:11.698,1.043,-0.692,0.063,0.761
1572983891739,2019-11-05T11:58:11.739,1.084,-0.684,0.080,0.777
1572983891778,2019-11-05T11:58:11.778,1.123,-0.686,0.060,0.786
1572983891818,2019-11-05T11:58:11.818,1.163,-0.690,0.083,0.800
1572983891859,2019-11-05T11:58:11.859,1.204,-0.689,0.083,0.795
1572983891898,2019-11-05T11:58:11.898,1.243,-0.689,0.042,0.792
1572983891939,2019-11-05T11:58:11.939,1.284,-0.685,0.068,0.789
