epoch (ms),time (-08:00),elapsed (s),X-Axis (g),Y-Axis (g),Z-Axis (g)
1572999597897,2019-11-05T16:19:57.897,0.000,-0.418,-0.036,0.948
1572999597937,2019-11-05T16:19:57.937,0.040,-0.417,-0.049,0.953
1572999597977,2019-11-05T16:19:57.977,0.080,-0.411,-0.053,0.950
1572999598018,2019-11-05T16:19:58.018,0.121,-0.410,-0.048,0.954
1572999598057,2019-11-05T16:19:58.057,0.160,-0.415,-0.055,0.958
1572999598098,2019-11-05T16:19:58.098,0.201,-0.412,-0.056,0.959
1572999598138,2019-11-05T16:19:58.138,0.241,-0.407,-0.058,0.958
1572999598177,2019-11-05T16:19:58.177,0.280,-0.407,-0.049,0.954
1572999598218,2019-11-05T16:19:58.218,0.321,-0.409,-0.056,0.952
1572999598258,2019-11-05T16:19:58.258,0.361,-0.408,-0.047,0.952
1572999598299,2019-11-05T16:19:58.299,0.402,-0.414,-0.045,0.956
1572999598338,2019-11-05T16:19:58.338,0.441,-0.414,-0.043,0.957
1572999598378,2019-11-05T16:19:58.378,0.481,-0.412,-0.041,0.958
1572999598419,2019-11-05T16:19:58.419,0.522,-0.405,-0.048,0.951
1572999598458,2019-11-05T16:19:58.458,0.561,-0.401,-0.043,0.953
1572999598498,2019-11-05T16:19:58.498,0.601,-0.404,-0.045,0.963
1572999598539,2019-11-05T16:19:58.539,0.642,-0.409,-0.054,0.965
1572999598579,2019-11-05T16:19:58.579,0.682,-0.404,-0.050,0.962
1572999598620,2019-11-05T16:19:58.620,0.723,-0.405,-0.056,0.960
1572999598659,2019-11-05T16:19:58.659,0.762,-0.405,-0.047,0.960
1572999598699,2019-11-05T16:19:58.699,0.802,-0.406,-0.036,0.958
1572999598740,2019-11-05T16:19:58.740,0.843,-0.405,-0.035,0.956
1572999598779,2019-11-05T16:19:58.779,0.882,-0.401,-0.036,0.960
1572999598820,2019-11-05T16:19:58.820,0.923,-0.401,-0.038,0.960
1572999598860,2019-11-05T16:19:58.860,0.963,-0.398,-0.038,0.961
1572999598899,2019-11-05T16:19:58.899,1.002,-0.400,-0.037,0.967
1572999598940,2019-11-05T16:19:58.940,1.043,-0.400,-0.038,0.965
1572999598980,2019-11-05T16:19:58.980,1.083,-0.397,-0.044,0.961
1572999599021,2019-11-05T16:19:59.021,1.124,-0.395,-0.045,0.953
1572999599061,2019-11-05T16:19:59.061,1.164,-0.403,-0.040,0.957
1572999599100,2019-11-05T16:19:59.100,1.203,-0.412,-0.041,0.961
1572999599141,2019-11-05T16:19:59.141,1.244,-0.413,-0.043,0.965
1572999599181,2019-11-05T16:19:59.181,1.284,-0.410,-0.027,0.965
1572999599222,2019-11-05T16:19:59.222,1.325,-0.405,-0.026,0.963
1572999599261,2019-11-05T16:19:59.261,1.364,-0.396,-0.019,0.959
1572999599301,2019-11-05T16:19:59.301,1.404,-0.400,-0.020,0.958
1572999599342,2019-11-05T16:19:59.342,1.445,-0.404,-0.023,0.960
1572999599381,2019-11-05T16:19:59.381,1.484,-0.407,-0.026,0.960
1572999599422,2019-11-05T16:19:59.422,1.525,-0.407,-0.028,0.961
1572999599462,2019-11-05T16:19:59.462,1.565,-0.404,-0.028,0.961
1572999599501,2019-11-05T16:19:59.501,1.604,-0.404,-0.026,0.961
1572999599542,2019-11-05T16:19:59.542,1.645,-0.400,-0.032,0.960
1572999599582,2019-11-05T16:19:59.582,1.685,-0.402,-0.026,0.960
1572999599623,2019-11-05T16:19:59.623,1.726,-0.400,-0.027,0.957
1572999599663,2019-11-05T16:19:59.663,1.766,-0.396,-0.026,0.959
1572999599702,2019-11-05T16:19:59.702,1.805,-0.400,-0.023,0.966
1572999599743,2019-11-05T16:19:59.743,1.846,-0.405,-0.025,0.965
1572999599783,2019-11-05T16:19:59.783,1.886,-0.404,-0.022,0.963
1572999599824,2019-11-05T16:19:59.824,1.927,-0.402,-0.023,0.958
1572999599863,2019-11-05T16:19:59.863,1.966,-0.411,-0.021,0.956
1572999599903,2019-11-05T16:19:59.903,2.006,-0.411,-0.003,0.960
1572999599944,2019-11-05T16:19:59.944,2.047,-0.390,0.046,0.974
