epoch (ms),time (-08:00),elapsed (s),X-Axis (g),Y-Axis (g),Z-Axis (g)
1572983525530,2019-11-05T11:52:05.530,0.000,0.095,-0.917,0.369
1572983525569,2019-11-05T11:52:05.569,0.039,0.122,-1.118,0.321
1572983525610,2019-11-05T11:52:05.610,0.080,0.117,-0.997,0.306
1572983525650,2019-11-05T11:52:05.650,0.120,0.114,-0.624,0.568
1572983525691,2019-11-05T11:52:05.691,0.161,0.104,-0.535,0.703
1572983525730,2019-11-05T11:52:05.730,0.200,0.088,-0.783,0.707
1572983525770,2019-11-05T11:52:05.770,0.240,0.093,-0.944,0.683
1572983525811,2019-11-05T11:52:05.811,0.281,0.020,-0.736,0.788
1572983525850,2019-11-05T11:52:05.850,0.320,-0.025,-0.679,0.898
1572983525891,2019-11-05T11:52:05.891,0.361,-0.046,-0.671,0.827
1572983525931,2019-11-05T11:52:05.931,0.401,-0.101,-0.275,0.950
1572983525970,2019-11-05T11:52:05.970,0.440,-0.051,-0.022,0.948
1572983526012,2019-11-05T11:52:06.012,0.482,-0.049,0.144,1.007
1572983526051,2019-11-05T11:52:06.051,0.521,-0.112,0.226,1.086
1572983526092,2019-11-05T11:52:06.092,0.562,-0.178,0.262,1.048
1572983526132,2019-11-05T11:52:06.132,0.602,-0.236,0.048,1.084
1572983526171,2019-11-05T11:52:06.171,0.641,-0.290,-0.152,0.963
1572983526212,2019-11-05T11:52:06.212,0.682,-0.272,-0.251,0.960
1572983526252,2019-11-05T11:52:06.252,0.722,-0.226,-0.270,0.993
1572983526293,2019-11-05T11:52:06.293,0.763,-0.203,0.149,1.048
1572983526332,2019-11-05T11:52:06.332,0.802,-0.286,0.010,1.081
1572983526372,2019-11-05T11:52:06.372,0.842,-0.340,-0.430,1.105
1572983526413,2019-11-05T11:52:06.413,0.883,-0.247,-0.297,1.057
1572983526452,2019-11-05T11:52:06.452,0.922,-0.158,-0.104,1.054
1572983526493,2019-11-05T11:52:06.493,0.963,-0.192,-0.075,1.028
1572983526533,2019-11-05T11:52:06.533,1.003,-0.222,-0.067,1.013
1572983526573,2019-11-05T11:52:06.573,1.043,-0.190,-0.057,1.014
1572983526614,2019-11-05T11:52:06.614,1.084,-0.152,-0.044,1.008
1572983526653,2019-11-05T11:52:06.653,1.123,-0.157,0.005,1.014
1572983526694,2019-11-05T11:52:06.694,1.164,-0.140,0.044,1.032
1572983526734,2019-11-05T11:52:06.734,1.204,-0.150,0.009,1.036
1572983526775,2019-11-05T11:52:06.775,1.245,-0.168,-0.013,1.039
1572983526814,2019-11-05T11:52:06.814,1.284,-0.159,0.021,1.060
1572983526854,2019-11-05T11:52:06.854,1.324,-0.146,0.019,1.040
1572983526895,2019-11-05T11:52:06.895,1.365,-0.136,0.016,1.020
1572983526934,2019-11-05T11:52:06.934,1.404,-0.135,0.028,1.017
1572983526974,2019-11-05T11:52:06.974,1.444,-0.138,0.023,1.031
1572983527015,2019-11-05T11:52:07.015,1.485,-0.143,0.033,1.055
1572983527054,2019-11-05T11:52:07.054,1.524,-0.167,0.012,1.066
1572983527095,2019-11-05T11:52:07.095,1.565,-0.191,0.001,1.042
1572983527135,2019-11-05T11:52:07.135,1.605,-0.182,-0.148,1.030
1572983527175,2019-11-05T11:52:07.175,1.645,-0.153,-0.005,1.012
1572983527216,2019-11-05T11:52:07.216,1.686,-0.141,0.084,1.013
1572983527255,2019-11-05T11:52:07.255,1.725,-0.161,0.011,1.015
1572983527296,2019-11-05T11:52:07.296,1.766,-0.168,-0.046,1.010
1572983527336,2019-11-05T11:52:07.336,1.806,-0.169,-0.050,1.025
1572983527375,2019-11-05T11:52:07.375,1.845,-0.178,-0.028,1.047
1572983527416,2019-11-05T11:52:07.416,1.886,-0.199,-0.021,1.064
1572983527456,2019-11-05T11:52:07.456,1.926,-0.208,-0.005,1.069
1572983527497,2019-11-05T11:52:07.497,1.967,-0.205,0.001,1.058
1572983527536,2019-11-05T11:52:07.536,2.006,-0.203,-0.021,1.042
1572983527576,2019-11-05T11:52:07.576,2.046,-0.189,-0.031,1.037
1572983527617,2019-11-05T11:52:07.617,2.087,-0.183,-0.030,1.027
1572983527657,2019-11-05T11:52:07.657,2.127,-0.181,-0.043,1.036
1572983527698,2019-11-05T11:52:07.698,2.168,-0.184,-0.059,1.032
1572983527737,2019-11-05T11:52:07.737,2.207,-0.193,-0.061,1.042
1572983527777,2019-11-05T11:52:07.777,2.247,-0.204,-0.053,1.047
1572983527818,2019-11-05T11:52:07.818,2.288,-0.201,-0.046,1.044
1572983527857,2019-11-05T11:52:07.857,2.327,-0.204,-0.060,1.037
1572983527898,2019-11-05T11:52:07.898,2.368,-0.208,-0.067,1.036
1572983527938,2019-11-05T11:52:07.938,2.408,-0.237,-0.065,1.045
1572983527977,2019-11-05T11:52:07.977,2.447,-0.285,-0.057,1.062
1572983528018,2019-11-05T11:52:08.018,2.488,-0.282,-0.051,1.079
1572983528058,2019-11-05T11:52:08.058,2.528,-0.272,-0.127,1.064
1572983528099,2019-11-05T11:52:08.099,2.569,-0.258,-0.271,1.029
1572983528138,2019-11-05T11:52:08.138,2.608,-0.208,-0.360,1.012
1572983528178,2019-11-05T11:52:08.178,2.648,-0.136,-0.385,1.002
1572983528219,2019-11-05T11:52:08.219,2.689,-0.085,-0.377,0.996
1572983528259,2019-11-05T11:52:08.259,2.729,-0.064,-0.345,0.986
1572983528300,2019-11-05T11:52:08.300,2.770,-0.040,-0.356,0.963
1572983528339,2019-11-05T11:52:08.339,2.809,-0.019,-0.395,0.947
1572983528379,2019-11-05T11:52:08.379,2.849,0.006,-0.449,0.905
1572983528420,2019-11-05T11:52:08.420,2.890,0.017,-0.565,0.838
1572983528459,2019-11-05T11:52:08.459,2.929,0.036,-0.656,0.758
1572983528500,2019-11-05T11:52:08.500,2.970,0.064,-0.727,0.668
1572983528540,2019-11-05T11:52:08.540,3.010,0.086,-0.792,0.599
1572983528579,2019-11-05T11:52:08.579,3.049,0.150,-0.812,0.498
1572983528620,2019-11-05T11:52:08.620,3.090,0.232,-0.843,0.386
1572983528660,2019-11-05T11:52:08.660,3.130,0.302,-0.922,0.304
1572983528701,2019-11-05T11:52:08.701,3.171,0.350,-0.934,0.260
1572983528741,2019-11-05T11:52:08.741,3.211,0.382,-0.954,0.241
1572983528780,2019-11-05T11:52:08.780,3.250,0.394,-0.979,0.214
1572983528821,2019-11-05T11:52:08.821,3.291,0.401,-0.922,0.215
1572983528861,2019-11-05T11:52:08.861,3.331,0.406,-0.825,0.192
1572983528902,2019-11-05T11:52:08.902,3.372,0.399,-0.832,0.117
1572983528941,2019-11-05T11:52:08.941,3.411,0.405,-0.819,0.095
1572983528981,2019-11-05T11:52:08.981,3.451,0.405,-0.780,0.053
1572983529022,2019-11-05T11:52:09.022,3.492,0.405,-0.722,0.040
1572983529061,2019-11-05T11:52:09.061,3.531,0.403,-0.845,0.020
1572983529102,2019-11-05T11:52:09.102,3.572,0.417,-1.002,-0.104
1572983529142,2019-11-05T11:52:09.142,3.612,0.452,-0.986,-0.104
1572983529181,2019-11-05T11:52:09.181,3.651,0.476,-0.932,-0.128
1572983529222,2019-11-05T11:52:09.222,3.692,0.479,-0.910,-0.138
1572983529262,2019-11-05T11:52:09.262,3.732,0.465,-0.972,-0.066
1572983529303,2019-11-05T11:52:09.303,3.773,0.450,-0.951,-0.059
1572983529343,2019-11-05T11:52:09.343,3.813,0.467,-0.840,-0.137
1572983529382,2019-11-05T11:52:09.382,3.852,0.455,-0.809,-0.157
1572983529423,2019-11-05T11:52:09.423,3.893,0.420,-0.827,-0.137
1572983529463,2019-11-05T11:52:09.463,3.933,0.419,-0.882,-0.139
1572983529504,2019-11-05T11:52:09.504,3.974,0.420,-0.875,-0.097
1572983529543,2019-11-05T11:52:09.543,4.013,0.424,-0.848,-0.037
1572983529583,2019-11-05T11:52:09.583,4.053,0.432,-0.843,-0.020
1572983529624,2019-11-05T11:52:09.624,4.094,0.430,-0.874,-0.022
1572983529663,2019-11-05T11:52:09.663,4.133,0.401,-0.948,-0.033
1572983529704,2019-11-05T11:52:09.704,4.174,0.395,-0.943,-0.041
1572983529744,2019-11-05T11:52:09.744,4.214,0.419,-0.901,-0.054
1572983529783,2019-11-05T11:52:09.783,4.253,0.425,-0.887,-0.060
1572983529824,2019-11-05T11:52:09.824,4.294,0.432,-0.880,-0.064
