epoch (ms),time (-08:00),elapsed (s),X-Axis (°/s),Y-Axis (°/s),Z-Axis (°/s)
1572983525449,2019-11-05T11:52:05.449,0.000,8.780,-11.098,10.244
1572983525490,2019-11-05T11:52:05.490,0.041,7.805,-10.854,10.427
1572983525530,2019-11-05T11:52:05.530,0.081,6.037,-9.207,8.232
1572983525569,2019-11-05T11:52:05.569,0.120,14.329,-5.183,2.561
1572983525610,2019-11-05T11:52:05.610,0.161,90.610,6.829,0.793
1572983525650,2019-11-05T11:52:05.650,0.201,133.476,19.146,13.232
1572983525691,2019-11-05T11:52:05.691,0.242,93.841,20.305,39.573
1572983525730,2019-11-05T11:52:05.730,0.281,48.537,16.585,43.110
1572983525770,2019-11-05T11:52:05.770,0.321,90.793,6.646,37.622
1572983525811,2019-11-05T11:52:05.811,0.362,156.768,1.159,42.561
1572983525850,2019-11-05T11:52:05.850,0.401,186.098,-7.256,34.695
1572983525891,2019-11-05T11:52:05.891,0.442,238.476,-11.280,26.341
1572983525931,2019-11-05T11:52:05.931,0.482,278.415,-6.585,29.939
1572983525970,2019-11-05T11:52:05.970,0.521,251.646,-4.573,18.476
1572983526012,2019-11-05T11:52:06.012,0.563,184.695,6.402,4.268
1572983526051,2019-11-05T11:52:06.051,0.602,89.939,15.671,-6.159
1572983526092,2019-11-05T11:52:06.092,0.643,5.061,22.256,-14.390
1572983526132,2019-11-05T11:52:06.132,0.683,-52.805,29.146,-19.512
1572983526173,2019-11-05T11:52:06.173,0.724,-74.634,35.610,-32.500
1572983526212,2019-11-05T11:52:06.212,0.763,-66.768,40.854,-44.390
1572983526252,2019-11-05T11:52:06.252,0.803,-29.817,39.329,-52.195
1572983526293,2019-11-05T11:52:06.293,0.844,-7.500,33.780,-45.244
1572983526332,2019-11-05T11:52:06.332,0.883,-61.646,31.463,-24.695
1572983526372,2019-11-05T11:52:06.372,0.923,-66.341,18.659,-5.244
1572983526413,2019-11-05T11:52:06.413,0.964,24.146,-6.463,4.024
1572983526452,2019-11-05T11:52:06.452,1.003,67.195,-17.866,19.207
1572983526493,2019-11-05T11:52:06.493,1.044,61.280,-19.817,28.293
1572983526533,2019-11-05T11:52:06.533,1.084,48.049,-23.841,23.415
1572983526573,2019-11-05T11:52:06.573,1.124,33.841,-23.293,16.402
1572983526614,2019-11-05T11:52:06.614,1.165,25.000,-15.305,11.890
1572983526653,2019-11-05T11:52:06.653,1.204,20.183,-9.024,5.366
1572983526694,2019-11-05T11:52:06.694,1.245,12.195,-5.610,1.890
1572983526734,2019-11-05T11:52:06.734,1.285,0.427,-0.427,1.402
1572983526775,2019-11-05T11:52:06.775,1.326,2.195,-0.366,1.341
1572983526814,2019-11-05T11:52:06.814,1.365,3.841,-3.659,2.805
1572983526854,2019-11-05T11:52:06.854,1.405,-2.378,-5.122,1.341
1572983526895,2019-11-05T11:52:06.895,1.446,-6.037,-2.805,-1.402
1572983526934,2019-11-05T11:52:06.934,1.485,-4.024,0.427,-2.195
1572983526974,2019-11-05T11:52:06.974,1.525,-0.244,4.817,-1.402
1572983527015,2019-11-05T11:52:07.015,1.566,2.012,8.720,-0.244
1572983527054,2019-11-05T11:52:07.054,1.605,-2.500,10.610,-1.037
1572983527095,2019-11-05T11:52:07.095,1.646,-10.122,7.866,-3.354
1572983527135,2019-11-05T11:52:07.135,1.686,-3.902,3.476,-10.854
1572983527175,2019-11-05T11:52:07.175,1.726,21.768,-2.134,-14.085
1572983527216,2019-11-05T11:52:07.216,1.767,11.585,-4.451,-12.317
1572983527255,2019-11-05T11:52:07.255,1.806,-13.780,-4.390,-8.720
1572983527296,2019-11-05T11:52:07.296,1.847,-20.793,-4.451,-4.695
1572983527336,2019-11-05T11:52:07.336,1.887,-14.878,-3.841,-2.744
1572983527375,2019-11-05T11:52:07.375,1.926,-8.293,-1.463,-3.659
1572983527416,2019-11-05T11:52:07.416,1.967,-4.756,2.256,-6.585
1572983527456,2019-11-05T11:52:07.456,2.007,-2.378,4.817,-9.695
1572983527497,2019-11-05T11:52:07.497,2.048,-2.683,5.976,-11.037
1572983527536,2019-11-05T11:52:07.536,2.087,-3.415,5.610,-9.146
1572983527576,2019-11-05T11:52:07.576,2.127,-2.256,5.244,-4.756
1572983527617,2019-11-05T11:52:07.617,2.168,-2.317,5.488,-0.183
1572983527657,2019-11-05T11:52:07.657,2.208,-4.085,5.915,3.110
1572983527698,2019-11-05T11:52:07.698,2.249,-3.659,6.829,5.122
1572983527737,2019-11-05T11:52:07.737,2.288,-0.549,7.134,5.000
1572983527777,2019-11-05T11:52:07.777,2.328,0.732,6.524,3.598
1572983527818,2019-11-05T11:52:07.818,2.369,-1.341,5.061,1.524
1572983527857,2019-11-05T11:52:07.857,2.408,-4.695,3.476,0.366
1572983527898,2019-11-05T11:52:07.898,2.449,-5.305,1.951,0.183
1572983527938,2019-11-05T11:52:07.938,2.489,-6.768,0.610,0.549
1572983527977,2019-11-05T11:52:07.977,2.528,-17.683,-2.561,4.451
1572983528018,2019-11-05T11:52:08.018,2.569,-46.098,-8.354,10.183
1572983528058,2019-11-05T11:52:08.058,2.609,-83.293,-13.780,9.207
1572983528099,2019-11-05T11:52:08.099,2.650,-105.000,-20.549,4.695
1572983528138,2019-11-05T11:52:08.138,2.689,-98.963,-29.146,-0.915
1572983528178,2019-11-05T11:52:08.178,2.729,-81.341,-35.793,-5.061
1572983528219,2019-11-05T11:52:08.219,2.770,-62.317,-37.561,-8.293
1572983528259,2019-11-05T11:52:08.259,2.810,-53.049,-37.500,-11.159
1572983528300,2019-11-05T11:52:08.300,2.851,-67.195,-36.890,-10.061
1572983528339,2019-11-05T11:52:08.339,2.890,-85.366,-35.549,-11.951
1572983528379,2019-11-05T11:52:08.379,2.930,-104.634,-32.744,-18.841
1572983528420,2019-11-05T11:52:08.420,2.971,-124.512,-28.902,-24.695
1572983528459,2019-11-05T11:52:08.459,3.010,-131.585,-27.744,-29.512
