epoch (ms),time (-07:00),elapsed (s),X-Axis (°/s),Y-Axis (°/s),Z-Axis (°/s)
1586553847281,2020-04-10T14:24:07.281,0.000,33.902,4.451,17.073
1586553847321,2020-04-10T14:24:07.321,0.040,35.488,-0.488,17.134
1586553847362,2020-04-10T14:24:07.362,0.081,40.976,-20.549,15.305
1586553847401,2020-04-10T14:24:07.401,0.120,35.854,-23.598,5.854
1586553847442,2020-04-10T14:24:07.442,0.161,17.866,-14.512,0.122
1586553847482,2020-04-10T14:24:07.482,0.201,-3.963,-12.744,8.232
1586553847521,2020-04-10T14:24:07.521,0.240,-26.463,-26.159,26.646
1586553847562,2020-04-10T14:24:07.562,0.281,-45.061,-58.232,48.171
1586553847602,2020-04-10T14:24:07.602,0.321,-64.756,-40.366,65.549
1586553847643,2020-04-10T14:24:07.643,0.362,-75.061,50.732,51.707
1586553847682,2020-04-10T14:24:07.682,0.401,-52.927,64.207,20.854
1586553847722,2020-04-10T14:24:07.722,0.441,-11.098,-3.598,7.622
1586553847763,2020-04-10T14:24:07.763,0.482,14.146,-10.244,3.232
1586553847803,2020-04-10T14:24:07.803,0.522,18.963,23.049,0.183
1586553847842,2020-04-10T14:24:07.842,0.561,17.988,23.171,-1.707
1586553847883,2020-04-10T14:24:07.883,0.602,14.695,1.951,-4.268
1586553847923,2020-04-10T14:24:07.923,0.642,8.232,-6.585,-7.012
1586553847964,2020-04-10T14:24:07.964,0.683,1.402,-4.146,-7.134
1586553848003,2020-04-10T14:24:08.003,0.722,-3.598,-8.110,-6.463
1586553848044,2020-04-10T14:24:08.044,0.763,-7.012,-11.402,-7.744
1586553848084,2020-04-10T14:24:08.084,0.803,-7.073,-0.183,-5.915
1586553848123,2020-04-10T14:24:08.123,0.842,-3.049,15.610,-4.329
1586553848164,2020-04-10T14:24:08.164,0.883,1.585,18.293,-2.195
1586553848204,2020-04-10T14:24:08.204,0.923,3.780,9.268,1.280
1586553848243,2020-04-10T14:24:08.243,0.962,0.061,-2.439,7.439
1586553848284,2020-04-10T14:24:08.284,1.003,-9.939,-0.183,3.537
1586553848324,2020-04-10T14:24:08.324,1.043,-9.817,10.244,-6.646
1586553848365,2020-04-10T14:24:08.365,1.084,7.378,-1.037,-15.000
1586553848405,2020-04-10T14:24:08.405,1.124,12.866,-7.988,-8.293
1586553848444,2020-04-10T14:24:08.444,1.163,6.402,-8.293,3.659
1586553848485,2020-04-10T14:24:08.485,1.204,0.488,-9.085,1.707
1586553848525,2020-04-10T14:24:08.525,1.244,-3.110,-2.927,-6.585
1586553848566,2020-04-10T14:24:08.566,1.285,-4.939,4.268,-7.927
1586553848605,2020-04-10T14:24:08.605,1.324,-6.768,4.756,0.732
1586553848645,2020-04-10T14:24:08.645,1.364,-6.280,4.878,6.280
1586553848686,2020-04-10T14:24:08.686,1.405,-4.085,8.293,3.780
1586553848725,2020-04-10T14:24:08.725,1.444,-0.671,8.780,1.098
1586553848766,2020-04-10T14:24:08.766,1.485,1.463,5.854,2.195
1586553848806,2020-04-10T14:24:08.806,1.525,4.634,-2.012,1.585
1586553848846,2020-04-10T14:24:08.846,1.565,3.537,-4.878,1.159
1586553848887,2020-04-10T14:24:08.887,1.606,3.659,-1.280,-0.183
1586553848926,2020-04-10T14:24:08.926,1.645,4.817,-2.439,0.488
1586553848967,2020-04-10T14:24:08.967,1.686,5.000,-3.841,1.098
1586553849007,2020-04-10T14:24:09.007,1.726,4.085,-11.341,1.890
1586553849046,2020-04-10T14:24:09.046,1.765,0.488,-17.500,2.012
1586553849087,2020-04-10T14:24:09.087,1.806,-6.037,-16.402,0.000
1586553849128,2020-04-10T14:24:09.128,1.847,-8.354,-13.598,-5.854
1586553849166,2020-04-10T14:24:09.166,1.885,-7.256,-9.146,-9.085
1586553849207,2020-04-10T14:24:09.207,1.926,-3.476,-1.707,-8.537
1586553849248,2020-04-10T14:24:09.248,1.967,-0.915,3.841,-6.951
1586553849288,2020-04-10T14:24:09.288,2.007,-2.256,8.841,-6.280
1586553849327,2020-04-10T14:24:09.327,2.046,-2.439,13.780,-8.171
