epoch (ms),time (-08:00),elapsed (s),X-Axis (°/s),Y-Axis (°/s),Z-Axis (°/s)
1573340430300,2019-11-09T15:00:30.300,0.000,-0.122,-5.488,1.098
1573340430341,2019-11-09T15:00:30.341,0.041,-1.524,-6.159,0.976
1573340430381,2019-11-09T15:00:30.381,0.081,-9.634,-7.988,-1.098
1573340430422,2019-11-09T15:00:30.422,0.122,-11.707,-2.988,-0.305
1573340430461,2019-11-09T15:00:30.461,0.161,-3.841,-1.341,-0.366
1573340430501,2019-11-09T15:00:30.501,0.201,3.537,-1.220,-1.402
1573340430542,2019-11-09T15:00:30.542,0.242,6.220,0.366,0.427
1573340430581,2019-11-09T15:00:30.581,0.281,5.793,2.622,3.780
1573340430622,2019-11-09T15:00:30.622,0.322,4.085,5.488,5.915
1573340430662,2019-11-09T15:00:30.662,0.362,0.183,7.805,5.976
1573340430702,2019-11-09T15:00:30.702,0.402,-9.024,-3.841,1.098
1573340430743,2019-11-09T15:00:30.743,0.443,-12.439,-8.293,-1.768
1573340430782,2019-11-09T15:00:30.782,0.482,-2.256,3.476,1.037
1573340430823,2019-11-09T15:00:30.823,0.523,6.768,0.061,-0.549
1573340430863,2019-11-09T15:00:30.863,0.563,7.744,3.841,3.049
1573340430902,2019-11-09T15:00:30.902,0.602,3.293,13.841,7.317
1573340430943,2019-11-09T15:00:30.943,0.643,1.768,3.659,1.829
1573340430983,2019-11-09T15:00:30.983,0.683,-1.098,-4.207,-1.524
1573340431024,2019-11-09T15:00:31.024,0.724,-7.317,1.220,1.341
1573340431063,2019-11-09T15:00:31.063,0.763,-8.780,2.439,2.134
1573340431103,2019-11-09T15:00:31.103,0.803,-2.073,-1.707,1.098
1573340431144,2019-11-09T15:00:31.144,0.844,5.732,3.293,2.622
1573340431183,2019-11-09T15:00:31.183,0.883,4.756,5.488,2.256
1573340431225,2019-11-09T15:00:31.225,0.925,0.976,-1.951,-0.427
1573340431264,2019-11-09T15:00:31.264,0.964,-1.829,0.915,0.183
1573340431304,2019-11-09T15:00:31.304,1.004,-2.012,2.622,0.366
1573340431345,2019-11-09T15:00:31.345,1.045,-2.195,-3.354,-2.805
1573340431384,2019-11-09T15:00:31.384,1.084,-3.720,-6.402,-2.805
1573340431424,2019-11-09T15:00:31.424,1.124,-9.939,2.561,1.829
1573340431465,2019-11-09T15:00:31.465,1.165,-5.854,4.939,1.159
1573340431504,2019-11-09T15:00:31.504,1.204,7.134,-4.451,-2.927
1573340431545,2019-11-09T15:00:31.545,1.245,10.427,3.780,0.671
1573340431585,2019-11-09T15:00:31.585,1.285,6.341,8.354,2.378
1573340431624,2019-11-09T15:00:31.624,1.324,2.195,-1.707,-0.854
1573340431665,2019-11-09T15:00:31.665,1.365,-3.841,-0.305,-0.427
1573340431705,2019-11-09T15:00:31.705,1.405,-7.805,-1.098,-1.037
1573340431746,2019-11-09T15:00:31.746,1.446,-4.878,-3.963,-2.378
1573340431786,2019-11-09T15:00:31.786,1.486,-0.061,-0.915,0.122
1573340431825,2019-11-09T15:00:31.825,1.525,-0.488,5.122,2.378
1573340431866,2019-11-09T15:00:31.866,1.566,3.354,0.671,0.915
1573340431906,2019-11-09T15:00:31.906,1.606,9.207,0.976,0.976
