epoch (ms),time (-08:00),elapsed (s),X-Axis (g),Y-Axis (g),Z-Axis (g)
1573106570121,2019-11-06T22:02:50.121,0.000,-1.036,0.397,0.311
1573106570162,2019-11-06T22:02:50.162,0.041,-0.952,0.673,0.342
1573106570201,2019-11-06T22:02:50.201,0.080,-0.896,0.497,0.063
1573106570241,2019-11-06T22:02:50.241,0.120,-0.965,-0.089,-0.354
1573106570282,2019-11-06T22:02:50.282,0.161,-0.895,-0.417,-0.625
1573106570322,2019-11-06T22:02:50.322,0.201,-0.711,-0.677,-0.723
1573106570363,2019-11-06T22:02:50.363,0.242,-0.597,-1.019,-0.714
1573106570402,2019-11-06T22:02:50.402,0.281,-0.579,-1.099,-0.607
1573106570442,2019-11-06T22:02:50.442,0.321,-0.579,-0.766,-0.479
1573106570483,2019-11-06T22:02:50.483,0.362,-0.629,-0.424,-0.446
1573106570522,2019-11-06T22:02:50.522,0.401,-0.744,-0.383,-0.448
1573106570563,2019-11-06T22:02:50.563,0.442,-0.825,-0.348,-0.493
1573106570603,2019-11-06T22:02:50.603,0.482,-0.810,-0.167,-0.467
1573106570642,2019-11-06T22:02:50.642,0.521,-0.848,0.036,-0.319
1573106570683,2019-11-06T22:02:50.683,0.562,-0.930,0.103,-0.222
1573106570723,2019-11-06T22:02:50.723,0.602,-0.921,0.252,-0.090
1573106570764,2019-11-06T22:02:50.764,0.643,-1.009,0.288,0.072
1573106570803,2019-11-06T22:02:50.803,0.682,-1.041,0.209,0.084
1573106570843,2019-11-06T22:02:50.843,0.722,-1.080,0.013,0.036
1573106570884,2019-11-06T22:02:50.884,0.763,-1.187,-0.219,0.043
1573106570924,2019-11-06T22:02:50.924,0.803,-1.312,-0.353,0.164
1573106570965,2019-11-06T22:02:50.965,0.844,-1.236,-0.198,0.283
1573106571004,2019-11-06T22:02:51.004,0.883,-1.122,0.080,0.467
1573106571044,2019-11-06T22:02:51.044,0.923,-1.120,0.164,0.489
1573106571085,2019-11-06T22:02:51.085,0.964,-1.113,0.042,0.359
1573106571124,2019-11-06T22:02:51.124,1.003,-1.060,-0.042,0.217
1573106571165,2019-11-06T22:02:51.165,1.044,-1.058,-0.075,0.104
1573106571205,2019-11-06T22:02:51.205,1.084,-1.091,-0.095,0.003
1573106571244,2019-11-06T22:02:51.244,1.123,-1.103,-0.117,-0.074
1573106571285,2019-11-06T22:02:51.285,1.164,-1.192,-0.225,-0.166
1573106571325,2019-11-06T22:02:51.325,1.204,-1.160,0.010,-0.182
1573106571366,2019-11-06T22:02:51.366,1.245,-1.062,0.281,-0.135
1573106571406,2019-11-06T22:02:51.406,1.285,-1.073,0.312,0.024
1573106571445,2019-11-06T22:02:51.445,1.324,-0.982,0.359,0.189
1573106571486,2019-11-06T22:02:51.486,1.365,-1.057,0.391,0.316
1573106571526,2019-11-06T22:02:51.526,1.405,-1.029,0.379,0.287
1573106571565,2019-11-06T22:02:51.565,1.444,-0.876,0.417,0.232
1573106571606,2019-11-06T22:02:51.606,1.485,-0.798,0.410,0.355
1573106571646,2019-11-06T22:02:51.646,1.525,-0.754,0.296,0.332
1573106571687,2019-11-06T22:02:51.687,1.566,-0.764,0.221,0.183
1573106571726,2019-11-06T22:02:51.726,1.605,-0.746,0.314,0.210
1573106571766,2019-11-06T22:02:51.766,1.645,-0.773,0.402,0.214
1573106571807,2019-11-06T22:02:51.807,1.686,-0.850,0.353,0.083
1573106571846,2019-11-06T22:02:51.846,1.725,-0.903,0.210,-0.083
1573106571887,2019-11-06T22:02:51.887,1.766,-0.984,-0.136,-0.264
1573106571927,2019-11-06T22:02:51.927,1.806,-1.115,-0.583,-0.331
