epoch (ms),time (-08:00),elapsed (s),X-Axis (°/s),Y-Axis (°/s),Z-Axis (°/s)
1573106733583,2019-11-06T22:05:33.583,0.000,-93.841,13.659,35.061
1573106733623,2019-11-06T22:05:33.623,0.040,-95.488,17.317,35.976
1573106733664,2019-11-06T22:05:33.664,0.081,-109.146,37.500,45.854
1573106733703,2019-11-06T22:05:33.703,0.120,-128.963,61.037,67.683
1573106733743,2019-11-06T22:05:33.743,0.160,-132.195,75.366,86.646
1573106733784,2019-11-06T22:05:33.784,0.201,-105.305,75.427,84.634
1573106733825,2019-11-06T22:05:33.825,0.242,-45.000,50.427,57.988
1573106733864,2019-11-06T22:05:33.864,0.281,21.402,16.159,16.829
1573106733904,2019-11-06T22:05:33.904,0.321,56.951,-2.683,-17.256
1573106733943,2019-11-06T22:05:33.943,0.360,69.573,-12.256,-29.634
1573106733984,2019-11-06T22:05:33.984,0.401,67.256,-26.707,-29.329
1573106734024,2019-11-06T22:05:34.024,0.441,97.134,-52.073,-33.659
1573106734065,2019-11-06T22:05:34.065,0.482,139.756,-67.134,-41.280
1573106734105,2019-11-06T22:05:34.105,0.522,134.146,-68.598,-46.951
1573106734144,2019-11-06T22:05:34.144,0.561,88.232,-65.549,-39.817
1573106734185,2019-11-06T22:05:34.185,0.602,37.805,-53.598,-25.671
1573106734225,2019-11-06T22:05:34.225,0.642,-5.488,-34.207,-22.622
1573106734264,2019-11-06T22:05:34.264,0.681,-22.073,-21.341,-34.451
1573106734305,2019-11-06T22:05:34.305,0.722,-12.927,-22.805,-46.098
1573106734345,2019-11-06T22:05:34.345,0.762,-3.963,-27.378,-53.354
1573106734386,2019-11-06T22:05:34.386,0.803,-24.695,-26.280,-65.000
1573106734425,2019-11-06T22:05:34.425,0.842,-89.878,-19.756,-86.220
1573106734465,2019-11-06T22:05:34.465,0.882,-198.232,-8.110,-120.976
1573106734506,2019-11-06T22:05:34.506,0.923,-353.476,28.963,-164.756
1573106734545,2019-11-06T22:05:34.545,0.962,-528.720,116.159,-207.439
1573106734586,2019-11-06T22:05:34.586,1.003,-584.329,210.976,-223.232
1573106734626,2019-11-06T22:05:34.626,1.043,-389.756,199.024,-196.646
1573106734666,2019-11-06T22:05:34.666,1.083,-107.927,138.354,-162.622
1573106734707,2019-11-06T22:05:34.707,1.124,34.268,129.695,-123.232
1573106734746,2019-11-06T22:05:34.746,1.163,35.793,159.695,-86.402
1573106734787,2019-11-06T22:05:34.787,1.204,21.402,171.280,-64.451
1573106734827,2019-11-06T22:05:34.827,1.244,37.012,154.634,-56.646
1573106734866,2019-11-06T22:05:34.866,1.283,54.390,136.098,-52.073
1573106734907,2019-11-06T22:05:34.907,1.324,31.951,130.488,-45.549
1573106734947,2019-11-06T22:05:34.947,1.364,1.707,121.220,-34.939
1573106734988,2019-11-06T22:05:34.988,1.405,5.549,98.293,-19.329
1573106735027,2019-11-06T22:05:35.027,1.444,-2.805,74.390,3.476
1573106735067,2019-11-06T22:05:35.067,1.484,-46.829,74.329,19.634
1573106735108,2019-11-06T22:05:35.108,1.525,-20.854,72.927,17.683
1573106735148,2019-11-06T22:05:35.148,1.565,56.098,61.707,1.890
1573106735189,2019-11-06T22:05:35.189,1.606,110.793,54.085,-17.805
1573106735228,2019-11-06T22:05:35.228,1.645,36.220,85.854,-23.902
1573106735268,2019-11-06T22:05:35.268,1.685,-63.232,110.305,-11.951
1573106735309,2019-11-06T22:05:35.309,1.726,-43.049,96.341,-6.524
1573106735348,2019-11-06T22:05:35.348,1.765,10.732,80.915,-20.061
1573106735389,2019-11-06T22:05:35.389,1.806,79.878,56.463,-50.183
1573106735429,2019-11-06T22:05:35.429,1.846,173.598,0.244,-92.744
1573106735468,2019-11-06T22:05:35.468,1.885,180.366,-41.463,-130.244
1573106735509,2019-11-06T22:05:35.509,1.926,108.963,-57.866,-155.854
1573106735549,2019-11-06T22:05:35.549,1.966,15.061,-54.329,-164.695
1573106735590,2019-11-06T22:05:35.590,2.007,-90.732,-22.744,-143.232
1573106735629,2019-11-06T22:05:35.629,2.046,-155.732,42.378,-91.159
1573106735669,2019-11-06T22:05:35.669,2.086,-97.744,118.293,-6.768
1573106735710,2019-11-06T22:05:35.710,2.127,31.159,177.134,72.988
1573106735750,2019-11-06T22:05:35.750,2.167,222.744,174.207,87.683
1573106735791,2019-11-06T22:05:35.791,2.208,398.720,76.098,8.598
1573106735830,2019-11-06T22:05:35.830,2.247,399.695,-40.488,-60.244
1573106735870,2019-11-06T22:05:35.870,2.287,357.561,-129.695,-55.610
1573106735911,2019-11-06T22:05:35.911,2.328,169.573,-102.073,-27.805
1573106735950,2019-11-06T22:05:35.950,2.367,-114.085,16.890,-51.098
1573106735991,2019-11-06T22:05:35.991,2.408,-173.415,80.183,-107.622
1573106736031,2019-11-06T22:05:36.031,2.448,7.012,31.402,-113.171
1573106736070,2019-11-06T22:05:36.070,2.487,154.024,-64.146,-58.110
1573106736111,2019-11-06T22:05:36.111,2.528,101.829,-102.805,34.024
1573106736151,2019-11-06T22:05:36.151,2.568,-97.073,-78.780,93.232
1573106736192,2019-11-06T22:05:36.192,2.609,-263.171,-17.561,79.207
1573106736232,2019-11-06T22:05:36.232,2.649,-281.280,60.671,28.841
1573106736271,2019-11-06T22:05:36.271,2.688,-233.963,143.171,21.402
1573106736312,2019-11-06T22:05:36.312,2.729,-100.610,146.829,40.122
1573106736352,2019-11-06T22:05:36.352,2.769,105.305,53.537,49.207
1573106736391,2019-11-06T22:05:36.391,2.808,166.890,-9.451,76.829
1573106736432,2019-11-06T22:05:36.432,2.849,-7.561,-8.902,93.598
1573106736472,2019-11-06T22:05:36.472,2.889,-258.902,28.780,70.793
1573106736513,2019-11-06T22:05:36.513,2.930,-391.402,76.220,33.049
1573106736552,2019-11-06T22:05:36.552,2.969,-302.256,83.049,6.829
1573106736592,2019-11-06T22:05:36.592,3.009,-74.939,46.280,1.220
1573106736633,2019-11-06T22:05:36.633,3.050,50.549,31.890,11.768
