epoch (ms),time (-08:00),elapsed (s),X-Axis (g),Y-Axis (g),Z-Axis (g)
1573340106075,2019-11-09T14:55:06.075,0.000,-0.012,-0.212,-0.970
1573340106115,2019-11-09T14:55:06.115,0.040,-0.012,-0.213,-0.978
1573340106156,2019-11-09T14:55:06.156,0.081,-0.013,-0.213,-0.976
1573340106195,2019-11-09T14:55:06.195,0.120,-0.012,-0.213,-0.975
1573340106236,2019-11-09T14:55:06.236,0.161,-0.011,-0.213,-0.976
1573340106276,2019-11-09T14:55:06.276,0.201,-0.011,-0.214,-0.975
1573340106315,2019-11-09T14:55:06.315,0.240,-0.012,-0.213,-0.975
1573340106356,2019-11-09T14:55:06.356,0.281,-0.012,-0.214,-0.975
1573340106396,2019-11-09T14:55:06.396,0.321,-0.011,-0.213,-0.975
1573340106435,2019-11-09T14:55:06.435,0.360,-0.011,-0.213,-0.976
1573340106476,2019-11-09T14:55:06.476,0.401,-0.012,-0.213,-0.975
1573340106516,2019-11-09T14:55:06.516,0.441,-0.012,-0.214,-0.973
1573340106557,2019-11-09T14:55:06.557,0.482,-0.012,-0.213,-0.974
1573340106596,2019-11-09T14:55:06.596,0.521,-0.011,-0.212,-0.974
1573340106636,2019-11-09T14:55:06.636,0.561,-0.011,-0.213,-0.975
1573340106677,2019-11-09T14:55:06.677,0.602,-0.012,-0.213,-0.974
1573340106717,2019-11-09T14:55:06.717,0.642,-0.012,-0.213,-0.974
1573340106756,2019-11-09T14:55:06.756,0.681,-0.012,-0.213,-0.973
1573340106797,2019-11-09T14:55:06.797,0.722,-0.013,-0.213,-0.975
1573340106837,2019-11-09T14:55:06.837,0.762,-0.011,-0.214,-0.975
1573340106878,2019-11-09T14:55:06.878,0.803,-0.012,-0.214,-0.973
1573340106917,2019-11-09T14:55:06.917,0.842,-0.011,-0.214,-0.974
1573340106957,2019-11-09T14:55:06.957,0.882,-0.011,-0.213,-0.975
1573340106998,2019-11-09T14:55:06.998,0.923,-0.013,-0.213,-0.975
1573340107037,2019-11-09T14:55:07.037,0.962,-0.012,-0.214,-0.974
1573340107078,2019-11-09T14:55:07.078,1.003,-0.011,-0.213,-0.974
1573340107118,2019-11-09T14:55:07.118,1.043,-0.012,-0.214,-0.973
1573340107158,2019-11-09T14:55:07.158,1.083,-0.011,-0.215,-0.973
1573340107199,2019-11-09T14:55:07.199,1.124,-0.012,-0.214,-0.974
1573340107238,2019-11-09T14:55:07.238,1.163,-0.012,-0.213,-0.974
1573340107279,2019-11-09T14:55:07.279,1.204,-0.012,-0.214,-0.976
1573340107319,2019-11-09T14:55:07.319,1.244,-0.012,-0.214,-0.975
1573340107358,2019-11-09T14:55:07.358,1.283,-0.012,-0.214,-0.972
1573340107399,2019-11-09T14:55:07.399,1.324,-0.013,-0.214,-0.975
1573340107439,2019-11-09T14:55:07.439,1.364,-0.013,-0.214,-0.974
1573340107480,2019-11-09T14:55:07.480,1.405,-0.011,-0.213,-0.973
1573340107519,2019-11-09T14:55:07.519,1.444,-0.012,-0.214,-0.974
1573340107559,2019-11-09T14:55:07.559,1.484,-0.012,-0.213,-0.973
1573340107600,2019-11-09T14:55:07.600,1.525,-0.012,-0.214,-0.974
1573340107639,2019-11-09T14:55:07.639,1.564,-0.011,-0.214,-0.976
1573340107680,2019-11-09T14:55:07.680,1.605,-0.013,-0.214,-0.974
1573340107720,2019-11-09T14:55:07.720,1.645,-0.013,-0.214,-0.975
1573340107760,2019-11-09T14:55:07.760,1.685,-0.011,-0.214,-0.973
1573340107801,2019-11-09T14:55:07.801,1.726,-0.011,-0.213,-0.974
1573340107840,2019-11-09T14:55:07.840,1.765,-0.012,-0.214,-0.976
1573340107881,2019-11-09T14:55:07.881,1.806,-0.011,-0.213,-0.974
1573340107921,2019-11-09T14:55:07.921,1.846,-0.012,-0.214,-0.973
1573340107960,2019-11-09T14:55:07.960,1.885,-0.012,-0.214,-0.975
1573340108001,2019-11-09T14:55:08.001,1.926,-0.011,-0.214,-0.975
1573340108041,2019-11-09T14:55:08.041,1.966,-0.012,-0.212,-0.976
1573340108082,2019-11-09T14:55:08.082,2.007,-0.012,-0.213,-0.974
1573340108121,2019-11-09T14:55:08.121,2.046,-0.011,-0.214,-0.974
1573340108161,2019-11-09T14:55:08.161,2.086,-0.013,-0.213,-0.974
1573340108202,2019-11-09T14:55:08.202,2.127,-0.013,-0.213,-0.975
1573340108242,2019-11-09T14:55:08.242,2.167,-0.012,-0.213,-0.974
1573340108281,2019-11-09T14:55:08.281,2.206,-0.011,-0.214,-0.974
1573340108322,2019-11-09T14:55:08.322,2.247,-0.013,-0.213,-0.975
1573340108362,2019-11-09T14:55:08.362,2.287,-0.012,-0.212,-0.975
1573340108403,2019-11-09T14:55:08.403,2.328,-0.011,-0.213,-0.975
1573340108442,2019-11-09T14:55:08.442,2.367,-0.013,-0.214,-0.973
1573340108482,2019-11-09T14:55:08.482,2.407,-0.013,-0.213,-0.974
1573340108523,2019-11-09T14:55:08.523,2.448,-0.013,-0.214,-0.974
1573340108564,2019-11-09T14:55:08.564,2.489,-0.011,-0.214,-0.974
1573340108603,2019-11-09T14:55:08.603,2.528,-0.012,-0.214,-0.974
1573340108643,2019-11-09T14:55:08.643,2.568,-0.012,-0.214,-0.973
1573340108684,2019-11-09T14:55:08.684,2.609,-0.012,-0.213,-0.974
1573340108723,2019-11-09T14:55:08.723,2.648,-0.012,-0.213,-0.974
1573340108763,2019-11-09T14:55:08.763,2.688,-0.012,-0.213,-0.973
