epoch (ms),time (-08:00),elapsed (s),X-Axis (g),Y-Axis (g),Z-Axis (g)
1572992079938,2019-11-05T14:14:39.938,0.000,-0.011,-0.755,0.662
1572992079979,2019-11-05T14:14:39.979,0.041,-0.011,-0.765,0.668
1572992080019,2019-11-05T14:14:40.019,0.081,-0.007,-0.767,0.664
1572992080060,2019-11-05T14:14:40.060,0.122,-0.005,-0.764,0.664
1572992080100,2019-11-05T14:14:40.100,0.162,-0.005,-0.761,0.662
1572992080141,2019-11-05T14:14:40.141,0.203,-0.008,-0.770,0.663
1572992080180,2019-11-05T14:14:40.180,0.242,-0.008,-0.768,0.664
1572992080220,2019-11-05T14:14:40.220,0.282,-0.003,-0.759,0.667
1572992080261,2019-11-05T14:14:40.261,0.323,-0.008,-0.774,0.664
1572992080300,2019-11-05T14:14:40.300,0.362,-0.011,-0.761,0.664
1572992080340,2019-11-05T14:14:40.340,0.402,-0.008,-0.760,0.660
1572992080381,2019-11-05T14:14:40.381,0.443,-0.013,-0.776,0.663
1572992080420,2019-11-05T14:14:40.420,0.482,-0.014,-0.763,0.664
1572992080461,2019-11-05T14:14:40.461,0.523,-0.010,-0.761,0.664
1572992080501,2019-11-05T14:14:40.501,0.563,-0.009,-0.775,0.664
1572992080540,2019-11-05T14:14:40.540,0.602,-0.014,-0.768,0.668
1572992080581,2019-11-05T14:14:40.581,0.643,-0.016,-0.759,0.672
1572992080621,2019-11-05T14:14:40.621,0.683,-0.015,-0.768,0.672
1572992080662,2019-11-05T14:14:40.662,0.724,-0.011,-0.764,0.671
1572992080702,2019-11-05T14:14:40.702,0.764,-0.011,-0.763,0.670
1572992080741,2019-11-05T14:14:40.741,0.803,-0.011,-0.759,0.669
1572992080782,2019-11-05T14:14:40.782,0.844,-0.008,-0.765,0.667
1572992080822,2019-11-05T14:14:40.822,0.884,-0.008,-0.767,0.666
1572992080863,2019-11-05T14:14:40.863,0.925,-0.009,-0.760,0.667
1572992080902,2019-11-05T14:14:40.902,0.964,-0.007,-0.759,0.663
1572992080942,2019-11-05T14:14:40.942,1.004,-0.006,-0.755,0.660
1572992080983,2019-11-05T14:14:40.983,1.045,-0.009,-0.755,0.661
1572992081022,2019-11-05T14:14:41.022,1.084,-0.006,-0.757,0.664
1572992081063,2019-11-05T14:14:41.063,1.125,-0.014,-0.770,0.667
1572992081103,2019-11-05T14:14:41.103,1.165,-0.013,-0.753,0.671
1572992081142,2019-11-05T14:14:41.142,1.204,-0.010,-0.756,0.667
1572992081184,2019-11-05T14:14:41.184,1.246,-0.009,-0.763,0.671
1572992081223,2019-11-05T14:14:41.223,1.285,-0.014,-0.777,0.674
1572992081264,2019-11-05T14:14:41.264,1.326,-0.010,-0.758,0.670
1572992081304,2019-11-05T14:14:41.304,1.366,0.002,-0.756,0.665
1572992081343,2019-11-05T14:14:41.343,1.405,0.001,-0.774,0.662
1572992081384,2019-11-05T14:14:41.384,1.446,-0.010,-0.755,0.667
1572992081424,2019-11-05T14:14:41.424,1.486,-0.013,-0.761,0.670
1572992081463,2019-11-05T14:14:41.463,1.525,-0.012,-0.774,0.669
