epoch (ms),time (-08:00),elapsed (s),X-Axis (g),Y-Axis (g),Z-Axis (g)
1572999741190,2019-11-05T16:22:21.190,0.000,-0.532,-0.110,0.757
1572999741230,2019-11-05T16:22:21.230,0.040,-0.537,-0.116,0.765
1572999741269,2019-11-05T16:22:21.269,0.079,-0.534,-0.131,0.762
1572999741310,2019-11-05T16:22:21.310,0.120,-0.534,-0.122,0.765
1572999741350,2019-11-05T16:22:21.350,0.160,-0.533,-0.117,0.765
1572999741389,2019-11-05T16:22:21.389,0.199,-0.531,-0.127,0.765
1572999741429,2019-11-05T16:22:21.429,0.239,-0.532,-0.119,0.767
1572999741468,2019-11-05T16:22:21.468,0.278,-0.533,-0.107,0.758
1572999741509,2019-11-05T16:22:21.509,0.319,-0.531,-0.124,0.761
1572999741549,2019-11-05T16:22:21.549,0.359,-0.535,-0.112,0.767
1572999741588,2019-11-05T16:22:21.588,0.398,-0.536,-0.102,0.759
1572999741628,2019-11-05T16:22:21.628,0.438,-0.531,-0.125,0.766
1572999741668,2019-11-05T16:22:21.668,0.478,-0.533,-0.126,0.761
1572999741707,2019-11-05T16:22:21.707,0.517,-0.537,-0.104,0.759
1572999741748,2019-11-05T16:22:21.748,0.558,-0.533,-0.119,0.762
1572999741788,2019-11-05T16:22:21.788,0.598,-0.530,-0.127,0.751
1572999741827,2019-11-05T16:22:21.827,0.637,-0.533,-0.112,0.758
1572999741867,2019-11-05T16:22:21.867,0.677,-0.535,-0.124,0.763
1572999741906,2019-11-05T16:22:21.906,0.716,-0.536,-0.129,0.761
1572999741946,2019-11-05T16:22:21.946,0.756,-0.536,-0.117,0.759
1572999741987,2019-11-05T16:22:21.987,0.797,-0.532,-0.126,0.755
1572999742026,2019-11-05T16:22:22.026,0.836,-0.537,-0.129,0.765
1572999742066,2019-11-05T16:22:22.066,0.876,-0.538,-0.125,0.761
1572999742106,2019-11-05T16:22:22.106,0.916,-0.536,-0.126,0.765
1572999742145,2019-11-05T16:22:22.145,0.955,-0.540,-0.126,0.765
1572999742185,2019-11-05T16:22:22.185,0.995,-0.542,-0.123,0.764
1572999742226,2019-11-05T16:22:22.226,1.036,-0.531,-0.125,0.764
1572999742265,2019-11-05T16:22:22.265,1.075,-0.533,-0.122,0.757
1572999742305,2019-11-05T16:22:22.305,1.115,-0.537,-0.128,0.765
1572999742344,2019-11-05T16:22:22.344,1.154,-0.535,-0.129,0.765
1572999742384,2019-11-05T16:22:22.384,1.194,-0.537,-0.125,0.756
1572999742423,2019-11-05T16:22:22.423,1.233,-0.535,-0.127,0.765
1572999742464,2019-11-05T16:22:22.464,1.274,-0.537,-0.129,0.752
1572999742504,2019-11-05T16:22:22.504,1.314,-0.535,-0.132,0.757
1572999742544,2019-11-05T16:22:22.544,1.354,-0.533,-0.131,0.757
1572999742583,2019-11-05T16:22:22.583,1.393,-0.538,-0.129,0.751
1572999742623,2019-11-05T16:22:22.623,1.433,-0.530,-0.129,0.771
1572999742664,2019-11-05T16:22:22.664,1.474,-0.533,-0.121,0.767
1572999742703,2019-11-05T16:22:22.703,1.513,-0.538,-0.134,0.769
1572999742743,2019-11-05T16:22:22.743,1.553,-0.534,-0.131,0.760
1572999742782,2019-11-05T16:22:22.782,1.592,-0.538,-0.121,0.752
1572999742822,2019-11-05T16:22:22.822,1.632,-0.533,-0.115,0.764
1572999742861,2019-11-05T16:22:22.861,1.671,-0.529,-0.123,0.758
1572999742902,2019-11-05T16:22:22.902,1.712,-0.527,-0.138,0.770
1572999742942,2019-11-05T16:22:22.942,1.752,-0.525,-0.136,0.770
1572999742981,2019-11-05T16:22:22.981,1.791,-0.537,-0.126,0.763
1572999743021,2019-11-05T16:22:23.021,1.831,-0.541,-0.139,0.770
1572999743061,2019-11-05T16:22:23.061,1.871,-0.541,-0.136,0.759
1572999743100,2019-11-05T16:22:23.100,1.910,-0.535,-0.125,0.757
1572999743141,2019-11-05T16:22:23.141,1.951,-0.524,-0.122,0.770
1572999743181,2019-11-05T16:22:23.181,1.991,-0.521,-0.118,0.759
1572999743220,2019-11-05T16:22:23.220,2.030,-0.525,-0.130,0.765
1572999743260,2019-11-05T16:22:23.260,2.070,-0.518,-0.125,0.773
1572999743299,2019-11-05T16:22:23.299,2.109,-0.522,-0.110,0.764
1572999743339,2019-11-05T16:22:23.339,2.149,-0.524,-0.126,0.771
1572999743380,2019-11-05T16:22:23.380,2.190,-0.529,-0.137,0.773
1572999743419,2019-11-05T16:22:23.419,2.229,-0.525,-0.118,0.774
1572999743459,2019-11-05T16:22:23.459,2.269,-0.520,-0.117,0.773
1572999743499,2019-11-05T16:22:23.499,2.309,-0.516,-0.135,0.772
1572999743538,2019-11-05T16:22:23.538,2.348,-0.521,-0.118,0.766
1572999743578,2019-11-05T16:22:23.578,2.388,-0.521,-0.122,0.763
1572999743619,2019-11-05T16:22:23.619,2.429,-0.520,-0.137,0.769
1572999743658,2019-11-05T16:22:23.658,2.468,-0.521,-0.123,0.759
1572999743698,2019-11-05T16:22:23.698,2.508,-0.526,-0.121,0.768
1572999743737,2019-11-05T16:22:23.737,2.547,-0.526,-0.124,0.769
1572999743777,2019-11-05T16:22:23.777,2.587,-0.527,-0.121,0.766
1572999743816,2019-11-05T16:22:23.816,2.626,-0.528,-0.130,0.766
1572999743857,2019-11-05T16:22:23.857,2.667,-0.529,-0.127,0.765
1572999743897,2019-11-05T16:22:23.897,2.707,-0.527,-0.129,0.762
1572999743937,2019-11-05T16:22:23.937,2.747,-0.522,-0.135,0.775
1572999743976,2019-11-05T16:22:23.976,2.786,-0.529,-0.122,0.770
1572999744016,2019-11-05T16:22:24.016,2.826,-0.534,-0.127,0.769
1572999744055,2019-11-05T16:22:24.055,2.865,-0.525,-0.141,0.768
1572999744096,2019-11-05T16:22:24.096,2.906,-0.530,-0.126,0.770
1572999744136,2019-11-05T16:22:24.136,2.946,-0.532,-0.122,0.768
1572999744175,2019-11-05T16:22:24.175,2.985,-0.532,-0.142,0.759
1572999744215,2019-11-05T16:22:24.215,3.025,-0.528,-0.137,0.758
1572999744254,2019-11-05T16:22:24.254,3.064,-0.526,-0.125,0.757
1572999744294,2019-11-05T16:22:24.294,3.104,-0.528,-0.134,0.760
1572999744335,2019-11-05T16:22:24.335,3.145,-0.533,-0.143,0.760
1572999744375,2019-11-05T16:22:24.375,3.185,-0.539,-0.133,0.752
1572999744414,2019-11-05T16:22:24.414,3.224,-0.529,-0.133,0.754
1572999744454,2019-11-05T16:22:24.454,3.264,-0.529,-0.139,0.753
1572999744493,2019-11-05T16:22:24.493,3.303,-0.532,-0.142,0.752
1572999744534,2019-11-05T16:22:24.534,3.344,-0.538,-0.141,0.759
1572999744574,2019-11-05T16:22:24.574,3.384,-0.539,-0.128,0.762
1572999744613,2019-11-05T16:22:24.613,3.423,-0.539,-0.132,0.758
1572999744653,2019-11-05T16:22:24.653,3.463,-0.536,-0.142,0.764
1572999744692,2019-11-05T16:22:24.692,3.502,-0.540,-0.135,0.752
1572999744732,2019-11-05T16:22:24.732,3.542,-0.533,-0.139,0.763
1572999744773,2019-11-05T16:22:24.773,3.583,-0.533,-0.138,0.758
1572999744813,2019-11-05T16:22:24.813,3.623,-0.539,-0.141,0.751
1572999744852,2019-11-05T16:22:24.852,3.662,-0.539,-0.134,0.757
1572999744892,2019-11-05T16:22:24.892,3.702,-0.541,-0.134,0.751
1572999744931,2019-11-05T16:22:24.931,3.741,-0.539,-0.138,0.756
1572999744971,2019-11-05T16:22:24.971,3.781,-0.537,-0.135,0.760
1572999745012,2019-11-05T16:22:25.012,3.822,-0.539,-0.141,0.753
1572999745051,2019-11-05T16:22:25.051,3.861,-0.536,-0.147,0.758
1572999745091,2019-11-05T16:22:25.091,3.901,-0.542,-0.132,0.749
1572999745130,2019-11-05T16:22:25.130,3.940,-0.542,-0.126,0.747
1572999745170,2019-11-05T16:22:25.170,3.980,-0.533,-0.139,0.758
1572999745210,2019-11-05T16:22:25.210,4.020,-0.538,-0.134,0.756
1572999745251,2019-11-05T16:22:25.251,4.061,-0.543,-0.144,0.765
1572999745290,2019-11-05T16:22:25.290,4.100,-0.548,-0.146,0.761
1572999745330,2019-11-05T16:22:25.330,4.140,-0.551,-0.144,0.763
1572999745369,2019-11-05T16:22:25.369,4.179,-0.540,-0.154,0.756
1572999745409,2019-11-05T16:22:25.409,4.219,-0.537,-0.145,0.741
1572999745448,2019-11-05T16:22:25.448,4.258,-0.544,-0.128,0.727
1572999745489,2019-11-05T16:22:25.489,4.299,-0.545,-0.125,0.738
1572999745529,2019-11-05T16:22:25.529,4.339,-0.543,-0.134,0.744
1572999745568,2019-11-05T16:22:25.568,4.378,-0.538,-0.143,0.743
1572999745608,2019-11-05T16:22:25.608,4.418,-0.541,-0.132,0.749
1572999745648,2019-11-05T16:22:25.648,4.458,-0.547,-0.130,0.752
1572999745687,2019-11-05T16:22:25.687,4.497,-0.548,-0.133,0.759
1572999745728,2019-11-05T16:22:25.728,4.538,-0.546,-0.123,0.761
1572999745768,2019-11-05T16:22:25.768,4.578,-0.549,-0.121,0.749
1572999745807,2019-11-05T16:22:25.807,4.617,-0.538,-0.129,0.742
1572999745847,2019-11-05T16:22:25.847,4.657,-0.545,-0.109,0.741
1572999745886,2019-11-05T16:22:25.886,4.696,-0.557,-0.125,0.736
1572999745927,2019-11-05T16:22:25.927,4.737,-0.553,-0.146,0.737
1572999745967,2019-11-05T16:22:25.967,4.777,-0.550,-0.120,0.740
1572999746006,2019-11-05T16:22:26.006,4.816,-0.553,-0.123,0.737
1572999746046,2019-11-05T16:22:26.046,4.856,-0.552,-0.137,0.740
1572999746086,2019-11-05T16:22:26.086,4.896,-0.563,-0.114,0.744
1572999746125,2019-11-05T16:22:26.125,4.935,-0.577,-0.123,0.743
1572999746166,2019-11-05T16:22:26.166,4.976,-0.575,-0.165,0.732
1572999746206,2019-11-05T16:22:26.206,5.016,-0.576,-0.170,0.717
1572999746245,2019-11-05T16:22:26.245,5.055,-0.571,-0.134,0.706
1572999746285,2019-11-05T16:22:26.285,5.095,-0.580,-0.128,0.699
1572999746324,2019-11-05T16:22:26.324,5.134,-0.591,-0.162,0.682
1572999746364,2019-11-05T16:22:26.364,5.174,-0.626,-0.195,0.693
1572999746405,2019-11-05T16:22:26.405,5.215,-0.650,-0.237,0.750
1572999746444,2019-11-05T16:22:26.444,5.254,-0.625,-0.340,0.820
1572999746484,2019-11-05T16:22:26.484,5.294,-0.605,-0.425,0.815
1572999746523,2019-11-05T16:22:26.523,5.333,-0.604,-0.337,0.810
1572999746563,2019-11-05T16:22:26.563,5.373,-0.620,-0.246,0.798
1572999746603,2019-11-05T16:22:26.603,5.413,-0.669,-0.407,0.852
1572999746644,2019-11-05T16:22:26.644,5.454,-0.655,-0.572,0.896
1572999746683,2019-11-05T16:22:26.683,5.493,-0.639,-0.458,0.939
1572999746723,2019-11-05T16:22:26.723,5.533,-0.644,-0.244,0.905
1572999746762,2019-11-05T16:22:26.762,5.572,-0.596,-0.045,0.689
1572999746802,2019-11-05T16:22:26.802,5.612,-0.450,0.230,0.479
1572999746841,2019-11-05T16:22:26.841,5.651,-0.286,0.641,0.373
1572999746882,2019-11-05T16:22:26.882,5.692,-0.214,0.969,0.331
1572999746922,2019-11-05T16:22:26.922,5.732,-0.161,0.938,0.371
1572999746961,2019-11-05T16:22:26.961,5.771,-0.156,0.687,0.354
1572999747001,2019-11-05T16:22:27.001,5.811,-0.283,0.609,0.325
1572999747041,2019-11-05T16:22:27.041,5.851,-0.465,0.534,0.302
1572999747080,2019-11-05T16:22:27.080,5.890,-0.490,0.260,0.306
1572999747121,2019-11-05T16:22:27.121,5.931,-0.346,0.050,0.517
1572999747161,2019-11-05T16:22:27.161,5.971,-0.187,-0.040,0.612
1572999747200,2019-11-05T16:22:27.200,6.010,-0.155,-0.109,0.759
1572999747240,2019-11-05T16:22:27.240,6.050,-0.211,-0.084,0.758
1572999747279,2019-11-05T16:22:27.279,6.089,-0.304,0.079,0.950
1572999747319,2019-11-05T16:22:27.319,6.129,-0.696,0.359,1.125
1572999747360,2019-11-05T16:22:27.360,6.170,-0.971,0.275,1.103
1572999747399,2019-11-05T16:22:27.399,6.209,-0.908,0.039,1.103
1572999747439,2019-11-05T16:22:27.439,6.249,-0.840,0.109,0.986
1572999747479,2019-11-05T16:22:27.479,6.289,-0.730,0.228,0.863
1572999747518,2019-11-05T16:22:27.518,6.328,-0.650,0.308,0.811
1572999747559,2019-11-05T16:22:27.559,6.369,-0.643,0.333,0.783
1572999747599,2019-11-05T16:22:27.599,6.409,-0.641,0.320,0.723
1572999747638,2019-11-05T16:22:27.638,6.448,-0.672,0.340,0.684
1572999747678,2019-11-05T16:22:27.678,6.488,-0.712,0.381,0.631
1572999747717,2019-11-05T16:22:27.717,6.527,-0.733,0.388,0.568
1572999747757,2019-11-05T16:22:27.757,6.567,-0.723,0.373,0.559
1572999747798,2019-11-05T16:22:27.798,6.608,-0.721,0.394,0.521
1572999747837,2019-11-05T16:22:27.837,6.647,-0.695,0.401,0.494
1572999747877,2019-11-05T16:22:27.877,6.687,-0.675,0.394,0.491
1572999747917,2019-11-05T16:22:27.917,6.727,-0.665,0.376,0.505
1572999747956,2019-11-05T16:22:27.956,6.766,-0.571,0.374,0.467
1572999747996,2019-11-05T16:22:27.996,6.806,-0.523,0.455,0.485
1572999748037,2019-11-05T16:22:28.037,6.847,-0.562,0.609,0.505
1572999748076,2019-11-05T16:22:28.076,6.886,-0.630,0.742,0.470
1572999748116,2019-11-05T16:22:28.116,6.926,-0.644,0.783,0.444
1572999748155,2019-11-05T16:22:28.155,6.965,-0.554,0.786,0.438
1572999748195,2019-11-05T16:22:28.195,7.005,-0.502,0.863,0.435
1572999748234,2019-11-05T16:22:28.234,7.044,-0.504,0.847,0.424
1572999748275,2019-11-05T16:22:28.275,7.085,-0.497,0.715,0.406
1572999748315,2019-11-05T16:22:28.315,7.125,-0.506,0.607,0.430
1572999748355,2019-11-05T16:22:28.355,7.165,-0.537,0.536,0.464
1572999748394,2019-11-05T16:22:28.394,7.204,-0.570,0.410,0.441
1572999748434,2019-11-05T16:22:28.434,7.244,-0.620,0.425,0.398
1572999748473,2019-11-05T16:22:28.473,7.283,-0.683,0.600,0.294
1572999748514,2019-11-05T16:22:28.514,7.324,-0.740,0.680,0.257
1572999748554,2019-11-05T16:22:28.554,7.364,-0.735,0.620,0.244
1572999748593,2019-11-05T16:22:28.593,7.403,-0.690,0.675,0.146
1572999748633,2019-11-05T16:22:28.633,7.443,-0.660,0.932,-0.155
1572999748672,2019-11-05T16:22:28.672,7.482,-0.581,1.173,-0.232
