epoch (ms),time (-08:00),elapsed (s),X-Axis (°/s),Y-Axis (°/s),Z-Axis (°/s)
1572999741111,2019-11-05T16:22:21.111,0.000,-2.683,0.366,0.732
1572999741150,2019-11-05T16:22:21.150,0.039,-1.768,0.671,0.976
1572999741190,2019-11-05T16:22:21.190,0.079,0.488,0.671,1.402
1572999741230,2019-11-05T16:22:21.230,0.119,-1.768,-0.244,1.037
1572999741271,2019-11-05T16:22:21.271,0.160,-2.317,-0.183,0.366
1572999741310,2019-11-05T16:22:21.310,0.199,-0.488,0.183,0.183
1572999741350,2019-11-05T16:22:21.350,0.239,-1.341,0.610,-0.366
1572999741389,2019-11-05T16:22:21.389,0.278,-2.683,0.061,-0.854
1572999741429,2019-11-05T16:22:21.429,0.318,-1.037,0.244,-0.915
1572999741468,2019-11-05T16:22:21.468,0.357,-1.159,0.549,-1.098
1572999741509,2019-11-05T16:22:21.509,0.398,-2.500,-0.122,-1.280
1572999741549,2019-11-05T16:22:21.549,0.438,-0.061,-0.183,-0.305
1572999741588,2019-11-05T16:22:21.588,0.477,-0.488,0.061,0.183
1572999741628,2019-11-05T16:22:21.628,0.517,-3.232,-0.549,0.366
1572999741668,2019-11-05T16:22:21.668,0.557,-1.098,-0.427,0.305
1572999741707,2019-11-05T16:22:21.707,0.596,0.122,-0.122,0.366
1572999741748,2019-11-05T16:22:21.748,0.637,-3.232,-0.549,0.244
1572999741788,2019-11-05T16:22:21.788,0.677,-2.500,-0.061,0.610
1572999741827,2019-11-05T16:22:21.827,0.716,-0.976,0.488,0.549
1572999741867,2019-11-05T16:22:21.867,0.756,-2.622,0.366,-0.366
1572999741906,2019-11-05T16:22:21.906,0.795,-2.317,0.610,0.061
1572999741946,2019-11-05T16:22:21.946,0.835,-1.280,0.366,0.427
1572999741987,2019-11-05T16:22:21.987,0.876,-2.622,0.122,-0.183
1572999742026,2019-11-05T16:22:22.026,0.915,-2.073,0.671,-0.244
1572999742066,2019-11-05T16:22:22.066,0.955,-0.793,1.341,-0.244
1572999742106,2019-11-05T16:22:22.106,0.995,-1.341,0.427,-0.183
1572999742145,2019-11-05T16:22:22.145,1.034,-1.524,0.488,-0.793
1572999742186,2019-11-05T16:22:22.186,1.075,-1.037,0.427,-0.793
1572999742226,2019-11-05T16:22:22.226,1.115,-1.585,-0.366,-0.244
1572999742265,2019-11-05T16:22:22.265,1.154,-2.012,0.305,-0.610
1572999742305,2019-11-05T16:22:22.305,1.194,-2.866,0.305,-1.098
1572999742344,2019-11-05T16:22:22.344,1.233,-2.134,0.000,-0.793
1572999742384,2019-11-05T16:22:22.384,1.273,-1.341,-0.427,-0.244
1572999742425,2019-11-05T16:22:22.425,1.314,-1.707,-0.610,-0.183
1572999742464,2019-11-05T16:22:22.464,1.353,-1.951,-0.061,-0.305
1572999742504,2019-11-05T16:22:22.504,1.393,-1.768,-0.610,0.000
1572999742544,2019-11-05T16:22:22.544,1.433,-1.463,-0.366,-0.305
1572999742583,2019-11-05T16:22:22.583,1.472,-0.915,0.244,-0.305
1572999742623,2019-11-05T16:22:22.623,1.512,-0.549,-0.122,0.305
1572999742664,2019-11-05T16:22:22.664,1.553,-0.671,0.122,-0.549
1572999742703,2019-11-05T16:22:22.703,1.592,-2.134,-1.098,-0.793
1572999742743,2019-11-05T16:22:22.743,1.632,0.061,-1.220,-0.244
1572999742782,2019-11-05T16:22:22.782,1.671,1.280,-1.402,0.427
1572999742822,2019-11-05T16:22:22.822,1.711,-0.488,-2.134,1.159
1572999742863,2019-11-05T16:22:22.863,1.752,-2.683,-1.646,1.463
