epoch (ms),time (-08:00),elapsed (s),X-Axis (g),Y-Axis (g),Z-Axis (g)
1573017003387,2019-11-05T21:10:03.387,0.000,0.010,1.156,-0.445
1573017003426,2019-11-05T21:10:03.426,0.039,-0.099,0.970,-0.418
1573017003466,2019-11-05T21:10:03.466,0.079,-0.098,0.879,-0.388
1573017003507,2019-11-05T21:10:03.507,0.120,-0.125,0.814,-0.364
1573017003545,2019-11-05T21:10:03.545,0.158,0.001,1.011,-0.342
1573017003586,2019-11-05T21:10:03.586,0.199,0.146,1.213,-0.339
1573017003625,2019-11-05T21:10:03.625,0.238,0.047,1.183,-0.324
1573017003665,2019-11-05T21:10:03.665,0.278,-0.031,1.129,-0.318
1573017003705,2019-11-05T21:10:03.705,0.318,-0.784,1.416,0.570
1573017003744,2019-11-05T21:10:03.744,0.357,-0.125,0.736,0.345
1573017003784,2019-11-05T21:10:03.784,0.397,0.065,0.827,-0.288
1573017003825,2019-11-05T21:10:03.825,0.438,-0.327,0.957,0.314
1573017003864,2019-11-05T21:10:03.864,0.477,-0.343,1.098,0.388
1573017003904,2019-11-05T21:10:03.904,0.517,-0.150,1.542,0.226
1573017003943,2019-11-05T21:10:03.943,0.556,-0.336,0.906,0.227
1573017003983,2019-11-05T21:10:03.983,0.596,-0.241,0.669,0.474
1573017004022,2019-11-05T21:10:04.022,0.635,-0.264,0.829,0.491
1573017004063,2019-11-05T21:10:04.063,0.676,-0.275,0.600,0.467
1573017004103,2019-11-05T21:10:04.103,0.716,-0.399,0.890,0.361
1573017004143,2019-11-05T21:10:04.143,0.756,-0.558,0.869,-0.070
1573017004182,2019-11-05T21:10:04.182,0.795,-0.564,0.796,-0.007
1573017004222,2019-11-05T21:10:04.222,0.835,-0.402,0.914,0.247
1573017004261,2019-11-05T21:10:04.261,0.874,-0.396,0.946,0.201
1573017004302,2019-11-05T21:10:04.302,0.915,-0.493,0.834,0.000
1573017004342,2019-11-05T21:10:04.342,0.955,-0.493,0.868,0.001
1573017004381,2019-11-05T21:10:04.381,0.994,-0.459,0.889,0.044
1573017004421,2019-11-05T21:10:04.421,1.034,-0.496,0.931,-0.027
1573017004460,2019-11-05T21:10:04.460,1.073,-0.480,0.865,-0.036
1573017004501,2019-11-05T21:10:04.501,1.114,-0.481,0.868,-0.021
1573017004541,2019-11-05T21:10:04.541,1.154,-0.462,0.849,-0.002
1573017004581,2019-11-05T21:10:04.581,1.194,-0.469,0.873,-0.070
1573017004620,2019-11-05T21:10:04.620,1.233,-0.487,0.893,-0.130
1573017004660,2019-11-05T21:10:04.660,1.273,-0.501,0.891,-0.163
1573017004699,2019-11-05T21:10:04.699,1.312,-0.480,0.866,-0.155
1573017004740,2019-11-05T21:10:04.740,1.353,-0.463,0.862,-0.142
1573017004780,2019-11-05T21:10:04.780,1.393,-0.471,0.855,-0.194
1573017004819,2019-11-05T21:10:04.819,1.432,-0.493,0.867,-0.294
1573017004859,2019-11-05T21:10:04.859,1.472,-0.482,0.875,-0.281
1573017004898,2019-11-05T21:10:04.898,1.511,-0.458,0.867,-0.210
1573017004938,2019-11-05T21:10:04.938,1.551,-0.463,0.862,-0.227
1573017004979,2019-11-05T21:10:04.979,1.592,-0.471,0.862,-0.257
1573017005019,2019-11-05T21:10:05.019,1.632,-0.462,0.869,-0.239
1573017005058,2019-11-05T21:10:05.058,1.671,-0.465,0.868,-0.254
1573017005098,2019-11-05T21:10:05.098,1.711,-0.464,0.862,-0.237
1573017005137,2019-11-05T21:10:05.137,1.750,-0.460,0.863,-0.213
1573017005177,2019-11-05T21:10:05.177,1.790,-0.463,0.867,-0.243
1573017005218,2019-11-05T21:10:05.218,1.831,-0.467,0.868,-0.258
1573017005257,2019-11-05T21:10:05.257,1.870,-0.462,0.865,-0.234
1573017005297,2019-11-05T21:10:05.297,1.910,-0.463,0.862,-0.231
1573017005338,2019-11-05T21:10:05.338,1.951,-0.464,0.864,-0.242
1573017005376,2019-11-05T21:10:05.376,1.989,-0.463,0.868,-0.240
1573017005416,2019-11-05T21:10:05.416,2.029,-0.463,0.867,-0.242
1573017005458,2019-11-05T21:10:05.458,2.071,-0.464,0.864,-0.244
1573017005496,2019-11-05T21:10:05.496,2.109,-0.461,0.865,-0.232
1573017005536,2019-11-05T21:10:05.536,2.149,-0.462,0.865,-0.235
1573017005577,2019-11-05T21:10:05.577,2.190,-0.467,0.865,-0.250
1573017005615,2019-11-05T21:10:05.615,2.228,-0.465,0.865,-0.243
1573017005654,2019-11-05T21:10:05.654,2.267,-0.461,0.866,-0.231
1573017005695,2019-11-05T21:10:05.695,2.308,-0.463,0.865,-0.235
1573017005735,2019-11-05T21:10:05.735,2.348,-0.466,0.865,-0.245
1573017005774,2019-11-05T21:10:05.774,2.387,-0.463,0.865,-0.244
1573017005814,2019-11-05T21:10:05.814,2.427,-0.464,0.866,-0.237
1573017005853,2019-11-05T21:10:05.853,2.466,-0.461,0.866,-0.235
1573017005893,2019-11-05T21:10:05.893,2.506,-0.462,0.865,-0.240
1573017005934,2019-11-05T21:10:05.934,2.547,-0.465,0.865,-0.247
1573017005974,2019-11-05T21:10:05.974,2.587,-0.464,0.865,-0.243
1573017006013,2019-11-05T21:10:06.013,2.626,-0.460,0.865,-0.237
1573017006053,2019-11-05T21:10:06.053,2.666,-0.462,0.864,-0.240
1573017006092,2019-11-05T21:10:06.092,2.705,-0.463,0.865,-0.244
1573017006133,2019-11-05T21:10:06.133,2.746,-0.463,0.864,-0.243
1573017006173,2019-11-05T21:10:06.173,2.786,-0.462,0.865,-0.240
1573017006212,2019-11-05T21:10:06.212,2.825,-0.461,0.866,-0.238
1573017006252,2019-11-05T21:10:06.252,2.865,-0.462,0.865,-0.240
1573017006291,2019-11-05T21:10:06.291,2.904,-0.463,0.866,-0.243
1573017006331,2019-11-05T21:10:06.331,2.944,-0.464,0.866,-0.241
1573017006372,2019-11-05T21:10:06.372,2.985,-0.463,0.865,-0.242
1573017006412,2019-11-05T21:10:06.412,3.025,-0.463,0.866,-0.242
1573017006451,2019-11-05T21:10:06.451,3.064,-0.464,0.865,-0.240
1573017006491,2019-11-05T21:10:06.491,3.104,-0.462,0.865,-0.241
1573017006530,2019-11-05T21:10:06.530,3.143,-0.462,0.865,-0.241
1573017006570,2019-11-05T21:10:06.570,3.183,-0.464,0.865,-0.239
1573017006611,2019-11-05T21:10:06.611,3.224,-0.463,0.865,-0.240
1573017006650,2019-11-05T21:10:06.650,3.263,-0.464,0.866,-0.241
1573017006690,2019-11-05T21:10:06.690,3.303,-0.462,0.865,-0.244
1573017006729,2019-11-05T21:10:06.729,3.342,-0.462,0.866,-0.241
1573017006769,2019-11-05T21:10:06.769,3.382,-0.463,0.866,-0.240
1573017006809,2019-11-05T21:10:06.809,3.422,-0.463,0.866,-0.242
1573017006850,2019-11-05T21:10:06.850,3.463,-0.462,0.867,-0.241
1573017006889,2019-11-05T21:10:06.889,3.502,-0.463,0.866,-0.242
1573017006929,2019-11-05T21:10:06.929,3.542,-0.464,0.865,-0.240
1573017006968,2019-11-05T21:10:06.968,3.581,-0.464,0.866,-0.242
1573017007008,2019-11-05T21:10:07.008,3.621,-0.463,0.866,-0.240
1573017007047,2019-11-05T21:10:07.047,3.660,-0.463,0.865,-0.241
1573017007088,2019-11-05T21:10:07.088,3.701,-0.463,0.864,-0.242
1573017007128,2019-11-05T21:10:07.128,3.741,-0.463,0.865,-0.242
1573017007167,2019-11-05T21:10:07.167,3.780,-0.464,0.865,-0.243
1573017007207,2019-11-05T21:10:07.207,3.820,-0.462,0.866,-0.242
1573017007247,2019-11-05T21:10:07.247,3.860,-0.463,0.865,-0.244
1573017007286,2019-11-05T21:10:07.286,3.899,-0.462,0.865,-0.242
1573017007327,2019-11-05T21:10:07.327,3.940,-0.463,0.865,-0.240
1573017007367,2019-11-05T21:10:07.367,3.980,-0.462,0.866,-0.241
1573017007406,2019-11-05T21:10:07.406,4.019,-0.462,0.865,-0.243
1573017007446,2019-11-05T21:10:07.446,4.059,-0.463,0.866,-0.241
1573017007485,2019-11-05T21:10:07.485,4.098,-0.463,0.866,-0.241
1573017007525,2019-11-05T21:10:07.525,4.138,-0.462,0.866,-0.243
1573017007566,2019-11-05T21:10:07.566,4.179,-0.462,0.864,-0.243
1573017007605,2019-11-05T21:10:07.605,4.218,-0.464,0.864,-0.243
1573017007645,2019-11-05T21:10:07.645,4.258,-0.464,0.866,-0.242
1573017007685,2019-11-05T21:10:07.685,4.298,-0.464,0.865,-0.243
1573017007724,2019-11-05T21:10:07.724,4.337,-0.463,0.865,-0.243
1573017007764,2019-11-05T21:10:07.764,4.377,-0.462,0.865,-0.242
1573017007805,2019-11-05T21:10:07.805,4.418,-0.463,0.864,-0.241
1573017007844,2019-11-05T21:10:07.844,4.457,-0.461,0.865,-0.241
1573017007884,2019-11-05T21:10:07.884,4.497,-0.462,0.864,-0.242
1573017007923,2019-11-05T21:10:07.923,4.536,-0.463,0.865,-0.243
1573017007963,2019-11-05T21:10:07.963,4.576,-0.462,0.865,-0.242
1573017008004,2019-11-05T21:10:08.004,4.617,-0.463,0.865,-0.242
1573017008043,2019-11-05T21:10:08.043,4.656,-0.461,0.865,-0.242
1573017008083,2019-11-05T21:10:08.083,4.696,-0.462,0.865,-0.241
1573017008123,2019-11-05T21:10:08.123,4.736,-0.463,0.865,-0.242
1573017008162,2019-11-05T21:10:08.162,4.775,-0.462,0.865,-0.243
1573017008202,2019-11-05T21:10:08.202,4.815,-0.463,0.866,-0.243
1573017008243,2019-11-05T21:10:08.243,4.856,-0.461,0.866,-0.242
1573017008282,2019-11-05T21:10:08.282,4.895,-0.462,0.863,-0.243
1573017008322,2019-11-05T21:10:08.322,4.935,-0.463,0.865,-0.242
1573017008361,2019-11-05T21:10:08.361,4.974,-0.463,0.866,-0.244
1573017008401,2019-11-05T21:10:08.401,5.014,-0.463,0.865,-0.243
1573017008440,2019-11-05T21:10:08.440,5.053,-0.462,0.866,-0.241
1573017008481,2019-11-05T21:10:08.481,5.094,-0.463,0.865,-0.242
1573017008521,2019-11-05T21:10:08.521,5.134,-0.462,0.865,-0.241
1573017008561,2019-11-05T21:10:08.561,5.174,-0.463,0.865,-0.243
1573017008600,2019-11-05T21:10:08.600,5.213,-0.463,0.865,-0.243
1573017008640,2019-11-05T21:10:08.640,5.253,-0.461,0.866,-0.243
1573017008679,2019-11-05T21:10:08.679,5.292,-0.462,0.865,-0.243
1573017008720,2019-11-05T21:10:08.720,5.333,-0.463,0.865,-0.242
1573017008760,2019-11-05T21:10:08.760,5.373,-0.462,0.865,-0.243
1573017008799,2019-11-05T21:10:08.799,5.412,-0.462,0.865,-0.242
1573017008839,2019-11-05T21:10:08.839,5.452,-0.463,0.865,-0.241
1573017008878,2019-11-05T21:10:08.878,5.491,-0.463,0.866,-0.244
1573017008918,2019-11-05T21:10:08.918,5.531,-0.462,0.865,-0.242
1573017008959,2019-11-05T21:10:08.959,5.572,-0.461,0.865,-0.240
1573017008999,2019-11-05T21:10:08.999,5.612,-0.463,0.865,-0.242
1573017009038,2019-11-05T21:10:09.038,5.651,-0.463,0.865,-0.243
1573017009078,2019-11-05T21:10:09.078,5.691,-0.462,0.865,-0.241
1573017009117,2019-11-05T21:10:09.117,5.730,-0.462,0.864,-0.242
1573017009157,2019-11-05T21:10:09.157,5.770,-0.462,0.864,-0.241
1573017009198,2019-11-05T21:10:09.198,5.811,-0.462,0.865,-0.243
1573017009237,2019-11-05T21:10:09.237,5.850,-0.463,0.865,-0.244
