epoch (ms),time (-08:00),elapsed (s),X-Axis (g),Y-Axis (g),Z-Axis (g)
1572999938218,2019-11-05T16:25:38.218,0.000,-0.452,-0.249,0.775
1572999938258,2019-11-05T16:25:38.258,0.040,-0.454,-0.263,0.780
1572999938297,2019-11-05T16:25:38.297,0.079,-0.457,-0.258,0.792
1572999938338,2019-11-05T16:25:38.338,0.120,-0.453,-0.247,0.793
1572999938378,2019-11-05T16:25:38.378,0.160,-0.453,-0.245,0.791
1572999938417,2019-11-05T16:25:38.417,0.199,-0.455,-0.250,0.780
1572999938457,2019-11-05T16:25:38.457,0.239,-0.452,-0.246,0.780
1572999938496,2019-11-05T16:25:38.496,0.278,-0.448,-0.235,0.779
1572999938536,2019-11-05T16:25:38.536,0.318,-0.441,-0.248,0.782
1572999938576,2019-11-05T16:25:38.576,0.358,-0.439,-0.229,0.784
1572999938617,2019-11-05T16:25:38.617,0.399,-0.446,-0.243,0.787
1572999938656,2019-11-05T16:25:38.656,0.438,-0.446,-0.242,0.791
1572999938696,2019-11-05T16:25:38.696,0.478,-0.446,-0.240,0.784
1572999938735,2019-11-05T16:25:38.735,0.517,-0.449,-0.260,0.786
1572999938775,2019-11-05T16:25:38.775,0.557,-0.440,-0.266,0.785
1572999938816,2019-11-05T16:25:38.816,0.598,-0.437,-0.255,0.785
1572999938855,2019-11-05T16:25:38.855,0.637,-0.444,-0.253,0.800
1572999938895,2019-11-05T16:25:38.895,0.677,-0.446,-0.255,0.799
1572999938934,2019-11-05T16:25:38.934,0.716,-0.442,-0.248,0.796
1572999938974,2019-11-05T16:25:38.974,0.756,-0.439,-0.254,0.795
1572999939014,2019-11-05T16:25:39.014,0.796,-0.435,-0.244,0.788
1572999939055,2019-11-05T16:25:39.055,0.837,-0.431,-0.247,0.790
1572999939094,2019-11-05T16:25:39.094,0.876,-0.431,-0.251,0.784
1572999939134,2019-11-05T16:25:39.134,0.916,-0.428,-0.249,0.778
1572999939173,2019-11-05T16:25:39.173,0.955,-0.433,-0.242,0.781
1572999939213,2019-11-05T16:25:39.213,0.995,-0.440,-0.250,0.784
1572999939252,2019-11-05T16:25:39.252,1.034,-0.442,-0.253,0.782
1572999939293,2019-11-05T16:25:39.293,1.075,-0.433,-0.247,0.783
1572999939333,2019-11-05T16:25:39.333,1.115,-0.434,-0.242,0.791
1572999939372,2019-11-05T16:25:39.372,1.154,-0.437,-0.247,0.790
1572999939412,2019-11-05T16:25:39.412,1.194,-0.433,-0.250,0.796
1572999939452,2019-11-05T16:25:39.452,1.234,-0.430,-0.244,0.794
1572999939491,2019-11-05T16:25:39.491,1.273,-0.431,-0.234,0.794
