epoch (ms),time (-08:00),elapsed (s),X-Axis (°/s),Y-Axis (°/s),Z-Axis (°/s)
1572999938179,2019-11-05T16:25:38.179,0.000,2.500,1.159,-4.756
1572999938218,2019-11-05T16:25:38.218,0.039,2.683,1.280,-4.878
1572999938258,2019-11-05T16:25:38.258,0.079,2.744,1.159,-4.695
1572999938297,2019-11-05T16:25:38.297,0.118,4.512,0.427,-4.573
1572999938338,2019-11-05T16:25:38.338,0.159,5.366,-0.305,-4.146
1572999938378,2019-11-05T16:25:38.378,0.199,3.963,-0.488,-4.024
1572999938417,2019-11-05T16:25:38.417,0.238,2.561,-0.549,-4.878
1572999938457,2019-11-05T16:25:38.457,0.278,3.598,-0.732,-4.573
1572999938496,2019-11-05T16:25:38.496,0.317,3.720,-0.915,-3.598
1572999938536,2019-11-05T16:25:38.536,0.357,2.988,-1.402,-3.293
1572999938577,2019-11-05T16:25:38.577,0.398,3.902,0.061,-3.476
1572999938617,2019-11-05T16:25:38.617,0.438,0.488,1.402,-3.598
1572999938656,2019-11-05T16:25:38.656,0.477,-0.427,0.854,-3.232
1572999938696,2019-11-05T16:25:38.696,0.517,-1.829,1.159,-2.805
1572999938735,2019-11-05T16:25:38.735,0.556,-3.415,1.098,-2.317
1572999938775,2019-11-05T16:25:38.775,0.596,-1.463,-0.061,-2.195
1572999938816,2019-11-05T16:25:38.816,0.637,0.183,-0.610,-1.707
1572999938855,2019-11-05T16:25:38.855,0.676,0.061,0.305,-1.890
1572999938895,2019-11-05T16:25:38.895,0.716,-0.732,0.244,-2.439
1572999938934,2019-11-05T16:25:38.934,0.755,-0.854,-1.037,-1.890
1572999938974,2019-11-05T16:25:38.974,0.795,-1.220,-2.195,-1.159
1572999939015,2019-11-05T16:25:39.015,0.836,-0.366,-2.195,-0.915
1572999939055,2019-11-05T16:25:39.055,0.876,-1.463,-1.890,-0.793
1572999939094,2019-11-05T16:25:39.094,0.915,-1.890,-1.402,-1.037
1572999939134,2019-11-05T16:25:39.134,0.955,-0.671,-0.915,-0.915
1572999939173,2019-11-05T16:25:39.173,0.994,-1.037,-0.549,-0.488
1572999939213,2019-11-05T16:25:39.213,1.034,-1.707,0.000,-0.732
1572999939252,2019-11-05T16:25:39.252,1.073,-0.122,-0.244,-0.244
1572999939293,2019-11-05T16:25:39.293,1.114,1.524,-0.671,0.305
1572999939333,2019-11-05T16:25:39.333,1.154,0.610,-0.671,0.427
1572999939372,2019-11-05T16:25:39.372,1.193,-1.159,-0.427,0.122
1572999939412,2019-11-05T16:25:39.412,1.233,-0.427,-0.976,0.000
1572999939452,2019-11-05T16:25:39.452,1.273,1.098,-1.402,0.183
1572999939493,2019-11-05T16:25:39.493,1.314,0.671,-0.793,0.610
1572999939532,2019-11-05T16:25:39.532,1.353,-1.341,0.488,0.183
