epoch (ms),time (-08:00),elapsed (s),X-Axis (g),Y-Axis (g),Z-Axis (g)
1573000798872,2019-11-05T16:39:58.872,0.000,0.209,0.753,0.724
1573000798912,2019-11-05T16:39:58.912,0.040,0.220,0.644,0.705
1573000798952,2019-11-05T16:39:58.952,0.080,0.258,0.648,0.691
1573000798991,2019-11-05T16:39:58.991,0.119,0.240,0.753,0.656
1573000799031,2019-11-05T16:39:59.031,0.159,0.234,0.768,0.645
1573000799072,2019-11-05T16:39:59.072,0.200,0.264,0.730,0.647
1573000799111,2019-11-05T16:39:59.111,0.239,0.248,0.744,0.663
1573000799151,2019-11-05T16:39:59.151,0.279,0.180,0.771,0.694
1573000799190,2019-11-05T16:39:59.190,0.318,0.219,0.759,0.712
1573000799230,2019-11-05T16:39:59.230,0.358,0.198,0.797,0.733
1573000799269,2019-11-05T16:39:59.269,0.397,0.162,0.730,0.711
1573000799310,2019-11-05T16:39:59.310,0.438,0.214,0.627,0.686
1573000799350,2019-11-05T16:39:59.350,0.478,0.244,0.684,0.674
1573000799390,2019-11-05T16:39:59.390,0.518,0.258,0.720,0.664
1573000799429,2019-11-05T16:39:59.429,0.557,0.312,0.691,0.661
1573000799469,2019-11-05T16:39:59.469,0.597,0.367,0.736,0.670
1573000799508,2019-11-05T16:39:59.508,0.636,0.371,0.881,0.665
1573000799549,2019-11-05T16:39:59.549,0.677,0.388,0.910,0.591
1573000799589,2019-11-05T16:39:59.589,0.717,0.486,0.848,0.505
1573000799628,2019-11-05T16:39:59.628,0.756,0.504,0.888,0.445
1573000799668,2019-11-05T16:39:59.668,0.796,0.427,0.960,0.438
1573000799707,2019-11-05T16:39:59.707,0.835,0.331,0.947,0.437
1573000799747,2019-11-05T16:39:59.747,0.875,0.332,0.897,0.462
1573000799788,2019-11-05T16:39:59.788,0.916,0.285,0.900,0.480
1573000799828,2019-11-05T16:39:59.828,0.956,0.304,0.904,0.543
1573000799867,2019-11-05T16:39:59.867,0.995,0.417,0.876,0.653
1573000799907,2019-11-05T16:39:59.907,1.035,0.435,0.880,0.788
1573000799946,2019-11-05T16:39:59.946,1.074,0.295,0.656,0.919
1573000799986,2019-11-05T16:39:59.986,1.114,0.332,0.438,1.013
1573000800027,2019-11-05T16:40:00.027,1.155,0.117,0.632,0.894
1573000800066,2019-11-05T16:40:00.066,1.194,-0.238,0.775,0.864
1573000800106,2019-11-05T16:40:00.106,1.234,-0.216,0.536,0.857
1573000800145,2019-11-05T16:40:00.145,1.273,0.021,0.324,0.765
1573000800185,2019-11-05T16:40:00.185,1.313,0.119,0.362,0.694
1573000800225,2019-11-05T16:40:00.225,1.353,0.169,0.363,0.607
1573000800266,2019-11-05T16:40:00.266,1.394,0.361,0.286,0.630
1573000800305,2019-11-05T16:40:00.305,1.433,0.538,0.565,0.718
1573000800345,2019-11-05T16:40:00.345,1.473,0.401,0.990,0.851
1573000800384,2019-11-05T16:40:00.384,1.512,0.255,1.021,0.834
1573000800424,2019-11-05T16:40:00.424,1.552,0.313,0.747,0.841
1573000800465,2019-11-05T16:40:00.465,1.593,0.485,0.500,0.741
1573000800504,2019-11-05T16:40:00.504,1.632,0.571,0.490,0.631
1573000800544,2019-11-05T16:40:00.544,1.672,0.572,0.545,0.534
1573000800583,2019-11-05T16:40:00.583,1.711,0.576,0.549,0.415
1573000800623,2019-11-05T16:40:00.623,1.751,0.613,0.538,0.475
1573000800663,2019-11-05T16:40:00.663,1.791,0.849,0.800,0.587
1573000800704,2019-11-05T16:40:00.704,1.832,0.710,0.696,0.855
1573000800743,2019-11-05T16:40:00.743,1.871,0.788,0.692,0.916
1573000800783,2019-11-05T16:40:00.783,1.911,0.600,0.833,0.877
1573000800822,2019-11-05T16:40:00.822,1.950,0.507,0.628,0.758
1573000800862,2019-11-05T16:40:00.862,1.990,0.356,0.426,0.581
1573000800901,2019-11-05T16:40:00.901,2.029,0.238,0.355,0.611
1573000800942,2019-11-05T16:40:00.942,2.070,0.266,0.484,0.690
1573000800982,2019-11-05T16:40:00.982,2.110,0.297,0.672,0.742
1573000801021,2019-11-05T16:40:01.021,2.149,0.381,0.664,0.743
1573000801061,2019-11-05T16:40:01.061,2.189,0.486,0.622,0.681
1573000801102,2019-11-05T16:40:01.102,2.230,0.506,0.663,0.646
1573000801140,2019-11-05T16:40:01.140,2.268,0.530,0.704,0.637
1573000801181,2019-11-05T16:40:01.181,2.309,0.591,0.697,0.632
1573000801221,2019-11-05T16:40:01.221,2.349,0.598,0.720,0.620
1573000801260,2019-11-05T16:40:01.260,2.388,0.529,0.797,0.617
1573000801300,2019-11-05T16:40:01.300,2.428,0.507,0.815,0.625
1573000801339,2019-11-05T16:40:01.339,2.467,0.467,0.749,0.618
1573000801379,2019-11-05T16:40:01.379,2.507,0.485,0.666,0.620
1573000801420,2019-11-05T16:40:01.420,2.548,0.455,0.722,0.666
1573000801459,2019-11-05T16:40:01.459,2.587,0.435,0.766,0.698
1573000801499,2019-11-05T16:40:01.499,2.627,0.479,0.716,0.684
1573000801539,2019-11-05T16:40:01.539,2.667,0.455,0.668,0.635
1573000801578,2019-11-05T16:40:01.578,2.706,0.460,0.655,0.569
1573000801618,2019-11-05T16:40:01.618,2.746,0.459,0.702,0.533
1573000801659,2019-11-05T16:40:01.659,2.787,0.438,0.686,0.532
1573000801698,2019-11-05T16:40:01.698,2.826,0.416,0.685,0.587
1573000801738,2019-11-05T16:40:01.738,2.866,0.359,0.721,0.649
1573000801777,2019-11-05T16:40:01.777,2.905,0.346,0.764,0.691
1573000801817,2019-11-05T16:40:01.817,2.945,0.338,0.827,0.681
1573000801858,2019-11-05T16:40:01.858,2.986,0.371,0.746,0.639
1573000801897,2019-11-05T16:40:01.897,3.025,0.399,0.732,0.575
1573000801937,2019-11-05T16:40:01.937,3.065,0.437,0.780,0.539
1573000801976,2019-11-05T16:40:01.976,3.104,0.438,0.792,0.545
1573000802016,2019-11-05T16:40:02.016,3.144,0.418,0.815,0.565
1573000802056,2019-11-05T16:40:02.056,3.184,0.391,0.813,0.601
1573000802097,2019-11-05T16:40:02.097,3.225,0.270,1.051,0.777
1573000802136,2019-11-05T16:40:02.136,3.264,0.524,0.670,0.610
1573000802176,2019-11-05T16:40:02.176,3.304,0.586,0.586,0.417
1573000802215,2019-11-05T16:40:02.215,3.343,0.529,0.707,0.485
1573000802255,2019-11-05T16:40:02.255,3.383,0.455,0.784,0.575
1573000802296,2019-11-05T16:40:02.296,3.424,0.385,0.830,0.648
1573000802335,2019-11-05T16:40:02.335,3.463,0.400,0.806,0.660
1573000802375,2019-11-05T16:40:02.375,3.503,0.344,0.889,0.662
1573000802414,2019-11-05T16:40:02.414,3.542,0.236,0.876,0.672
1573000802454,2019-11-05T16:40:02.454,3.582,0.258,0.585,0.690
1573000802494,2019-11-05T16:40:02.494,3.622,0.213,0.568,0.702
1573000802533,2019-11-05T16:40:02.533,3.661,0.196,0.702,0.702
1573000802574,2019-11-05T16:40:02.574,3.702,0.262,0.700,0.670
1573000802614,2019-11-05T16:40:02.614,3.742,0.293,0.717,0.669
1573000802653,2019-11-05T16:40:02.653,3.781,0.279,0.717,0.729
1573000802693,2019-11-05T16:40:02.693,3.821,0.284,0.678,0.736
1573000802732,2019-11-05T16:40:02.732,3.860,0.301,0.708,0.720
1573000802772,2019-11-05T16:40:02.772,3.900,0.322,0.683,0.729
1573000802813,2019-11-05T16:40:02.813,3.941,0.314,0.690,0.733
1573000802852,2019-11-05T16:40:02.852,3.980,0.313,0.704,0.730
1573000802892,2019-11-05T16:40:02.892,4.020,0.327,0.662,0.729
1573000802932,2019-11-05T16:40:02.932,4.060,0.308,0.647,0.738
1573000802971,2019-11-05T16:40:02.971,4.099,0.302,0.625,0.738
1573000803011,2019-11-05T16:40:03.011,4.139,0.290,0.663,0.747
1573000803052,2019-11-05T16:40:03.052,4.180,0.293,0.677,0.754
1573000803091,2019-11-05T16:40:03.091,4.219,0.302,0.646,0.757
1573000803131,2019-11-05T16:40:03.131,4.259,0.308,0.646,0.769
1573000803170,2019-11-05T16:40:03.170,4.298,0.305,0.681,0.775
1573000803210,2019-11-05T16:40:03.210,4.338,0.309,0.652,0.762
1573000803251,2019-11-05T16:40:03.251,4.379,0.294,0.647,0.761
