epoch (ms),time (-08:00),elapsed (s),X-Axis (°/s),Y-Axis (°/s),Z-Axis (°/s)
1573000798792,2019-11-05T16:39:58.792,0.000,-5.488,13.659,-1.220
1573000798831,2019-11-05T16:39:58.831,0.039,-7.744,13.049,-0.549
1573000798872,2019-11-05T16:39:58.872,0.080,-21.585,7.378,5.854
1573000798912,2019-11-05T16:39:58.912,0.120,-26.341,-1.280,11.829
1573000798952,2019-11-05T16:39:58.952,0.160,-3.415,-3.415,9.268
1573000798991,2019-11-05T16:39:58.991,0.199,16.646,-2.561,4.024
1573000799031,2019-11-05T16:39:59.031,0.239,11.951,-2.744,3.720
1573000799072,2019-11-05T16:39:59.072,0.280,5.427,-1.951,4.268
1573000799111,2019-11-05T16:39:59.111,0.319,5.915,2.622,2.134
1573000799151,2019-11-05T16:39:59.151,0.359,2.683,2.256,-0.488
1573000799190,2019-11-05T16:39:59.190,0.398,0.122,-3.110,-4.756
1573000799230,2019-11-05T16:39:59.230,0.438,0.610,-4.695,-7.683
1573000799269,2019-11-05T16:39:59.269,0.477,-12.744,-12.378,0.305
1573000799310,2019-11-05T16:39:59.310,0.518,-14.390,-18.293,8.537
1573000799350,2019-11-05T16:39:59.350,0.558,4.390,-15.427,1.159
1573000799390,2019-11-05T16:39:59.390,0.598,10.976,-11.220,-13.537
1573000799429,2019-11-05T16:39:59.429,0.637,6.159,-7.744,-18.720
1573000799469,2019-11-05T16:39:59.469,0.677,9.939,-0.671,-13.659
1573000799508,2019-11-05T16:39:59.508,0.716,16.768,8.963,-7.317
1573000799549,2019-11-05T16:39:59.549,0.757,11.280,11.585,-1.280
1573000799589,2019-11-05T16:39:59.589,0.797,14.878,12.195,4.085
1573000799628,2019-11-05T16:39:59.628,0.836,35.671,14.756,6.829
1573000799668,2019-11-05T16:39:59.668,0.876,39.634,12.195,12.378
1573000799707,2019-11-05T16:39:59.707,0.915,11.159,-0.549,21.890
1573000799748,2019-11-05T16:39:59.748,0.956,-19.207,-13.476,25.244
1573000799788,2019-11-05T16:39:59.788,0.996,-27.683,-19.390,11.159
1573000799828,2019-11-05T16:39:59.828,1.036,-34.390,-25.915,-8.780
1573000799867,2019-11-05T16:39:59.867,1.075,-35.671,-24.512,-33.902
1573000799907,2019-11-05T16:39:59.907,1.115,-29.085,-4.878,-65.061
1573000799946,2019-11-05T16:39:59.946,1.154,-41.646,17.866,-65.122
1573000799987,2019-11-05T16:39:59.987,1.195,-60.305,36.402,1.220
1573000800027,2019-11-05T16:40:00.027,1.235,-40.976,60.427,58.476
1573000800066,2019-11-05T16:40:00.066,1.274,-34.329,44.146,67.012
1573000800106,2019-11-05T16:40:00.106,1.314,-39.451,-1.524,60.732
1573000800145,2019-11-05T16:40:00.145,1.353,-20.305,-18.659,69.939
1573000800185,2019-11-05T16:40:00.185,1.393,1.829,-6.768,82.317
1573000800226,2019-11-05T16:40:00.226,1.434,-15.610,2.195,91.159
1573000800266,2019-11-05T16:40:00.266,1.474,-42.622,3.902,94.573
1573000800305,2019-11-05T16:40:00.305,1.513,-14.024,11.402,76.768
1573000800346,2019-11-05T16:40:00.346,1.554,23.720,22.866,35.671
1573000800384,2019-11-05T16:40:00.384,1.592,27.317,13.171,1.768
1573000800424,2019-11-05T16:40:00.424,1.632,40.305,-8.415,-7.134
1573000800465,2019-11-05T16:40:00.465,1.673,78.476,-19.756,-5.427
1573000800504,2019-11-05T16:40:00.504,1.712,88.963,-15.793,2.866
1573000800544,2019-11-05T16:40:00.544,1.752,52.927,-18.598,6.220
1573000800583,2019-11-05T16:40:00.583,1.791,-6.463,-33.537,6.524
1573000800623,2019-11-05T16:40:00.623,1.831,-46.220,-50.793,3.720
1573000800663,2019-11-05T16:40:00.663,1.871,-45.366,-57.866,-15.610
1573000800704,2019-11-05T16:40:00.704,1.912,-9.634,-42.134,-51.585
1573000800743,2019-11-05T16:40:00.743,1.951,4.939,-20.305,-18.110
1573000800783,2019-11-05T16:40:00.783,1.991,0.793,3.720,1.646
1573000800822,2019-11-05T16:40:00.822,2.030,-49.024,5.610,11.402
1573000800862,2019-11-05T16:40:00.862,2.070,-67.256,1.585,11.768
1573000800901,2019-11-05T16:40:00.901,2.109,-40.366,-7.683,0.000
1573000800942,2019-11-05T16:40:00.942,2.150,2.378,-19.085,-13.476
1573000800982,2019-11-05T16:40:00.982,2.190,30.427,-19.512,-24.695
1573000801021,2019-11-05T16:40:01.021,2.229,32.805,-12.927,-30.549
1573000801061,2019-11-05T16:40:01.061,2.269,30.366,-1.646,-31.159
1573000801102,2019-11-05T16:40:01.102,2.310,20.854,4.634,-32.256
1573000801142,2019-11-05T16:40:01.142,2.350,2.622,-0.061,-35.793
1573000801181,2019-11-05T16:40:01.181,2.389,-9.085,-5.671,-36.159
1573000801221,2019-11-05T16:40:01.221,2.429,1.280,-7.378,-28.780
1573000801260,2019-11-05T16:40:01.260,2.468,11.037,-12.622,-12.866
1573000801300,2019-11-05T16:40:01.300,2.508,4.695,-21.280,2.012
1573000801339,2019-11-05T16:40:01.339,2.547,-2.317,-25.366,3.963
1573000801380,2019-11-05T16:40:01.380,2.588,0.183,-24.512,-1.951
1573000801420,2019-11-05T16:40:01.420,2.628,6.951,-18.293,-5.366
1573000801459,2019-11-05T16:40:01.459,2.667,-8.354,-17.622,-6.280
1573000801499,2019-11-05T16:40:01.499,2.707,-28.293,-14.024,-7.134
1573000801539,2019-11-05T16:40:01.539,2.747,-26.220,-0.610,-7.500
1573000801578,2019-11-05T16:40:01.578,2.786,-15.488,11.707,-6.098
1573000801619,2019-11-05T16:40:01.619,2.827,-8.110,20.793,-8.963
1573000801659,2019-11-05T16:40:01.659,2.867,-7.561,21.280,-15.610
1573000801698,2019-11-05T16:40:01.698,2.906,1.341,17.256,-22.805
1573000801738,2019-11-05T16:40:01.738,2.946,14.146,9.207,-28.049
1573000801777,2019-11-05T16:40:01.777,2.985,26.829,-3.963,-27.012
1573000801817,2019-11-05T16:40:01.817,3.025,29.634,-15.183,-25.854
1573000801858,2019-11-05T16:40:01.858,3.066,14.207,-23.537,-26.159
1573000801897,2019-11-05T16:40:01.897,3.105,12.683,-22.866,-26.220
1573000801937,2019-11-05T16:40:01.937,3.145,6.768,-17.866,-27.256
1573000801976,2019-11-05T16:40:01.976,3.184,-0.366,-9.878,-32.927
1573000802016,2019-11-05T16:40:02.016,3.224,4.024,-1.524,-32.744
1573000802057,2019-11-05T16:40:02.057,3.265,13.476,2.134,-22.561
1573000802097,2019-11-05T16:40:02.097,3.305,3.780,-7.012,-9.817
1573000802136,2019-11-05T16:40:02.136,3.344,-40.366,-33.293,-4.756
1573000802176,2019-11-05T16:40:02.176,3.384,-12.439,-6.646,-2.195
1573000802215,2019-11-05T16:40:02.215,3.423,12.378,36.890,8.293
1573000802255,2019-11-05T16:40:02.255,3.463,15.793,58.354,16.341
1573000802296,2019-11-05T16:40:02.296,3.504,1.829,58.780,18.293
1573000802335,2019-11-05T16:40:02.335,3.543,-18.293,46.768,20.976
1573000802375,2019-11-05T16:40:02.375,3.583,-31.890,36.220,23.902
1573000802414,2019-11-05T16:40:02.414,3.622,-63.476,23.659,28.293
1573000802454,2019-11-05T16:40:02.454,3.662,-73.293,12.927,34.512
1573000802494,2019-11-05T16:40:02.494,3.702,-20.671,18.232,33.476
1573000802535,2019-11-05T16:40:02.535,3.743,11.524,20.671,25.549
1573000802574,2019-11-05T16:40:02.574,3.782,3.780,15.976,15.244
1573000802614,2019-11-05T16:40:02.614,3.822,7.439,18.476,11.768
1573000802653,2019-11-05T16:40:02.653,3.861,3.110,15.305,10.366
1573000802693,2019-11-05T16:40:02.693,3.901,-9.756,5.305,4.939
1573000802732,2019-11-05T16:40:02.732,3.940,-8.598,0.610,2.805
1573000802773,2019-11-05T16:40:02.773,3.981,-5.610,1.280,4.390
1573000802813,2019-11-05T16:40:02.813,4.021,-2.683,4.329,4.085
1573000802852,2019-11-05T16:40:02.852,4.060,-6.890,6.585,3.598
1573000802892,2019-11-05T16:40:02.892,4.100,-10.793,9.207,4.634
1573000802932,2019-11-05T16:40:02.932,4.140,-10.549,11.585,5.976
1573000802971,2019-11-05T16:40:02.971,4.179,-7.012,11.829,6.098
1573000803012,2019-11-05T16:40:03.012,4.220,0.061,11.220,4.878
1573000803052,2019-11-05T16:40:03.052,4.260,-0.122,8.049,3.659
1573000803091,2019-11-05T16:40:03.091,4.299,-0.549,5.244,3.841
1573000803131,2019-11-05T16:40:03.131,4.339,2.561,4.268,4.207
1573000803170,2019-11-05T16:40:03.170,4.378,0.244,4.146,4.573
1573000803210,2019-11-05T16:40:03.210,4.418,-6.524,3.902,5.427
1573000803251,2019-11-05T16:40:03.251,4.459,-7.683,5.122,5.732
1573000803290,2019-11-05T16:40:03.290,4.498,-11.524,4.878,4.817
1573000803330,2019-11-05T16:40:03.330,4.538,-13.293,5.000,3.415
1573000803370,2019-11-05T16:40:03.370,4.578,-9.939,6.402,1.951
1573000803409,2019-11-05T16:40:03.409,4.617,-10.183,6.768,1.768
1573000803449,2019-11-05T16:40:03.449,4.657,-15.854,5.671,3.110
1573000803490,2019-11-05T16:40:03.490,4.698,-15.366,5.122,5.488
1573000803529,2019-11-05T16:40:03.529,4.737,-8.598,5.488,9.024
1573000803569,2019-11-05T16:40:03.569,4.777,-7.744,4.329,11.341
1573000803608,2019-11-05T16:40:03.608,4.816,-6.890,3.232,11.280
1573000803648,2019-11-05T16:40:03.648,4.856,-3.598,3.171,10.061
1573000803689,2019-11-05T16:40:03.689,4.897,-10.732,0.854,9.512
1573000803728,2019-11-05T16:40:03.728,4.936,-12.927,-1.646,7.805
1573000803768,2019-11-05T16:40:03.768,4.976,-5.427,-2.195,6.768
1573000803808,2019-11-05T16:40:03.808,5.016,-0.915,-2.012,6.951
