epoch (ms),time (-08:00),elapsed (s),X-Axis (g),Y-Axis (g),Z-Axis (g)
1573003524371,2019-11-05T17:25:24.371,0.000,0.042,0.812,0.960
1573003524411,2019-11-05T17:25:24.411,0.040,0.124,0.724,1.025
1573003524451,2019-11-05T17:25:24.451,0.080,0.303,0.584,0.527
1573003524490,2019-11-05T17:25:24.490,0.119,0.350,0.736,0.434
1573003524530,2019-11-05T17:25:24.530,0.159,0.424,0.788,0.411
1573003524569,2019-11-05T17:25:24.569,0.198,0.092,1.107,0.157
1573003524610,2019-11-05T17:25:24.610,0.239,0.073,2.587,0.799
1573003524650,2019-11-05T17:25:24.650,0.279,-2.238,4.530,0.148
1573003524689,2019-11-05T17:25:24.689,0.318,0.223,0.206,1.679
1573003524729,2019-11-05T17:25:24.729,0.358,0.498,0.019,1.399
1573003524768,2019-11-05T17:25:24.768,0.397,0.176,-0.222,-0.110
1573003524808,2019-11-05T17:25:24.808,0.437,0.444,0.083,-0.293
1573003524849,2019-11-05T17:25:24.849,0.478,1.285,1.993,-1.365
1573003524889,2019-11-05T17:25:24.889,0.518,0.303,1.737,-0.877
1573003524928,2019-11-05T17:25:24.928,0.557,0.767,0.958,-0.544
1573003524968,2019-11-05T17:25:24.968,0.597,0.372,0.812,-0.592
1573003525007,2019-11-05T17:25:25.007,0.636,0.288,2.098,-1.070
1573003525048,2019-11-05T17:25:25.048,0.677,0.242,1.750,-0.800
1573003525088,2019-11-05T17:25:25.088,0.717,-0.066,0.949,-0.607
1573003525127,2019-11-05T17:25:25.127,0.756,0.075,0.779,-0.497
1573003525167,2019-11-05T17:25:25.167,0.796,-0.081,0.806,-0.525
1573003525206,2019-11-05T17:25:25.206,0.835,0.396,0.860,-0.672
1573003525246,2019-11-05T17:25:25.246,0.875,0.879,1.210,-0.825
1573003525287,2019-11-05T17:25:25.287,0.916,0.278,0.935,-0.689
1573003525327,2019-11-05T17:25:25.327,0.956,0.741,0.851,-0.617
1573003525366,2019-11-05T17:25:25.366,0.995,0.236,1.008,-0.826
1573003525406,2019-11-05T17:25:25.406,1.035,-0.017,1.373,-0.879
1573003525445,2019-11-05T17:25:25.445,1.074,0.082,1.088,-0.689
1573003525485,2019-11-05T17:25:25.485,1.114,0.428,1.238,-0.860
1573003525526,2019-11-05T17:25:25.526,1.155,0.258,0.922,-0.681
