epoch (ms),time (-08:00),elapsed (s),X-Axis (°/s),Y-Axis (°/s),Z-Axis (°/s)
1573014987341,2019-11-05T20:36:27.341,0.000,-9.085,10.000,-14.634
1573014997865,2019-11-05T20:36:37.865,10.524,-0.305,-1.463,-2.317
1573014997904,2019-11-05T20:36:37.904,10.563,-0.061,-2.073,-2.195
1573014997945,2019-11-05T20:36:37.945,10.604,1.646,-2.134,-0.976
1573014997985,2019-11-05T20:36:37.985,10.644,2.683,-1.585,0.671
1573014998024,2019-11-05T20:36:38.024,10.683,1.280,-0.854,2.805
1573014998064,2019-11-05T20:36:38.064,10.723,0.610,-0.183,3.659
1573014998105,2019-11-05T20:36:38.105,10.764,-1.220,-1.463,2.561
1573014998144,2019-11-05T20:36:38.144,10.803,2.500,-2.866,1.463
1573014998184,2019-11-05T20:36:38.184,10.843,11.037,-3.110,1.098
1573014998223,2019-11-05T20:36:38.223,10.882,17.134,-2.256,0.793
1573014998263,2019-11-05T20:36:38.263,10.922,7.256,-2.195,-0.366
1573014998303,2019-11-05T20:36:38.303,10.962,-3.963,-3.537,-2.012
1573014998342,2019-11-05T20:36:38.342,11.001,-1.890,-4.329,-2.439
1573014998383,2019-11-05T20:36:38.383,11.042,-5.732,-4.939,-1.951
1573014998423,2019-11-05T20:36:38.423,11.082,-9.573,-4.329,-1.220
1573014998462,2019-11-05T20:36:38.462,11.121,-6.159,-1.951,-1.341
1573014998502,2019-11-05T20:36:38.502,11.161,-7.073,-1.402,0.122
1573014998541,2019-11-05T20:36:38.541,11.200,-2.927,-0.976,0.976
1573014998581,2019-11-05T20:36:38.581,11.240,2.012,0.793,2.439
1573014998622,2019-11-05T20:36:38.622,11.281,3.232,1.037,2.927
1573014998661,2019-11-05T20:36:38.661,11.320,3.049,2.256,0.427
1573014998701,2019-11-05T20:36:38.701,11.360,-2.500,2.439,-1.707
1573014998741,2019-11-05T20:36:38.741,11.400,-3.659,1.707,-1.646
1573014998780,2019-11-05T20:36:38.780,11.439,2.073,2.134,-2.317
1573014998820,2019-11-05T20:36:38.820,11.479,2.378,2.866,-2.988
1573014998861,2019-11-05T20:36:38.861,11.520,-6.280,3.476,-3.232
1573014998900,2019-11-05T20:36:38.900,11.559,-16.098,3.476,-5.854
1573014998940,2019-11-05T20:36:38.940,11.599,-13.110,-0.183,-5.915
1573014998979,2019-11-05T20:36:38.979,11.638,-3.720,-1.890,-2.378
1573014999019,2019-11-05T20:36:39.019,11.678,1.585,-2.073,1.585
1573014999058,2019-11-05T20:36:39.058,11.717,3.780,-1.402,2.744
1573014999099,2019-11-05T20:36:39.099,11.758,-3.537,-1.707,2.256
1573014999139,2019-11-05T20:36:39.139,11.798,-7.012,-1.220,1.341
1573014999179,2019-11-05T20:36:39.179,11.838,-3.963,-0.183,0.488
1573014999218,2019-11-05T20:36:39.218,11.877,-2.622,-0.061,0.061
1573014999258,2019-11-05T20:36:39.258,11.917,-3.049,-0.305,-0.244
1573014999299,2019-11-05T20:36:39.299,11.958,-1.707,-0.549,-0.427
1573014999338,2019-11-05T20:36:39.338,11.997,3.293,-0.732,0.854
1573014999378,2019-11-05T20:36:39.378,12.037,14.939,-0.793,5.000
1573014999417,2019-11-05T20:36:39.417,12.076,25.305,-1.402,9.024
1573014999457,2019-11-05T20:36:39.457,12.116,13.171,-4.329,8.780
1573014999496,2019-11-05T20:36:39.496,12.155,-4.024,-6.707,6.341
1573014999537,2019-11-05T20:36:39.537,12.196,1.463,-5.671,6.037
1573014999577,2019-11-05T20:36:39.577,12.236,11.159,-4.512,6.951
1573014999616,2019-11-05T20:36:39.616,12.275,17.805,-2.744,6.646
1573014999656,2019-11-05T20:36:39.656,12.315,27.500,-0.610,7.500
1573014999696,2019-11-05T20:36:39.696,12.355,34.085,-0.427,9.695
1573014999735,2019-11-05T20:36:39.735,12.394,27.927,-0.793,10.427
1573014999776,2019-11-05T20:36:39.776,12.435,18.049,-0.915,8.171
1573014999816,2019-11-05T20:36:39.816,12.475,10.366,-0.610,4.451
1573014999855,2019-11-05T20:36:39.855,12.514,5.244,0.488,2.439
1573014999895,2019-11-05T20:36:39.895,12.554,5.854,1.280,1.220
1573014999934,2019-11-05T20:36:39.934,12.593,2.195,1.402,-1.402
1573014999974,2019-11-05T20:36:39.974,12.633,0.610,0.244,-1.890
1573015000015,2019-11-05T20:36:40.015,12.674,8.720,0.732,-1.951
1573015000054,2019-11-05T20:36:40.054,12.713,11.890,1.098,-0.976
1573015000094,2019-11-05T20:36:40.094,12.753,5.732,-0.061,-2.439
1573015000134,2019-11-05T20:36:40.134,12.793,7.561,-1.037,-2.927
1573015000173,2019-11-05T20:36:40.173,12.832,24.268,-0.244,-1.829
1573015000213,2019-11-05T20:36:40.213,12.872,22.622,-2.439,-0.854
1573015000254,2019-11-05T20:36:40.254,12.913,3.780,-5.549,-0.915
1573015000293,2019-11-05T20:36:40.293,12.952,-4.085,-5.549,-2.012
1573015000333,2019-11-05T20:36:40.333,12.992,-13.476,-5.976,-2.622
1573015000372,2019-11-05T20:36:40.372,13.031,-27.378,-6.098,-4.268
1573015000412,2019-11-05T20:36:40.412,13.071,-28.780,-4.512,-4.695
1573015000451,2019-11-05T20:36:40.451,13.110,-33.049,-3.232,-6.463
1573015000492,2019-11-05T20:36:40.492,13.151,-37.317,-1.646,-5.915
1573015000532,2019-11-05T20:36:40.532,13.191,-26.951,1.585,-2.195
1573015000572,2019-11-05T20:36:40.572,13.231,-19.817,3.902,-0.549
1573015000611,2019-11-05T20:36:40.611,13.270,-19.573,3.049,0.305
1573015000651,2019-11-05T20:36:40.651,13.310,-14.329,3.110,1.220
1573015000690,2019-11-05T20:36:40.690,13.349,-9.878,1.463,2.012
1573015000731,2019-11-05T20:36:40.731,13.390,-12.012,0.000,3.537
1573015000771,2019-11-05T20:36:40.771,13.430,-5.427,1.463,3.476
