epoch (ms),time (-08:00),elapsed (s),X-Axis (g),Y-Axis (g),Z-Axis (g)
1573015718785,2019-11-05T20:48:38.785,0.000,-0.095,0.841,0.549
1573015718825,2019-11-05T20:48:38.825,0.040,-0.105,0.870,0.564
1573015718864,2019-11-05T20:48:38.864,0.079,-0.118,0.852,0.570
1573015718904,2019-11-05T20:48:38.904,0.119,-0.123,0.832,0.575
1573015718943,2019-11-05T20:48:38.943,0.158,-0.119,0.826,0.573
1573015718983,2019-11-05T20:48:38.983,0.198,-0.103,0.824,0.560
1573015719024,2019-11-05T20:48:39.024,0.239,-0.091,0.823,0.546
1573015719063,2019-11-05T20:48:39.063,0.278,-0.096,0.849,0.548
1573015719103,2019-11-05T20:48:39.103,0.318,-0.104,0.844,0.548
1573015719142,2019-11-05T20:48:39.142,0.357,-0.108,0.839,0.559
1573015719182,2019-11-05T20:48:39.182,0.397,-0.105,0.842,0.566
1573015719222,2019-11-05T20:48:39.222,0.437,-0.094,0.817,0.576
1573015719263,2019-11-05T20:48:39.263,0.478,-0.093,0.823,0.584
1573015719302,2019-11-05T20:48:39.302,0.517,-0.095,0.827,0.582
1573015719342,2019-11-05T20:48:39.342,0.557,-0.086,0.807,0.563
1573015719381,2019-11-05T20:48:39.381,0.596,-0.087,0.819,0.553
1573015719421,2019-11-05T20:48:39.421,0.636,-0.070,0.820,0.541
1573015719460,2019-11-05T20:48:39.460,0.675,-0.069,0.842,0.545
1573015719501,2019-11-05T20:48:39.501,0.716,-0.086,0.851,0.557
1573015719541,2019-11-05T20:48:39.541,0.756,-0.108,0.856,0.571
1573015719580,2019-11-05T20:48:39.580,0.795,-0.123,0.849,0.588
1573015719620,2019-11-05T20:48:39.620,0.835,-0.125,0.822,0.584
1573015719660,2019-11-05T20:48:39.660,0.875,-0.124,0.827,0.583
1573015719699,2019-11-05T20:48:39.699,0.914,-0.125,0.855,0.588
1573015719740,2019-11-05T20:48:39.740,0.955,-0.128,0.836,0.578
1573015719780,2019-11-05T20:48:39.780,0.995,-0.114,0.827,0.573
1573015719819,2019-11-05T20:48:39.819,1.034,-0.113,0.852,0.571
1573015719859,2019-11-05T20:48:39.859,1.074,-0.117,0.828,0.563
1573015719898,2019-11-05T20:48:39.898,1.113,-0.114,0.819,0.570
1573015719938,2019-11-05T20:48:39.938,1.153,-0.139,0.855,0.601
1573015719979,2019-11-05T20:48:39.979,1.194,-0.142,0.863,0.634
1573015720018,2019-11-05T20:48:40.018,1.233,-0.146,0.821,0.651
1573015720058,2019-11-05T20:48:40.058,1.273,-0.151,0.758,0.646
1573015720098,2019-11-05T20:48:40.098,1.313,-0.138,0.727,0.660
1573015720137,2019-11-05T20:48:40.137,1.352,-0.156,0.730,0.688
1573015720177,2019-11-05T20:48:40.177,1.392,-0.170,0.661,0.732
