epoch (ms),time (-08:00),elapsed (s),X-Axis (g),Y-Axis (g),Z-Axis (g)
1573015398501,2019-11-05T20:43:18.501,0.000,0.216,-0.215,-0.982
1573015398542,2019-11-05T20:43:18.542,0.041,0.180,-0.246,-1.051
1573015398581,2019-11-05T20:43:18.581,0.080,0.218,-0.259,-0.995
1573015398621,2019-11-05T20:43:18.621,0.120,0.264,-0.204,-0.930
1573015398660,2019-11-05T20:43:18.660,0.159,0.257,-0.246,-0.914
1573015398700,2019-11-05T20:43:18.700,0.199,0.144,-0.256,-0.989
1573015398739,2019-11-05T20:43:18.739,0.238,0.239,-0.441,-0.858
1573015398780,2019-11-05T20:43:18.780,0.279,0.205,-0.548,-0.558
1573015398820,2019-11-05T20:43:18.820,0.319,0.208,0.228,-1.017
1573015398859,2019-11-05T20:43:18.859,0.358,-0.047,1.092,-1.527
1573015398899,2019-11-05T20:43:18.899,0.398,0.548,1.384,-0.751
1573015398939,2019-11-05T20:43:18.939,0.438,0.901,1.308,-0.729
1573015398978,2019-11-05T20:43:18.978,0.477,0.238,1.123,-1.554
1573015399019,2019-11-05T20:43:19.019,0.518,0.263,1.188,-0.829
1573015399059,2019-11-05T20:43:19.059,0.558,0.342,0.949,-0.465
1573015399098,2019-11-05T20:43:19.098,0.597,0.254,0.572,-0.144
1573015399138,2019-11-05T20:43:19.138,0.637,-0.310,0.871,-0.363
1573015399177,2019-11-05T20:43:19.177,0.676,-0.390,0.878,-0.391
1573015399217,2019-11-05T20:43:19.217,0.716,-0.077,0.569,-0.216
1573015399258,2019-11-05T20:43:19.258,0.757,-0.137,0.759,-0.259
1573015399297,2019-11-05T20:43:19.297,0.796,0.020,0.665,-0.236
1573015399337,2019-11-05T20:43:19.337,0.836,0.142,0.605,-0.169
1573015399377,2019-11-05T20:43:19.377,0.876,-0.046,1.708,0.396
1573015399416,2019-11-05T20:43:19.416,0.915,-0.429,2.066,1.393
1573015399456,2019-11-05T20:43:19.456,0.955,-0.160,-0.059,-0.070
1573015399497,2019-11-05T20:43:19.497,0.996,-0.377,1.687,-0.481
1573015399536,2019-11-05T20:43:19.536,1.035,-0.371,1.388,-0.382
1573015399576,2019-11-05T20:43:19.576,1.075,0.221,0.971,-0.301
1573015399615,2019-11-05T20:43:19.615,1.114,0.409,1.213,-0.421
1573015399655,2019-11-05T20:43:19.655,1.154,0.458,0.669,-0.392
1573015399694,2019-11-05T20:43:19.694,1.193,0.800,1.248,-0.510
1573015399735,2019-11-05T20:43:19.735,1.234,0.413,0.865,-0.426
1573015399775,2019-11-05T20:43:19.775,1.274,0.208,0.784,-0.395
1573015399815,2019-11-05T20:43:19.815,1.314,0.083,0.871,-0.343
1573015399854,2019-11-05T20:43:19.854,1.353,-0.065,1.059,-0.356
1573015399894,2019-11-05T20:43:19.894,1.393,-0.036,0.797,-0.320
1573015399933,2019-11-05T20:43:19.933,1.432,0.310,0.921,-0.342
1573015399974,2019-11-05T20:43:19.974,1.473,0.437,0.853,-0.363
1573015400014,2019-11-05T20:43:20.014,1.513,0.332,0.666,-0.378
1573015400053,2019-11-05T20:43:20.053,1.552,0.190,0.769,-0.411
1573015400093,2019-11-05T20:43:20.093,1.592,0.121,0.939,-0.443
1573015400132,2019-11-05T20:43:20.132,1.631,0.065,1.221,-0.503
1573015400173,2019-11-05T20:43:20.173,1.672,0.158,1.357,-1.069
1573015400213,2019-11-05T20:43:20.213,1.712,0.384,1.416,-1.339
1573015400253,2019-11-05T20:43:20.253,1.752,0.036,0.679,-0.779
1573015400292,2019-11-05T20:43:20.292,1.791,0.169,0.053,-0.296
1573015400332,2019-11-05T20:43:20.332,1.831,0.069,1.144,-0.623
1573015400373,2019-11-05T20:43:20.373,1.872,0.124,1.177,-0.705
1573015400412,2019-11-05T20:43:20.412,1.911,0.072,0.363,-0.251
1573015400452,2019-11-05T20:43:20.452,1.951,0.120,0.530,-0.338
1573015400491,2019-11-05T20:43:20.491,1.990,0.133,0.895,-1.542
1573015400531,2019-11-05T20:43:20.531,2.030,0.143,0.418,-1.930
1573015400570,2019-11-05T20:43:20.570,2.069,-0.071,0.046,-0.874
1573015400610,2019-11-05T20:43:20.610,2.109,0.175,0.216,-0.779
1573015400651,2019-11-05T20:43:20.651,2.150,0.396,0.748,-1.154
1573015400691,2019-11-05T20:43:20.691,2.190,0.116,0.336,-0.997
1573015400730,2019-11-05T20:43:20.730,2.229,-0.144,0.364,-1.316
1573015400770,2019-11-05T20:43:20.770,2.269,0.122,0.108,-1.186
1573015400809,2019-11-05T20:43:20.809,2.308,0.115,0.089,-0.992
1573015400849,2019-11-05T20:43:20.849,2.348,0.043,0.152,-0.905
1573015400890,2019-11-05T20:43:20.890,2.389,0.025,0.233,-0.777
1573015400929,2019-11-05T20:43:20.929,2.428,0.109,0.203,-1.215
1573015400969,2019-11-05T20:43:20.969,2.468,0.227,-0.011,-1.073
1573015401008,2019-11-05T20:43:21.008,2.507,0.136,0.056,-1.061
1573015401048,2019-11-05T20:43:21.048,2.547,0.118,0.131,-1.107
1573015401087,2019-11-05T20:43:21.087,2.586,0.161,0.056,-1.049
1573015401128,2019-11-05T20:43:21.128,2.627,0.157,0.100,-1.058
1573015401168,2019-11-05T20:43:21.168,2.667,0.089,0.156,-1.081
1573015401208,2019-11-05T20:43:21.208,2.707,0.104,0.084,-1.018
1573015401247,2019-11-05T20:43:21.247,2.746,0.140,0.057,-0.968
1573015401287,2019-11-05T20:43:21.287,2.786,0.135,0.068,-1.020
1573015401326,2019-11-05T20:43:21.326,2.825,0.115,0.062,-1.067
1573015401367,2019-11-05T20:43:21.367,2.866,0.196,0.072,-1.071
1573015401407,2019-11-05T20:43:21.407,2.906,0.127,0.112,-1.069
1573015401446,2019-11-05T20:43:21.446,2.945,0.138,0.117,-1.023
1573015401486,2019-11-05T20:43:21.486,2.985,0.106,0.075,-1.004
1573015401525,2019-11-05T20:43:21.525,3.024,0.160,0.060,-1.029
1573015401565,2019-11-05T20:43:21.565,3.064,0.187,0.083,-1.041
1573015401606,2019-11-05T20:43:21.606,3.105,0.131,0.106,-1.064
1573015401646,2019-11-05T20:43:21.646,3.145,0.103,0.100,-1.036
1573015401685,2019-11-05T20:43:21.685,3.184,0.110,0.077,-1.034
1573015401725,2019-11-05T20:43:21.725,3.224,0.189,0.067,-1.041
1573015401764,2019-11-05T20:43:21.764,3.263,0.174,0.075,-1.045
1573015401805,2019-11-05T20:43:21.805,3.304,0.109,0.095,-1.042
1573015401845,2019-11-05T20:43:21.845,3.344,0.105,0.098,-1.028
1573015401884,2019-11-05T20:43:21.884,3.383,0.166,0.079,-1.040
1573015401924,2019-11-05T20:43:21.924,3.423,0.180,0.074,-1.043
1573015401963,2019-11-05T20:43:21.963,3.462,0.131,0.082,-1.036
