epoch (ms),time (-08:00),elapsed (s),X-Axis (°/s),Y-Axis (°/s),Z-Axis (°/s)
1573339451225,2019-11-09T14:44:11.225,0.000,-357.439,378.415,-122.622
1573339451266,2019-11-09T14:44:11.266,0.041,-419.451,355.122,-98.720
1573339451306,2019-11-09T14:44:11.306,0.081,-596.220,287.439,-55.854
1573339451345,2019-11-09T14:44:11.345,0.120,-169.573,412.439,-268.963
1573339451385,2019-11-09T14:44:11.385,0.160,-231.524,640.915,-482.073
1573339451424,2019-11-09T14:44:11.424,0.199,-169.512,243.720,-206.037
1573339451464,2019-11-09T14:44:11.464,0.239,27.622,-292.134,155.000
1573339451505,2019-11-09T14:44:11.505,0.280,-257.927,46.220,56.280
1573339451544,2019-11-09T14:44:11.544,0.319,-184.939,72.134,104.695
1573339451584,2019-11-09T14:44:11.584,0.359,109.573,-105.976,287.012
1573339451623,2019-11-09T14:44:11.623,0.398,80.061,-168.476,320.122
1573339451663,2019-11-09T14:44:11.663,0.438,635.732,-327.195,99.268
1573339451703,2019-11-09T14:44:11.703,0.478,450.793,-256.280,-125.061
1573339451744,2019-11-09T14:44:11.744,0.519,-115.549,76.585,-266.829
1573339451783,2019-11-09T14:44:11.783,0.558,-53.780,312.805,-363.659
1573339451823,2019-11-09T14:44:11.823,0.598,487.866,559.634,-388.110
1573339451862,2019-11-09T14:44:11.862,0.637,298.171,31.890,80.366
1573339451902,2019-11-09T14:44:11.902,0.677,-26.585,-171.524,262.744
1573339451941,2019-11-09T14:44:11.941,0.716,-113.780,-33.659,158.354
1573339451982,2019-11-09T14:44:11.982,0.757,-284.817,-44.390,158.293
1573339452022,2019-11-09T14:44:12.022,0.797,-297.134,-100.366,215.122
1573339452061,2019-11-09T14:44:12.061,0.836,-307.256,-111.585,250.549
1573339452101,2019-11-09T14:44:12.101,0.876,-232.561,-189.573,278.780
1573339452141,2019-11-09T14:44:12.141,0.916,-265.915,-57.805,154.573
1573339452180,2019-11-09T14:44:12.180,0.955,-268.963,94.878,-36.159
1573339452221,2019-11-09T14:44:12.221,0.996,-253.780,73.902,-123.049
1573339452261,2019-11-09T14:44:12.261,1.036,-192.927,55.427,-115.732
1573339452300,2019-11-09T14:44:12.300,1.075,-49.207,-78.354,21.768
1573339452340,2019-11-09T14:44:12.340,1.115,31.463,-204.451,160.610
1573339452379,2019-11-09T14:44:12.379,1.154,58.293,-112.012,111.159
1573339452419,2019-11-09T14:44:12.419,1.194,169.207,11.098,28.354
1573339452460,2019-11-09T14:44:12.460,1.235,215.122,40.183,1.159
1573339452499,2019-11-09T14:44:12.499,1.274,227.012,61.951,1.220
1573339452539,2019-11-09T14:44:12.539,1.314,228.720,87.256,10.793
1573339452579,2019-11-09T14:44:12.579,1.354,-67.744,112.805,-6.341
1573339452618,2019-11-09T14:44:12.618,1.393,-114.573,114.024,-37.866
1573339452658,2019-11-09T14:44:12.658,1.433,213.476,-100.793,40.244
1573339452699,2019-11-09T14:44:12.699,1.474,-51.463,142.317,-163.110
1573339452738,2019-11-09T14:44:12.738,1.513,-43.659,-40.183,-4.695
1573339452778,2019-11-09T14:44:12.778,1.553,-15.488,-97.805,105.122
1573339452817,2019-11-09T14:44:12.817,1.592,-85.793,-13.841,62.683
1573339452857,2019-11-09T14:44:12.857,1.632,-12.866,-65.366,34.451
1573339452896,2019-11-09T14:44:12.896,1.671,-42.256,-52.500,15.183
1573339452937,2019-11-09T14:44:12.937,1.712,-26.280,42.561,-36.098
1573339452977,2019-11-09T14:44:12.977,1.752,-31.463,-28.110,8.720
1573339453017,2019-11-09T14:44:13.017,1.792,-39.573,-32.317,29.573
1573339453056,2019-11-09T14:44:13.056,1.831,-30.488,-38.963,53.720
1573339453096,2019-11-09T14:44:13.096,1.871,-21.524,-59.451,73.354
1573339453135,2019-11-09T14:44:13.135,1.910,4.024,-60.305,66.890
1573339453176,2019-11-09T14:44:13.176,1.951,34.573,-45.061,44.634
1573339453216,2019-11-09T14:44:13.216,1.991,62.805,-15.366,22.500
1573339453255,2019-11-09T14:44:13.255,2.030,63.293,-0.610,10.000
1573339453295,2019-11-09T14:44:13.295,2.070,58.476,-11.524,13.537
1573339453334,2019-11-09T14:44:13.334,2.109,34.817,-16.280,13.902
1573339453375,2019-11-09T14:44:13.375,2.150,52.927,-42.866,21.341
1573339453415,2019-11-09T14:44:13.415,2.190,352.012,-124.878,51.890
1573339453456,2019-11-09T14:44:13.456,2.231,396.646,-122.500,34.207
1573339453494,2019-11-09T14:44:13.494,2.269,350.122,-146.585,52.378
1573339453534,2019-11-09T14:44:13.534,2.309,291.707,-268.354,120.061
1573339453573,2019-11-09T14:44:13.573,2.348,219.756,-211.524,123.354
1573339453614,2019-11-09T14:44:13.614,2.389,22.134,-285.366,147.012
1573339453654,2019-11-09T14:44:13.654,2.429,-182.073,-409.573,70.976
1573339453693,2019-11-09T14:44:13.693,2.468,-17.195,60.854,-121.646
1573339453733,2019-11-09T14:44:13.733,2.508,-27.744,40.305,-107.195
1573339453772,2019-11-09T14:44:13.772,2.547,-47.317,54.512,-98.110
1573339453812,2019-11-09T14:44:13.812,2.587,34.146,60.244,-73.841
1573339453853,2019-11-09T14:44:13.853,2.628,78.354,26.829,-44.695
1573339453892,2019-11-09T14:44:13.892,2.667,77.439,35.061,-60.427
1573339453932,2019-11-09T14:44:13.932,2.707,124.024,-16.280,-73.841
1573339453972,2019-11-09T14:44:13.972,2.747,181.098,-35.793,-47.256
1573339454011,2019-11-09T14:44:14.011,2.786,218.293,-70.610,-26.829
1573339454051,2019-11-09T14:44:14.051,2.826,227.561,-76.402,-21.829
1573339454092,2019-11-09T14:44:14.092,2.867,222.256,-50.244,-17.439
1573339454131,2019-11-09T14:44:14.131,2.906,254.268,-42.805,-7.317
1573339454171,2019-11-09T14:44:14.171,2.946,325.915,-26.341,16.829
1573339454210,2019-11-09T14:44:14.210,2.985,350.122,9.329,17.256
1573339454250,2019-11-09T14:44:14.250,3.025,301.037,-8.598,51.463
1573339454289,2019-11-09T14:44:14.289,3.064,196.037,-44.695,89.024
1573339454330,2019-11-09T14:44:14.330,3.105,134.024,-47.561,79.207
1573339454370,2019-11-09T14:44:14.370,3.145,132.744,-16.037,44.756
1573339454410,2019-11-09T14:44:14.410,3.185,180.732,-1.341,3.415
1573339454449,2019-11-09T14:44:14.449,3.224,211.159,8.963,-19.024
1573339454489,2019-11-09T14:44:14.489,3.264,222.622,-52.195,5.305
1573339454528,2019-11-09T14:44:14.528,3.303,175.244,-52.134,24.573
1573339454569,2019-11-09T14:44:14.569,3.344,155.122,-34.390,16.585
1573339454609,2019-11-09T14:44:14.609,3.384,189.146,10.732,13.354
1573339454648,2019-11-09T14:44:14.648,3.423,126.646,35.366,33.171
1573339454688,2019-11-09T14:44:14.688,3.463,38.232,21.037,36.707
1573339454727,2019-11-09T14:44:14.727,3.502,47.500,17.378,38.354
1573339454767,2019-11-09T14:44:14.767,3.542,11.220,4.817,30.915
1573339454808,2019-11-09T14:44:14.808,3.583,40.854,3.537,18.171
1573339454848,2019-11-09T14:44:14.848,3.623,27.744,2.073,8.293
1573339454887,2019-11-09T14:44:14.887,3.662,-4.390,-2.134,-1.220
1573339454927,2019-11-09T14:44:14.927,3.702,35.488,-1.159,-3.780
1573339454966,2019-11-09T14:44:14.966,3.741,52.073,1.341,-9.024
1573339455006,2019-11-09T14:44:15.006,3.781,49.573,4.451,-14.817
1573339455047,2019-11-09T14:44:15.047,3.822,48.537,1.951,-25.854
1573339455086,2019-11-09T14:44:15.086,3.861,55.793,3.598,-50.854
1573339455126,2019-11-09T14:44:15.126,3.901,39.268,6.524,-72.744
1573339455165,2019-11-09T14:44:15.165,3.940,55.610,21.037,-77.378
1573339455205,2019-11-09T14:44:15.205,3.980,86.220,35.122,-94.878
1573339455245,2019-11-09T14:44:15.245,4.020,77.317,26.768,-118.354
1573339455286,2019-11-09T14:44:15.286,4.061,152.927,37.073,-123.659
1573339455325,2019-11-09T14:44:15.325,4.100,237.927,45.183,-126.890
1573339455365,2019-11-09T14:44:15.365,4.140,258.659,33.415,-129.756
1573339455404,2019-11-09T14:44:15.404,4.179,242.561,16.098,-126.037
1573339455444,2019-11-09T14:44:15.444,4.219,237.439,4.878,-117.927
