epoch (ms),time (-08:00),elapsed (s),X-Axis (°/s),Y-Axis (°/s),Z-Axis (°/s)
1573340119454,2019-11-09T14:55:19.454,0.000,-78.232,861.098,-388.354
1573340119494,2019-11-09T14:55:19.494,0.040,-0.610,533.476,-321.402
1573340119534,2019-11-09T14:55:19.534,0.080,87.927,-966.037,51.098
1573340119575,2019-11-09T14:55:19.575,0.121,-61.220,-932.317,195.366
1573340119614,2019-11-09T14:55:19.614,0.160,-196.037,44.207,-75.793
1573340119654,2019-11-09T14:55:19.654,0.200,-99.878,117.988,-98.110
1573340119693,2019-11-09T14:55:19.693,0.239,60.183,-183.659,9.512
1573340119733,2019-11-09T14:55:19.733,0.279,111.768,-182.134,-26.646
1573340119772,2019-11-09T14:55:19.772,0.318,71.159,38.049,-129.451
1573340119813,2019-11-09T14:55:19.813,0.359,135.793,116.585,-170.732
1573340119853,2019-11-09T14:55:19.853,0.399,56.280,161.037,-89.329
1573340119892,2019-11-09T14:55:19.892,0.438,90.549,85.793,23.232
1573340119932,2019-11-09T14:55:19.932,0.478,81.280,-126.646,113.720
1573340119971,2019-11-09T14:55:19.971,0.517,-195.976,20.000,53.841
1573340120011,2019-11-09T14:55:20.011,0.557,-198.110,116.280,-50.671
1573340120052,2019-11-09T14:55:20.052,0.598,-91.280,-9.085,-42.988
1573340120092,2019-11-09T14:55:20.092,0.638,-68.232,26.463,-62.866
1573340120131,2019-11-09T14:55:20.131,0.677,-8.476,15.244,-52.439
1573340120171,2019-11-09T14:55:20.171,0.717,31.829,-68.354,33.720
1573340120210,2019-11-09T14:55:20.210,0.756,147.500,-100.610,52.378
1573340120251,2019-11-09T14:55:20.251,0.797,299.146,-84.207,15.610
1573340120291,2019-11-09T14:55:20.291,0.837,230.427,-185.976,76.220
1573340120330,2019-11-09T14:55:20.330,0.876,116.768,-101.951,73.963
1573340120370,2019-11-09T14:55:20.370,0.916,93.841,99.329,21.220
1573340120409,2019-11-09T14:55:20.409,0.955,56.220,167.256,66.341
1573340120449,2019-11-09T14:55:20.449,0.995,-124.512,195.732,71.829
1573340120490,2019-11-09T14:55:20.490,1.036,-49.756,324.024,-242.134
1573340120530,2019-11-09T14:55:20.530,1.076,-44.756,548.171,-470.366
1573340120569,2019-11-09T14:55:20.569,1.115,-262.927,577.439,-500.061
