epoch (ms),time (-07:00),elapsed (s),X-Axis (g),Y-Axis (g),Z-Axis (g)
1586553638078,2020-04-10T14:20:38.078,0.000,-0.806,0.086,0.578
1586553638117,2020-04-10T14:20:38.117,0.039,-0.861,0.050,0.593
1586553638157,2020-04-10T14:20:38.157,0.079,-1.025,0.041,0.602
1586553638198,2020-04-10T14:20:38.198,0.120,-1.204,-0.055,0.558
1586553638237,2020-04-10T14:20:38.237,0.159,-1.017,-0.256,0.447
1586553638277,2020-04-10T14:20:38.277,0.199,-0.689,-0.107,0.357
1586553638316,2020-04-10T14:20:38.316,0.238,-0.694,0.070,0.293
1586553638356,2020-04-10T14:20:38.356,0.278,-0.876,0.062,0.258
1586553638395,2020-04-10T14:20:38.395,0.317,-0.941,0.012,0.252
1586553638436,2020-04-10T14:20:38.436,0.358,-0.893,0.013,0.306
1586553638476,2020-04-10T14:20:38.476,0.398,-0.822,0.057,0.321
1586553638516,2020-04-10T14:20:38.516,0.438,-0.793,0.105,0.306
1586553638555,2020-04-10T14:20:38.555,0.477,-0.747,0.156,0.317
1586553638595,2020-04-10T14:20:38.595,0.517,-0.710,0.225,0.358
1586553638634,2020-04-10T14:20:38.634,0.556,-0.742,0.256,0.385
1586553638675,2020-04-10T14:20:38.675,0.597,-0.799,0.287,0.412
1586553638715,2020-04-10T14:20:38.715,0.637,-0.811,0.309,0.449
1586553638754,2020-04-10T14:20:38.754,0.676,-0.782,0.312,0.485
1586553638794,2020-04-10T14:20:38.794,0.716,-0.783,0.314,0.492
1586553638833,2020-04-10T14:20:38.833,0.755,-0.821,0.301,0.480
1586553638873,2020-04-10T14:20:38.873,0.795,-0.886,0.285,0.491
1586553638914,2020-04-10T14:20:38.914,0.836,-1.075,0.233,0.543
1586553638954,2020-04-10T14:20:38.954,0.876,-1.053,0.043,0.555
1586553638993,2020-04-10T14:20:38.993,0.915,-0.767,-0.045,0.531
1586553639033,2020-04-10T14:20:39.033,0.955,-0.581,-0.007,0.438
1586553639072,2020-04-10T14:20:39.072,0.994,-0.656,0.009,0.376
1586553639112,2020-04-10T14:20:39.112,1.034,-0.836,-0.089,0.395
1586553639153,2020-04-10T14:20:39.153,1.075,-0.855,-0.182,0.502
1586553639192,2020-04-10T14:20:39.192,1.114,-0.655,-0.076,0.553
1586553639232,2020-04-10T14:20:39.232,1.154,-0.630,0.078,0.483
1586553639271,2020-04-10T14:20:39.271,1.193,-0.694,0.133,0.445
1586553639311,2020-04-10T14:20:39.311,1.233,-0.669,0.089,0.500
1586553639351,2020-04-10T14:20:39.351,1.273,-0.715,0.025,0.545
1586553639392,2020-04-10T14:20:39.392,1.314,-0.804,0.019,0.548
1586553639431,2020-04-10T14:20:39.431,1.353,-0.759,0.074,0.531
1586553639471,2020-04-10T14:20:39.471,1.393,-0.698,0.128,0.522
1586553639510,2020-04-10T14:20:39.510,1.432,-0.742,0.152,0.524
1586553639550,2020-04-10T14:20:39.550,1.472,-0.814,0.148,0.529
1586553639589,2020-04-10T14:20:39.589,1.511,-0.868,0.119,0.534
1586553639630,2020-04-10T14:20:39.630,1.552,-0.896,0.101,0.552
1586553639670,2020-04-10T14:20:39.670,1.592,-1.213,0.180,0.583
