epoch (ms),time (-07:00),elapsed (s),X-Axis (g),Y-Axis (g),Z-Axis (g)
1586553704192,2020-04-10T14:21:44.192,0.000,1.018,-0.246,-0.230
1586553704232,2020-04-10T14:21:44.232,0.040,1.055,-0.213,-0.236
1586553704273,2020-04-10T14:21:44.273,0.081,1.083,-0.198,-0.215
1586553704312,2020-04-10T14:21:44.312,0.120,1.059,-0.176,-0.197
1586553704352,2020-04-10T14:21:44.352,0.160,1.018,-0.143,-0.188
1586553704391,2020-04-10T14:21:44.391,0.199,1.030,-0.134,-0.155
1586553704431,2020-04-10T14:21:44.431,0.239,1.065,-0.145,-0.149
1586553704470,2020-04-10T14:21:44.470,0.278,1.100,-0.143,-0.105
1586553704511,2020-04-10T14:21:44.511,0.319,1.079,-0.153,-0.043
1586553704551,2020-04-10T14:21:44.551,0.359,1.031,-0.199,0.000
1586553704591,2020-04-10T14:21:44.591,0.399,1.084,-0.244,0.027
1586553704630,2020-04-10T14:21:44.630,0.438,1.124,-0.238,-0.016
1586553704670,2020-04-10T14:21:44.670,0.478,0.998,-0.264,0.048
1586553704709,2020-04-10T14:21:44.709,0.517,0.896,-0.280,0.042
1586553704750,2020-04-10T14:21:44.750,0.558,0.909,-0.290,0.052
1586553704790,2020-04-10T14:21:44.790,0.598,0.935,-0.260,0.078
1586553704829,2020-04-10T14:21:44.829,0.637,0.874,-0.183,0.000
1586553704869,2020-04-10T14:21:44.869,0.677,1.228,-0.124,-0.210
1586553704908,2020-04-10T14:21:44.908,0.716,1.537,-0.196,-0.286
1586553704948,2020-04-10T14:21:44.948,0.756,1.208,-0.310,-0.202
1586553704989,2020-04-10T14:21:44.989,0.797,0.795,-0.309,-0.044
1586553705029,2020-04-10T14:21:45.029,0.837,0.534,-0.313,0.071
1586553705068,2020-04-10T14:21:45.068,0.876,0.467,-0.410,0.029
1586553705108,2020-04-10T14:21:45.108,0.916,0.858,-0.327,-0.246
1586553705147,2020-04-10T14:21:45.147,0.955,1.688,-0.186,-0.540
1586553705187,2020-04-10T14:21:45.187,0.995,1.643,-0.240,-0.467
1586553705228,2020-04-10T14:21:45.228,1.036,0.977,-0.428,-0.260
1586553705267,2020-04-10T14:21:45.267,1.075,0.872,-0.434,-0.088
1586553705307,2020-04-10T14:21:45.307,1.115,0.685,-0.371,0.061
1586553705346,2020-04-10T14:21:45.346,1.154,0.350,-0.305,0.025
1586553705386,2020-04-10T14:21:45.386,1.194,1.019,-0.200,-0.356
1586553705425,2020-04-10T14:21:45.425,1.233,2.098,-0.200,-0.597
1586553705467,2020-04-10T14:21:45.467,1.275,1.458,-0.378,-0.413
1586553705506,2020-04-10T14:21:45.506,1.314,0.732,-0.469,-0.107
1586553705546,2020-04-10T14:21:45.546,1.354,0.640,-0.413,0.127
1586553705585,2020-04-10T14:21:45.585,1.393,0.537,-0.316,0.218
1586553705625,2020-04-10T14:21:45.625,1.433,0.551,-0.182,0.064
1586553705664,2020-04-10T14:21:45.664,1.472,1.523,-0.084,-0.292
1586553705705,2020-04-10T14:21:45.705,1.513,1.994,-0.125,-0.354
1586553705745,2020-04-10T14:21:45.745,1.553,1.101,-0.318,-0.143
1586553705784,2020-04-10T14:21:45.784,1.592,0.753,-0.361,0.013
1586553705824,2020-04-10T14:21:45.824,1.632,0.669,-0.331,0.162
1586553705863,2020-04-10T14:21:45.863,1.671,0.421,-0.288,0.176
1586553705904,2020-04-10T14:21:45.904,1.712,0.745,-0.159,-0.067
1586553705944,2020-04-10T14:21:45.944,1.752,1.865,-0.044,-0.399
1586553705984,2020-04-10T14:21:45.984,1.792,1.695,-0.141,-0.274
1586553706025,2020-04-10T14:21:46.025,1.833,0.904,-0.360,-0.117
1586553706063,2020-04-10T14:21:46.063,1.871,0.911,-0.348,0.010
1586553706102,2020-04-10T14:21:46.102,1.910,0.797,-0.282,0.155
1586553706143,2020-04-10T14:21:46.143,1.951,0.545,-0.158,0.103
1586553706183,2020-04-10T14:21:46.183,1.991,1.123,-0.028,-0.104
1586553706222,2020-04-10T14:21:46.222,2.030,1.678,-0.029,-0.201
1586553706262,2020-04-10T14:21:46.262,2.070,1.275,-0.206,-0.131
1586553706301,2020-04-10T14:21:46.301,2.109,0.946,-0.284,-0.035
1586553706341,2020-04-10T14:21:46.341,2.149,0.897,-0.257,0.046
1586553706382,2020-04-10T14:21:46.382,2.190,0.864,-0.184,0.035
1586553706422,2020-04-10T14:21:46.422,2.230,1.076,-0.123,-0.029
1586553706461,2020-04-10T14:21:46.461,2.269,1.195,-0.139,-0.040
1586553706501,2020-04-10T14:21:46.501,2.309,1.141,-0.188,-0.030
1586553706540,2020-04-10T14:21:46.540,2.348,1.098,-0.218,-0.007
1586553706580,2020-04-10T14:21:46.580,2.388,1.026,-0.210,0.015
1586553706621,2020-04-10T14:21:46.621,2.429,0.968,-0.190,0.029
1586553706660,2020-04-10T14:21:46.660,2.468,1.061,-0.171,0.000
1586553706700,2020-04-10T14:21:46.700,2.508,1.116,-0.181,-0.012
1586553706739,2020-04-10T14:21:46.739,2.547,1.075,-0.194,-0.010
1586553706779,2020-04-10T14:21:46.779,2.587,1.063,-0.198,0.000
1586553706819,2020-04-10T14:21:46.819,2.627,1.064,-0.197,0.007
