epoch (ms),time (-07:00),elapsed (s),X-Axis (°/s),Y-Axis (°/s),Z-Axis (°/s)
1586553704113,2020-04-10T14:21:44.113,0.000,-33.598,20.976,9.817
1586553704153,2020-04-10T14:21:44.153,0.040,-32.500,22.805,9.207
1586553704192,2020-04-10T14:21:44.192,0.079,-26.646,28.293,3.841
1586553704232,2020-04-10T14:21:44.232,0.119,-21.829,24.573,-0.305
1586553704273,2020-04-10T14:21:44.273,0.160,-22.012,22.805,1.280
1586553704312,2020-04-10T14:21:44.312,0.199,-25.183,28.476,2.439
1586553704352,2020-04-10T14:21:44.352,0.239,-32.012,30.854,1.037
1586553704391,2020-04-10T14:21:44.391,0.278,-37.439,21.341,-1.280
1586553704431,2020-04-10T14:21:44.431,0.318,-36.829,16.037,-5.183
1586553704470,2020-04-10T14:21:44.470,0.357,-30.610,20.427,-7.500
1586553704511,2020-04-10T14:21:44.511,0.398,-20.244,28.110,-5.244
1586553704551,2020-04-10T14:21:44.551,0.438,-11.890,30.305,0.976
1586553704591,2020-04-10T14:21:44.591,0.478,-7.012,25.732,4.695
1586553704630,2020-04-10T14:21:44.630,0.517,2.012,22.195,10.915
1586553704670,2020-04-10T14:21:44.670,0.557,14.085,9.390,30.671
1586553704709,2020-04-10T14:21:44.709,0.596,22.500,-31.341,49.634
1586553704750,2020-04-10T14:21:44.750,0.637,24.573,-48.171,44.939
1586553704790,2020-04-10T14:21:44.790,0.677,23.110,-13.415,15.061
1586553704829,2020-04-10T14:21:44.829,0.716,18.598,39.634,-30.183
1586553704869,2020-04-10T14:21:44.869,0.756,20.000,34.939,-51.280
1586553704908,2020-04-10T14:21:44.908,0.795,32.805,-4.024,-13.659
1586553704949,2020-04-10T14:21:44.949,0.836,42.683,-34.817,45.610
1586553704989,2020-04-10T14:21:44.989,0.876,40.488,-46.037,67.195
1586553705029,2020-04-10T14:21:45.029,0.916,31.037,-29.695,50.610
1586553705068,2020-04-10T14:21:45.068,0.955,12.866,-7.378,5.549
1586553705108,2020-04-10T14:21:45.108,0.995,-19.390,5.976,-75.122
1586553705147,2020-04-10T14:21:45.147,1.034,-32.195,15.793,-113.171
1586553705188,2020-04-10T14:21:45.188,1.075,-3.720,15.244,-42.561
1586553705228,2020-04-10T14:21:45.228,1.115,20.305,-40.915,48.902
1586553705267,2020-04-10T14:21:45.267,1.154,27.073,-73.354,55.915
1586553705307,2020-04-10T14:21:45.307,1.194,13.537,3.293,22.439
1586553705346,2020-04-10T14:21:45.346,1.233,-17.439,70.305,-23.659
1586553705386,2020-04-10T14:21:45.386,1.273,-46.037,46.890,-70.671
1586553705427,2020-04-10T14:21:45.427,1.314,-33.902,7.317,-47.134
1586553705467,2020-04-10T14:21:45.467,1.354,-6.037,0.793,63.902
1586553705506,2020-04-10T14:21:45.506,1.393,9.146,-48.476,113.902
1586553705546,2020-04-10T14:21:45.546,1.433,11.829,-58.232,76.829
1586553705585,2020-04-10T14:21:45.585,1.472,0.549,3.354,10.549
1586553705625,2020-04-10T14:21:45.625,1.512,-18.902,62.927,-62.683
1586553705666,2020-04-10T14:21:45.666,1.553,-17.439,57.622,-105.244
1586553705705,2020-04-10T14:21:45.705,1.592,15.366,52.439,-53.841
1586553705745,2020-04-10T14:21:45.745,1.632,31.402,10.122,48.720
1586553705784,2020-04-10T14:21:45.784,1.671,22.500,-71.707,74.024
1586553705824,2020-04-10T14:21:45.824,1.711,1.951,-51.463,41.463
1586553705863,2020-04-10T14:21:45.863,1.750,-22.195,17.439,-11.646
1586553705904,2020-04-10T14:21:45.904,1.791,-40.976,43.171,-78.902
1586553705944,2020-04-10T14:21:45.944,1.831,-25.793,41.646,-105.549
1586553705984,2020-04-10T14:21:45.984,1.871,15.244,53.720,-30.549
1586553706025,2020-04-10T14:21:46.025,1.912,37.744,-26.585,57.744
1586553706063,2020-04-10T14:21:46.063,1.950,42.317,-95.183,53.110
1586553706102,2020-04-10T14:21:46.102,1.989,28.232,-17.561,16.037
1586553706143,2020-04-10T14:21:46.143,2.030,3.659,57.683,-34.268
1586553706183,2020-04-10T14:21:46.183,2.070,-12.744,50.671,-75.854
1586553706222,2020-04-10T14:21:46.222,2.109,-3.537,34.451,-53.171
1586553706262,2020-04-10T14:21:46.262,2.149,11.220,13.110,13.049
1586553706301,2020-04-10T14:21:46.301,2.188,16.463,-32.012,35.793
1586553706341,2020-04-10T14:21:46.341,2.228,10.610,-17.805,17.927
1586553706382,2020-04-10T14:21:46.382,2.269,0.915,26.829,-11.524
1586553706422,2020-04-10T14:21:46.422,2.309,-5.427,39.756,-28.720
1586553706461,2020-04-10T14:21:46.461,2.348,-4.207,31.463,-19.146
1586553706501,2020-04-10T14:21:46.501,2.388,-0.122,-2.012,0.488
1586553706540,2020-04-10T14:21:46.540,2.427,0.549,-20.976,11.341
1586553706580,2020-04-10T14:21:46.580,2.467,-2.500,-1.646,9.207
1586553706621,2020-04-10T14:21:46.621,2.508,-6.585,12.500,1.585
1586553706660,2020-04-10T14:21:46.660,2.547,-8.537,3.598,-1.768
1586553706700,2020-04-10T14:21:46.700,2.587,-8.110,1.341,-0.244
1586553706739,2020-04-10T14:21:46.739,2.626,-5.488,1.890,1.707
1586553706780,2020-04-10T14:21:46.780,2.667,-3.293,-0.549,1.646
1586553706819,2020-04-10T14:21:46.819,2.706,-2.439,4.268,-0.671
1586553706860,2020-04-10T14:21:46.860,2.747,-2.073,8.110,-2.378
1586553706899,2020-04-10T14:21:46.899,2.786,-2.500,3.415,-1.220
1586553706939,2020-04-10T14:21:46.939,2.826,-3.293,-3.902,0.183
